id,oriented,tetrahedra
dLQacccjnbk,1,3
eLPkbcddddjsor,1,4
eLAkaccddjsjxn,1,4
eLAkbbcdddhgqs,1,4
eLAkaccddjgnak,1,4
fLLQcbcedeedwljmd,0,5
fvPQccdedeejkwjjb,-1,5
fLLQcbeddeeembrle,1,5
fLLQcccddeelnnoun,1,5
fLLQcbcedeetjdfqq,-1,5
fLLQcbddeeeajktph,-1,5
fLLQcbecdeeairfpq,-1,5
fLLQcbcedeedwuwmd,-1,5
fLLQcaddeeenuapdj,0,5
fLLQcaddeeejapexw,-1,5
fLAMcaccdeejnbaan,-1,5
fLAMcaccdeensnxxj,-1,5
fLAPcbcceeedmgwgn,-1,5
fLLQcacedeejktxrr,-1,5
fLAMcbbcdeedhgaxk,-1,5
fLAMcaccdeengbqqj,1,5
fLAMcaccdeejgnxhw,-1,5
fLLQcaddeeejmaplc,1,5
fLLQcaddeeenieppc,-1,5
fLAMcaccdeensjxar,-1,5
fLLQcacdedejsxxrr,1,5
gLLPQccdeffftkfpmbs,0,6
gvLQQcdeffeffjbelbh,-1,6
gLLPQcdeffeflfeuaif,-1,6
gLLAQbdeefffevdpalg,0,6
gLLAQcddeefflgwamvw,-1,6
gLLAQbddefffxjoqawr,-1,6
gLLAQbcdefffhkvhqjs,-1,6
gLLPQcdefeffakedqtk,0,6
gLLAQbcdeffflkbmtww,-1,6
gLLAQbcedfffdvqfakc,-1,6
gLvQQbefdeffedxfhqb,-1,6
gLLPQcdeffefuwpxxtj,-1,6
gvLQQcdeffefjwkpera,-1,6
gLLAQcdeeffflfpupao,-1,6
gLLPQcdeffeftwadilj,-1,6
gvLQQcedffeffnfelkd,-1,6
gLLPQcdefeffhfaauuo,-1,6
gLLPQcdeffefagpdqlc,-1,6
gLLAQcdeeffflfappub,-1,6
gLLPQcdfefefawduxiw,-1,6
gLLAQbddeffftvkhqrc,-1,6
gLLMQbddeeffhgkpmoj,-1,6
gLLPQcdfefeftrpuaif,1,6
gLLAQbddefffxvodhkc,-1,6
gLLAQbddeeffxwnxxrj,1,6
gLLAQbddefffxvkqlsf,-1,6
gLLMQbdefefftvxaiuk,-1,6
gLLAQbeddfffemcslgg,-1,6
gLLAQccedffflnmneor,-1,6
gLLMQbcdefffdvkpqnn,-1,6
gLLAQccdeeffpwvluvj,-1,6
gLwAQacdeeffjgxtrdj,-1,6
gLLAQaddefffjhaxvon,-1,6
gLLAQccedeffqfifqfk,-1,6
gLLAQbcedefftsxfljj,1,6
gLvQQadefeffjaehjff,1,6
gLLMQbdeefffdwpxppv,-1,6
gLLAQbdeefffejdhxxs,-1,6
gLLQPccddeffpfnouar,-1,6
gLLPQccdfeffakrmlof,-1,6
gLLMQbddeeffakbiisk,-1,6
gLLAQbcdeffflrwiacb,-1,6
gLLAQcddeeffhcrapof,-2,6
gLLAQcddeefftcralvc,-2,6
gLLPQcdfefeflcppaaf,-1,6
gLLAQbcdefffdfbeuoo,-1,6
gLLAQbcdeffflroiabb,-1,6
gLLPQcdfeeffawdxdtf,-1,6
gLLAQbdeefffajdhaqg,-1,6
gLLPQccdefffakjiion,-1,6
gLLAQbcdeffftccdabn,-1,6
gLLAQccedeffhwmraof,-2,6
gLLAQccedeffhwpolsv,-2,6
gLLAQbcdefffebbahcw,-1,6
gLLAQbcdefffebjaxrr,-1,6
gLLAQbcdeffftcodann,-1,6
gLvQQbefdeffadlfqiw,-1,6
gLLAQaedeeffnaaxkvj,-1,6
gLLAQaedefffjaaqcvj,-1,6
gLLAQaedeeffjiaewvc,-2,6
gLLAQaedeeffntaunvc,-2,6
gLLAQccedfffpvaodsc,-1,6
gLLAQbeddfffeakoqjj,-1,6
gLLQPccddefflbvrlar,-1,6
gLLAQbcdefffhkkhqsk,-1,6
gLLPQcdefeffpkaeetk,-1,6
gvLQQcdefeffkcrhctd,-1,6
gLLAQbcedfffdvefhck,-1,6
gLLMQbcdfefftcoamnn,-1,6
gLLAQbdeefffevdhuuw,-1,6
gLLPQccdeffflnndirj,-1,6
gLLMQbcdeffflkbhuss,-1,6
gLLMQbdefefflvqilmf,-1,6
gLvQQaefdeffnhahbfj,-1,6
gLLAQbdceeffevrlebs,0,6
gLLMQbdcefffxkstmvv,-1,6
gLLMQbdedeffasqfxfr,0,6
gLLAQbecdeffamrfujw,-1,6
gLLMQadefeffnulxvfs,-1,6
gLLPQccdefffajkulko,-1,6
gLLAQaeedeffntehwgg,-2,6
gLLAQbdceeffdknxdfv,-2,6
gLLAQbddeeffxvjxpgr,-1,6
gLLMQbddeeffanrxunk,-1,6
gLLAQbecdeffaanfqjj,-1,6
gLLAQcdeefefakhexpk,-1,6
gLLMQbdcefffaswxhwr,-1,6
gLLAQbceeefflruiiak,-1,6
gLALQacceeffbgvgstr,-2,6
gLLAQaedefefnapebrj,-1,6
gLALQbcbeeffaarofhs,-1,6
gLLAQacdefefjbqaakj,-1,6
gLALQaccefffnsnsdxd,-1,6
gLLAQbceeeffebimmxj,-1,6
gLLAQcbdeeffajkptcj,-1,6
gLALQbcbeeffhajofar,-1,6
gLLPQcdcfeefqrnqhnk,-1,6
gLALQbbcefffeinopim,-1,6
gLAPPbcceeffeikwber,-1,6
gLALQaccefffjgnslqt,-1,6
gLALQbbcefffeinoadx,-1,6
gLLAQcceefffakxhphb,-1,6
gLLAQbdcdfffdwnfkoc,-1,6
gLLAQceedeffahunehw,-1,6
gLLAQccddfffqfrfscv,-1,6
gLLAQbdedffftvagpkk,-1,6
gLLAQbdedffftvegakk,-1,6
gLLAQacdeeffjkedoug,-2,6
gLLAQacdeeffjkqpglc,-2,6
gLLAQbcedefflsafask,-1,6
gLLAQcedefeflhvaxtk,-1,6
gLLAQcedeeffauvqlxn,-1,6
gLLAQcedcfffhavrprr,-1,6
gLLAQaedefffjauqjow,-1,6
gLLMQacefffejktcskg,-2,6
gLLQPccddeffajskxxn,-1,6
gLAMPbbcdeffdhgaaqs,-1,6
gLAMPaccdeffngbqahr,-1,6
gLALQbcbeeffhawkwhs,-1,6
gLLAQacdeeffnkadjlk,1,6
gLLAQccedfeftnacqnj,-1,6
gLLAQbceefefakqmxuk,-1,6
gLALQbcbeeffxxnsbqj,-1,6
gLLAQbdeceffdwajljj,-1,6
gLLAQbceeeffdfuuhhw,-1,6
gLLAQccedfefqfafhrw,-1,6
gLLPQcdcfeefhrrqhrj,-1,6
gLLPQccdefffpvomibf,-1,6
gLLAQbdcefffhgrxugc,-1,6
gLLAQadedeffjmllvfw,-1,6
gLLMQbddeeffanrpucw,-1,6
gLLAQceddefftavkhnj,-1,6
gLLAQbecdeffainfqfk,-1,6
gLLAQaedefffjlxmcvn,1,6
gLLMQbcdefffaskulko,-1,6
gLLAQbdceeffenwpenf,-2,6
