target,source,label
eLPkbcddddjsnr,dLQacccjsjb,Face: 5
eLAkbbcdddhgqw,dLQacccjsjb,Face: 3
eLAkaccddngbxn,dLQacccjsjb,Face: 2
eLAkaccddjgnaj,dLQacccjsjb,Face: 1
fvPQccdedeejorsfj,eLPkbcddddjsnr,Face: 8
fLLQcbcedeednqwmd,eLPkbcddddjsnr,Face: 7
fLLQcbeddeedlbrxd,eLPkbcddddjsnr,Face: 6
fLLQcccddeetnnoun,eLPkbcddddjsnr,Face: 5
fLLQcbddeeeanrtpu,eLPkbcddddjsnr,Face: 4
fLLQcbcedeetjhfqq,eLPkbcddddjsnr,Face: 3
fLLQcbecdeeainfpq,eLPkbcddddjsnr,Face: 2
fLLQcbcdeeeebnxhq,eLPkbcddddjsnr,Face: 1
fLAPcbcceeedigwgn,eLAkbbcdddhgqw,Face: 7
fLLQcacedeenktxrr,eLAkbbcdddhgqw,Face: 5
fLAMcbbcdeedhgaxr,eLAkbbcdddhgqw,Face: 3
fLAMcaccdeejgnxhj,eLAkbbcdddhgqw,Face: 2
fLAMcaccdeengbqqn,eLAkbbcdddhgqw,Face: 1
fLLQcaddeeenuahdj,eLAkaccddngbxn,Face: 7
fLLQcaddeeenapexw,eLAkaccddngbxn,Face: 5
fLAMcaccdeennbaan,eLAkaccddngbxn,Face: 4
fLAMcaccdeensnxxn,eLAkaccddngbxn,Face: 3
fLLQcaddeeejiaplc,eLAkaccddjgnaj,Face: 7
fLAMcaccdeejsjxar,eLAkaccddjgnaj,Face: 5
fLLQcaddeeejieppc,eLAkaccddjgnaj,Face: 4
fLLQcacdedejbqawk,eLAkaccddjgnaj,Face: 3
gLLPQcdeffeflwadilj,fvPQccdedeejorsfj,Face: 10
gLvQQbefdeffaelfpif,fvPQccdedeejorsfj,Face: 9
gvLQQcdeffefnwkpera,fvPQccdedeejorsfj,Face: 8
gLLAQcdeeffflfappab,fvPQccdedeejorsfj,Face: 7
gvLQQcefdeffjrdcjuh,fvPQccdedeejorsfj,Face: 5
gLLPQcdeffefagudqhw,fvPQccdedeejorsfj,Face: 4
gvLQQcdeffeffwjetbd,fLLQcbcedeednqwmd,Face: 10
gLLPQccdfefflbnaqnr,fLLQcbcedeednqwmd,Face: 9
gLLPQcdeffeflfduaif,fLLQcbcedeednqwmd,Face: 8
gLLAQbdeefffevdpaln,fLLQcbcedeednqwmd,Face: 7
gLLAQcddeefftgwamvw,fLLQcbcedeednqwmd,Face: 6
gLLAQbddefffxjrqawr,fLLQcbcedeednqwmd,Face: 5
gLLPQcdeffefhsetaaf,fLLQcbcedeednqwmd,Face: 4
gLLPQcdeffefaredqdk,fLLQcbcedeednqwmd,Face: 3
gLLAQbcdeffflkcmtww,fLLQcbcedeednqwmd,Face: 2
gLLAQbcedfffdnqshkk,fLLQcbcedeednqwmd,Face: 1
gLLAQbddeeffxwrxxrj,fLLQcbeddeedlbrxd,Face: 10
gLLMQbddeeffhgkpmok,fLLQcbeddeedlbrxd,Face: 9
gLLMQbddefffhgkixbr,fLLQcbeddeedlbrxd,Face: 8
gLLMQbddefffhgkilso,fLLQcbeddeedlbrxd,Face: 7
gLLMQccdefffpkviqwf,fLLQcbeddeedlbrxd,Face: 6
gLLPQcdfefeflwiixuk,fLLQcbeddeedlbrxd,Face: 5
gLLAQbeddfffdlcsljj,fLLQcbeddeedlbrxd,Face: 4
gLLMQbdefefflvxaiuk,fLLQcbeddeedlbrxd,Face: 3
gLLAQccedffflnmnenr,fLLQcbeddeedlbrxd,Face: 2
gLLMQbcdefffeskxqoo,fLLQcbeddeedlbrxd,Face: 1
eLAkbccddhhsak,fLLQcccddeetnnoun,Edge: 7
gLLAQbcedeffasxfljj,fLLQcccddeetnnoun,Face: 10
gLwAQacdeeffjgxtrdw,fLLQcccddeetnnoun,Face: 9
gLvQQadefeffjahhsrg,fLLQcccddeetnnoun,Face: 8
gLLAQccedeffqfanqfr,fLLQcccddeetnnoun,Face: 7
gLLAQccdeeffhwvluvj,fLLQcccddeetnnoun,Face: 6
gLLAQaddefffjhaxvnn,fLLQcccddeetnnoun,Face: 5
gLLAQbdeefffdkatxxv,fLLQcccddeetnnoun,Face: 4
gLLMQbdeefffevuxmmr,fLLQcccddeetnnoun,Face: 3
gLLQPccddeffunnvuar,fLLQcccddeetnnoun,Face: 1
gLLAQbdeefffakxtqac,fLLQcbddeeeanrtpu,Face: 10
gvLQQcdeffeffwjetbd,fLLQcbddeeeanrtpu,Face: 9
gLLPQccdfeffawwaanf,fLLQcbddeeeanrtpu,Face: 8
gLLAQbcdeffftccdacn,fLLQcbddeeeanrtpu,Face: 7
gLLAQccedeffhwxolsv,fLLQcbddeeeanrtpu,Face: 6
gLLAQccedeffhwiraof,fLLQcbddeeeanrtpu,Face: 5
gLLPQcdefeffhfxxddo,fLLQcbddeeeanrtpu,Face: 4
gLLAQbcdefffdfjexoo,fLLQcbddeeeanrtpu,Face: 3
gLLAQbcdeffftcndann,fLLQcbddeeeanrtpu,Face: 2
gLLPQcdfeeffakdxilf,fLLQcbddeeeanrtpu,Face: 1
gLvQQbefdeffaelfpif,fLLQcbcedeetjhfqq,Face: 10
gLLPQccdfeffakkaxof,fLLQcbcedeetjhfqq,Face: 9
gLLMQbddeeffasbiisk,fLLQcbcedeetjhfqq,Face: 8
gLLAQbcdeffflrwiabb,fLLQcbcedeetjhfqq,Face: 7
gLLAQcddeefflcralvc,fLLQcbcedeetjhfqq,Face: 6
gLLAQbcdefffebbaurr,fLLQcbcedeetjhfqq,Face: 4
gLvQQbefdeffaelfpif,fLLQcbcedeetjhfqq,Face: 1
gLLAQaedefffnaaqcvj,fLLQcbecdeeainfpq,Face: 10
gLLAQaedeeffjaaxkvj,fLLQcbecdeeainfpq,Face: 9
gLLMQbddeeffhgkpmok,fLLQcbecdeeainfpq,Face: 8
gLwAQacdeeffjgxtrdw,fLLQcbecdeeainfpq,Face: 7
gLLAQaedeeffjtaunvc,fLLQcbecdeeainfpq,Face: 6
gLLAQaedeeffniaewvc,fLLQcbecdeeainfpq,Face: 5
gLLAQccedfffpvaoekg,fLLQcbecdeeainfpq,Face: 4
gLLAQbeddfffeakwqjj,fLLQcbecdeeainfpq,Face: 3
gLLQPccddefflbvrlak,fLLQcbecdeeainfpq,Face: 1
eLAkbccddhhsak,fLLQcbcdeeeebnxhq,Edge: 8
gLLMQbcdefffhvnphkk,fLLQcbcdeeeebnxhq,Face: 10
gvLQQcdefeffknkhrmh,fLLQcbcdeeeebnxhq,Face: 9
gLLMQbddefffhgkilso,fLLQcbcdeeeebnxhq,Face: 8
gLLAQccedeffqfanqfr,fLLQcbcdeeeebnxhq,Face: 7
gvLQQcdefeffkwkiguu,fLLQcbcdeeeebnxhq,Face: 6
gLLAQccdefffakvehnv,fLLQcbcdeeeebnxhq,Face: 5
gLLAQbdedfffeslwxjj,fLLQcbcdeeeebnxhq,Face: 4
gLLMQbdeefffevuxmmr,fLLQcbcdeeeebnxhq,Face: 3
gLLPQccdeffflnnemgf,fLLQcbcdeeeebnxhq,Face: 2
gLLMQbcdeffftbbiunn,fLLQcbcdeeeebnxhq,Face: 1
gLLPQcdeffeflwadilj,fLAPcbcceeedigwgn,Face: 10
gLALQbbcefffeinopia,fLAPcbcceeedigwgn,Face: 9
gLALQaccefffjgnslqd,fLAPcbcceeedigwgn,Face: 8
gLAPPcbceeffudbjsxr,fLAPcbcceeedigwgn,Face: 7
gLLPQcdeffeflwadilj,fLAPcbcceeedigwgn,Face: 6
gLLAQbdddfffhgkkjfv,fLAPcbcceeedigwgn,Face: 5
gLALQbbcefffeinoaxx,fLAPcbcceeedigwgn,Face: 4
gLLAQceedeffahunehj,fLAPcbcceeedigwgn,Face: 3
gLLAQbdedffflvagpkk,fLLQcacedeenktxrr,Face: 9
gLLAQbdedffflvegakk,fLLQcacedeenktxrr,Face: 8
gLLAQacdeeffnkedoug,fLLQcacedeenktxrr,Face: 7
gLLAQacdeeffnkqpglc,fLLQcacedeenktxrr,Face: 6
gLLAQcedefeflhvaxtj,fLLQcacedeenktxrr,Face: 5
gLLAQbcedefflsafasr,fLLQcacedeenktxrr,Face: 4
gLLAQaedefffnauqjow,fLLQcacedeenktxrr,Face: 3
gLLAQcedcfffhavnprr,fLLQcacedeenktxrr,Face: 2
gLLAQcedeeffauvqlxr,fLLQcacedeenktxrr,Face: 1
gLALQbbcefffeinopia,fLAMcbbcdeedhgaxr,Face: 9
gLALQbbcefffeinopia,fLAMcbbcdeedhgaxr,Face: 8
gLLMQacefffenktcskg,fLAMcbbcdeedhgaxr,Face: 7
gLLQPccddeffajskxxj,fLAMcbbcdeedhgaxr,Face: 5
gLAMPbbcdeffdhgaaqw,fLAMcbbcdeedhgaxr,Face: 4
gLALQbcbeeffhajkwhs,fLAMcbbcdeedhgaxr,Face: 3
gLAMPaccdeffngbqahk,fLAMcbbcdeedhgaxr,Face: 2
gLALQaccefffjgnslqd,fLAMcaccdeejgnxhj,Face: 9
gLALQaccefffjgnslqd,fLAMcaccdeejgnxhj,Face: 8
gLLAQbdeceffdwajljn,fLAMcaccdeejgnxhj,Face: 7
gLLAQbceeeffdfuuhhj,fLAMcaccdeejgnxhj,Face: 5
gLLAQccedfefqfafhrj,fLAMcaccdeejgnxhj,Face: 2
gLLPQcdcfeefhrnqhrj,fLAMcaccdeejgnxhj,Face: 1
gLAPPcbceeffudbjsxr,fLAMcaccdeengbqqn,Face: 9
gLAPPcbceeffudbjsxr,fLAMcaccdeengbqqn,Face: 8
gLLAQacdeeffnkadjlr,fLAMcaccdeengbqqn,Face: 7
gLLAQccedfeftnacqnn,fLAMcaccdeengbqqn,Face: 5
gLLAQbceefefakqmxur,fLAMcaccdeengbqqn,Face: 4
gLALQbcbeeffxxjsbqj,fLAMcaccdeengbqqn,Face: 3
gLLMQbdefefftvqilmf,fLLQcaddeeenuahdj,Face: 10
gLLAQcddeefftgwamvw,fLLQcaddeeenuahdj,Face: 9
gLLAQbdceeffdwrxdfs,fLLQcaddeeenuahdj,Face: 8
gLvQQaefdeffnhihbkn,fLLQcaddeeenuahdj,Face: 7
gLLPQccdfefflbnaqnr,fLLQcaddeeenuahdj,Face: 6
gLLAQcdceeffawritrw,fLLQcaddeeenuahdj,Face: 4
gLLMQbdcefffassxhvc,fLLQcaddeeenuahdj,Face: 3
gLLAQbecdeffamnfujw,fLLQcaddeeenuahdj,Face: 2
gLLAQbdeeeffxvuxmuw,fLLQcaddeeenuahdj,Face: 1
gLLMQbdefefftvqilmf,fLLQcaddeeenapexw,Face: 9
gLLPQccdefffajkulkw,fLLQcaddeeenapexw,Face: 8
gLLAQaeedeffjtehwgg,fLLQcaddeeenapexw,Face: 7
gLLAQbdceeffdkrxdfv,fLLQcaddeeenapexw,Face: 6
gLLAQbddeeffxvjxpgn,fLLQcaddeeenapexw,Face: 5
gLLMQbdcefffassxhwr,fLLQcaddeeenapexw,Face: 4
gLLAQbecdeffaanfqjw,fLLQcaddeeenapexw,Face: 3
gLLAQcdeefefakhexpj,fLLQcaddeeenapexw,Face: 2
gLLMQbddeeffanrxunj,fLLQcaddeeenapexw,Face: 1
gLLAQbceeefflrqiiak,fLAMcaccdeennbaan,Face: 9
gLALQacceeffbgvgstk,fLAMcaccdeennbaan,Face: 7
gLLAQaedefefjapebrj,fLAMcaccdeennbaan,Face: 4
gLALQbcbeeffaarofhw,fLAMcaccdeennbaan,Face: 3
gLLAQacdefefnbqaakj,fLAMcaccdeennbaan,Face: 2
gLALQaccefffnsnsdid,fLAMcaccdeensnxxn,Face: 9
gLLAQbceeeffebimmxn,fLAMcaccdeensnxxn,Face: 7
gLLAQcbdeeffajkptcw,fLAMcaccdeensnxxn,Face: 4
gLALQbcbeeffhawofar,fLAMcaccdeensnxxn,Face: 2
gLLPQcdcfeefqrjqhnk,fLAMcaccdeensnxxn,Face: 1
gLLAQbddeeffxwrxxrj,fLLQcaddeeejiaplc,Face: 10
gLLPQccdefffpvodhvf,fLLQcaddeeejiaplc,Face: 9
gLLAQbdcefffhgrxugo,fLLQcaddeeejiaplc,Face: 8
gLLAQadedeffjillvfw,fLLQcaddeeejiaplc,Face: 7
gLLMQccdefffpkviqwf,fLLQcaddeeejiaplc,Face: 6
gLLAQceddefftavkdnj,fLLQcaddeeejiaplc,Face: 4
gLLMQbddeeffajkphcw,fLLQcaddeeejiaplc,Face: 3
gLLAQbecdeffairfqfk,fLLQcaddeeejiaplc,Face: 2
gLLMQadefeffjxxicnb,fLLQcaddeeejiaplc,Face: 1
gLLAQbceeeffdfaiiar,fLAMcaccdeejsjxar,Face: 9
gLALQacceeffbgfgrej,fLAMcaccdeejsjxar,Face: 7
gLLMQaddeeffjapxwrj,fLAMcaccdeejsjxar,Face: 4
gLALQbcbeeffaakowan,fLAMcaccdeejsjxar,Face: 3
gLLAQccedfeflnanxrr,fLAMcaccdeejsjxar,Face: 2
gLLPQccdefffpvodhvf,fLLQcaddeeejieppc,Face: 9
gLLMQbcdefffaskulkw,fLLQcaddeeejieppc,Face: 8
gLLAQadedeffjillwfc,fLLQcaddeeejieppc,Face: 7
gLLAQbdceeffenspenf,fLLQcaddeeejieppc,Face: 6
gLLMQacdefffjrhwgkg,fLLQcaddeeejieppc,Face: 5
gLLAQbddeeffasktxkr,fLLQcaddeeejieppc,Face: 4
gLLAQbecdeffaanrtrs,fLLQcaddeeejieppc,Face: 3
gLLMQadefeffjxtacnb,fLLQcaddeeejieppc,Face: 2
gLLAQceddefflavnekr,fLLQcaddeeejieppc,Face: 1
gLLAQaddeeffjmapcjr,fLLQcacdedejbqawk,Face: 9
gLLAQadedeffjulpvok,fLLQcacdedejbqawk,Face: 7
gLLMQadeeeffnullvfs,fLLQcacdedejbqawk,Face: 4
gLLAQacdefefnsxaakr,fLLQcacdedejbqawk,Face: 3
fLAPcbcceeedigwgn,gLLPQcdeffeflwadilj,Edge: 12
hLLAMkcedefgggahvdukjb,gLLPQcdeffeflwadilj,Face: 12
hLLAPkcedegfggapvelwfk,gLLPQcdeffeflwadilj,Face: 11
hLLLQkcdffgggflcealkjf,gLLPQcdeffeflwadilj,Face: 10
hvLAQkcedgffggkvkpxllk,gLLPQcdeffeflwadilj,Face: 9
hLLLQkbdegfgfghgxhpbgo,gLLPQcdeffeflwadilj,Face: 8
hLLzQkcdegffgglkuatkor,gLLPQcdeffeflwadilj,Face: 7
hLwLQkacfgefggngfobkgs,gLLPQcdeffeflwadilj,Face: 6
hLLAMkcedefgggalvumfob,gLLPQcdeffeflwadilj,Face: 5
hLLLQkcdffgggfpklmpgvf,gLLPQcdeffeflwadilj,Face: 4
hLLLQkcdefggfgawpixbfr,gLLPQcdeffeflwadilj,Face: 3
hLvMQkbfdeggfgadfdicfj,gLLPQcdeffeflwadilj,Face: 2
hLLLQkbedfgfggdarxiggf,gLLPQcdeffeflwadilj,Face: 1
fLLQcbcedeetjhfqq,gLvQQbefdeffaelfpif,Edge: 12
fLAPcbcceeeaajsjc,gLvQQbefdeffaelfpif,Edge: 8
hLLzQkcdegffggakuatcoc,gLvQQbefdeffaelfpif,Face: 12
hLvAQkcdefgfggaraqmrvn,gLvQQbefdeffaelfpif,Face: 11
