target,source,label
eLPkbcddddcwrf,dLQbcccdero,Face: 6
eLAkbccddhhnqs,dLQbcccdero,Face: 5
eLPkbcdddmbkgo,dLQbcccdero,Face: 4
eLPkbcdddhggcv,dLQbcccdero,Face: 3
fLLQcccddeeijbwer,eLPkbcddddcwrf,Face: 8
fLLQcbcedeetsafqh,eLPkbcddddcwrf,Face: 7
fvPQccdedeeccjwfo,eLPkbcddddcwrf,Face: 6
fLLQcbededemdodfd,eLPkbcddddcwrf,Face: 5
fLLQcbcdeeeacrdmt,eLPkbcddddcwrf,Face: 4
fLLQcbcdeeeacbdxu,eLPkbcddddcwrf,Face: 3
fLLQcbeddeedajvae,eLPkbcddddcwrf,Face: 2
fLLQcbeddeedqjvap,eLPkbcddddcwrf,Face: 1
fLLQcacdeeejkaicr,eLAkbccddhhnqs,Face: 8
fLLQcaddeeenuaplf,eLAkbccddhhnqs,Face: 7
fLLQcbeddeehagkiu,eLAkbccddhhnqs,Face: 4
fLAMcbccdeemejmaj,eLAkbccddhhnqs,Face: 1
fLLQcbcdeeepjgpel,eLPkbcdddmbkgo,Face: 8
fLLQcbcedeedgmjmd,eLPkbcdddmbkgo,Face: 7
fvPQccdedeeccvssg,eLPkbcdddmbkgo,Face: 6
fLLQcbcdeeemgoddp,eLPkbcdddmbkgo,Face: 5
fLLQcbcdeeeacfdhl,eLPkbcdddmbkgo,Face: 4
fLLQcbcdeeeacjdqi,eLPkbcdddmbkgo,Face: 3
fLLQcbeddeemabsle,eLPkbcdddmbkgo,Face: 2
fLLQcbeddeemqjvae,eLPkbcdddmbkgo,Face: 1
fLLQcbcdeeeakfmma,eLPkbcdddhggcv,Face: 8
fLLQcbcdeeelsfxxh,eLPkbcdddhggcv,Face: 7
fLLQcbededeahnift,eLPkbcdddhggcv,Face: 2
gLvQQadefeffjauebfs,fLLQcccddeeijbwer,Face: 10
gLLAQbddeeffmkcdtck,fLLQcccddeeijbwer,Face: 9
gLLAQaddefffneaevjb,fLLQcccddeeijbwer,Face: 8
gLLAQbddeeffmvndtck,fLLQcccddeeijbwer,Face: 7
gLLAQbcedeffhgmfuwn,fLLQcccddeeijbwer,Face: 6
gLLAQbcedeffhnqkhcj,fLLQcccddeeijbwer,Face: 5
gLLMQbdeeffftvxemms,fLLQcccddeeijbwer,Face: 4
gLLAQbdeeffflvtqttc,fLLQcccddeeijbwer,Face: 3
gLLQPccddeffdwbkear,fLLQcccddeeijbwer,Face: 1
gLLAQccdeeffqgvuqks,fLLQcbcedeetsafqh,Face: 10
gvLQQcdfeeffwoifcqt,fLLQcbcedeetsafqh,Face: 9
gLLAQbcedffftsafhck,fLLQcbcedeetsafqh,Face: 8
gLLPQccdfeffhkcaaof,fLLQcbcedeetsafqh,Face: 7
gLLMQbcdefffdfblugf,fLLQcbcedeetsafqh,Face: 6
gLLAQbdeefffdwqiaus,fLLQcbcedeetsafqh,Face: 5
gLLPQccdefffljnedwn,fLLQcbcedeetsafqh,Face: 4
gLLAQbcedffftsxfavc,fLLQcbcedeetsafqh,Face: 3
gLLPQcdfefefaklpihk,fLLQcbcedeetsafqh,Face: 2
gLLAQbedeffftaglhun,fLLQcbcedeetsafqh,Face: 1
gvLQQcdeffeffwfeubm,fvPQccdedeeccjwfo,Face: 10
gLLPQcdfeeffioeiiqn,fvPQccdedeeccjwfo,Face: 9
gLLAQcdeefffdfiaxpo,fvPQccdedeeccjwfo,Face: 8
gvLQQcdefeffbfrifad,fvPQccdedeeccjwfo,Face: 7
gvLQQcdeffefjvgulbq,fvPQccdedeeccjwfo,Face: 6
gvLQQcdefeffonkxkml,fvPQccdedeeccjwfo,Face: 5
