id,oriented,tetrahedra
dLQbcccdero,1,3
eLPkbcddddcwrf,1,4
eLAkbccddhhnqs,1,4
eLPkbcdddmbkgo,1,4
eLPkbcdddhggcv,1,4
fLLQcccddeeijbwer,-1,5
fLLQcbcedeetsafqh,0,5
fvPQccdedeeccjwfo,1,5
fLLQcbededemdodfd,-1,5
fLLQcbcdeeeacrdmt,-1,5
fLLQcbcdeeeacbdxu,-1,5
fLLQcbeddeedajvae,-1,5
fLLQcbeddeedqjvap,1,5
fLLQcacdeeejkaicr,0,5
fLLQcaddeeenuaplf,0,5
fLLQcbeddeehagkiu,-1,5
fLAMcbccdeemejmaj,-1,5
fLLQcbcdeeepjgpel,1,5
fLLQcbcedeedgmjmd,0,5
fvPQccdedeeccvssg,-1,5
fLLQcbcdeeemgoddp,1,5
fLLQcbcdeeeacfdhl,-1,5
fLLQcbcdeeeacjdqi,-1,5
fLLQcbeddeemabsle,-1,5
fLLQcbeddeemqjvae,1,5
fLLQcbcdeeeakfmma,-1,5
fLLQcbcdeeelsfxxh,1,5
fLLQcbededeahnift,-1,5
gLvQQadefeffjauebfs,-1,6
gLLAQbddeeffmkcdtck,-1,6
gLLAQaddefffneaevjb,-1,6
gLLAQbddeeffmvndtck,-1,6
gLLAQbcedeffhgmfuwn,-1,6
gLLAQbcedeffhnqkhcj,-1,6
gLLMQbdeeffftvxemms,-1,6
gLLAQbdeeffflvtqttc,-1,6
gLLQPccddeffdwbkear,-1,6
gLLAQccdeeffqgvuqks,-1,6
gvLQQcdfeeffwoifcqt,-1,6
gLLAQbcedffftsafhck,-1,6
gLLPQccdfeffhkcaaof,-1,6
gLLMQbcdefffdfblugf,0,6
gLLAQbdeefffdwqiaus,-1,6
gLLPQccdefffljnedwn,-1,6
gLLAQbcedffftsxfavc,0,6
gLLPQcdfefefaklpihk,-1,6
gLLAQbedeffftaglhun,-1,6
gvLQQcdeffeffwfeubm,-1,6
gLLPQcdfeeffioeiiqn,-1,6
gLLAQcdeefffdfiaxpo,-1,6
gvLQQcdefeffbfrifad,-1,6
gvLQQcdeffefjvgulbq,1,6
gvLQQcdefeffonkxkml,-1,6
gLvQQbefdfefhahfahr,-1,6
gLLAQcdeeffflrexllc,-1,6
gLLPQcdfeeffaolxdlj,-1,6
gLLPQcdeffefarelqhc,-1,6
gLLMQbddefffmvgxirw,-1,6
gLLAQbddefffxvjxurf,-1,6
gLLAQbddefffmkfptjj,-1,6
gLLMQbddefffpsfhqww,-1,6
gLLAQccedffflnenawk,-1,6
gLLAQbcedffftsafxgg,-1,6
gLLAQbcdeeffabrxxwn,-1,6
gLLPQccdfeffabgaaof,-1,6
gLLAQbcdeefftsfuhnv,-2,6
gLLAQbcdeefftsgxpvf,-2,6
gLLPQcdefeffpfxxmdf,-1,6
gLLPQcdeffefakmhtqf,-1,6
gLLAQbcedffftsqfagg,-1,6
gLLAQbedeffftafltxn,-1,6
gLLAQbdeefffmkuueaj,-1,6
gLLAQbdeefffmkhhmab,-1,6
gLLPQcdefeffakxphtc,-1,6
gLLAQbddeeffmwcpxog,-2,6
gLLMQbddeeffmjnqqwg,-2,6
gLLPQcdeffefdvelaxf,-1,6
gLLAQccdefffdwrldrr,-1,6
gLLAQbcedffflgtsajj,-1,6
gLLPQcdefeffaceptmf,-1,6
gLLMQbdedfffanqktgr,-1,6
gLLPQcdeffefacmuaqf,-1,6
gLLAQbddeeffpcfplog,-2,6
gLLAQbddeeffpfjpqog,-2,6
gLLMQbceeffftsxpxxc,-1,6
gLLAQbeddfffdajvpff,-1,6
gLLAQbeddfffdajveof,-1,6
gLLMQbceefffagtepdk,-1,6
gLLMQbdedfffhcqktgr,-1,6
gLLPQcdeffefqrptaqf,-1,6
gLLMQbceffeflstmauo,-1,6
gLLMQbceffeflsmmadc,-1,6
gLLMQbcdeffflvketcc,-1,6
gLLAQbeddfffdqjveff,-1,6
gLLAQbeddfffdqjvpof,1,6
gLLMQbcdfefftsrdinn,-1,6
gLLMQbcdefffdfbtucs,-1,6
gLLAQccdeeffifveucn,-1,6
gLLQPcdcdefftgrfmhr,0,6
gLLAQbcedeffasxfaok,0,6
gLLAQcedeeffhavthqk,-1,6
gLLAQccedeffqfakdvj,-1,6
gLLQPacedeffjkemshk,-1,6
gLLPQccdefffljnedcr,-1,6
gLLMQbcefefflsxmmeo,-1,6
gLLAQccedeffqgifqfr,0,6
gLLAQbdceefftvrmtrs,0,6
gLLMQbdedeffpgafmww,-1,6
gLLAQbdcefffhgnxajb,-1,6
gLLAQceddeffahvklnk,-1,6
gLLAQadedeffnulpvfw,-1,6
gLLAQbcedeffajhfaor,0,6
gLLPQcdefeffaspqalv,-1,6
gLLMQbcdefffajkltgo,-1,6
gLLAQbcdeeffdowxdfv,-2,6
gLLAQbcdeeffdocudrf,-2,6
