id,oriented,tetrahedra
dLQbccchhsj,1,3
eLPkbcddddgkrs,0,4
eLPkbcddddggsj,1,4
fLLQcbeddeeeikvxi,0,5
fLLQcccddeeunnvun,0,5
fvPQccdedeejkrjfk,0,5
fLLQcbcedeetjhfet,-1,5
fLLQcbcedeeajhjxq,-1,5
fLLQcbeddeeeakvxi,-1,5
fLLQcccddeeujnvun,-1,5
fLLQcbcedeeajhfet,0,5
fLLQcbcdeeehjotel,1,5
fLLQcbcdeeeeccxlq,0,5
fLLQcbcdeeehjrtee,-1,5
fLLQcbededeaxohfq,-1,5
fLLQccdcdeeqckvas,1,5
gLLMQbdedfffhfafxof,-1,6
gLLMQbdedfffhgpfxkv,-1,6
gLLAQbddeeffxvrdtcj,-1,6
gLLAQbddeeffxjrxlrj,-1,6
gLLMQbcdeffflskuqjg,0,6
gLLPQcdfefefpwmpalc,0,6
gLLMQbcdeffflskpqnn,-1,6
gLLMQccdefffajvihgk,-1,6
gLLAQbeddfffeijgejj,-1,6
gLLAQccedffflnmnunj,-1,6
eLPkaccddjjban,1,4
gLvQQadefeffjahhsff,-1,6
gLLAQbddeeffxvrdhcj,-1,6
gLLAQcededfflavxwcw,-1,6
gLLAQbddeeffanrtucw,-1,6
gLLAQccdeeffakvhuvj,0,6
gLLAQaddefffjhaevgk,-1,6
gLLMQbdeeffflramppo,-1,6
gLLQPccddefftnnouar,-1,6
gLLAQbdeeffftvpdxxb,-1,6
gvLQQcdeffeffnbeubh,-1,6
gvLQQcdfeeffgferkaa,-1,6
gLLAQcdeeffflfpmpuj,0,6
gLvQQbefdfefdahnepc,-1,6
gLvQQbefdfefdahfehs,0,6
gvLQQcdeffefknkeebe,0,6
gLLAQcdeeffflgpuido,-1,6
gLvQQbefdfefadlfetn,0,6
gLLPQcdfeeffafeeuuo,-1,6
gLLAQcdeeffflcappmb,-1,6
gLLPQccdfefftnkaanf,-1,6
gLvQQbefdeffadifqtf,-1,6
gLLAQbdeefffdgedqaw,-1,6
gLLAQbcdeffftccdlww,-1,6
gLLPQccdfeffhwgaxrw,-1,6
gLLMQbddeeffxkbmmkk,-1,6
gLLAQbcdeffflrwiqnn,-1,6
gLLPQcdeffefagqeaej,-1,6
gLLAQbdeefffevuualg,-1,6
gLLPQccdefffajkelwf,-1,6
gLLAQcdceeffqkbuqkv,-2,6
gLLAQbddeeffhcrlung,-2,6
gLLAQbcedffflsafxvc,-1,6
gLLPQcdeffefakedidk,-1,6
gLLAQbcdeffflkbmabb,-1,6
gLLAQbcedffflsqfakc,-1,6
gLLPQcdeffefarphaif,-1,6
gLLMQbcdefffaskuqjg,-1,6
gLLAQbddeeffxjrxlrg,-2,6
gLLAQbddeeffxwbxhrg,-2,6
gLLMQbdefefferlaquj,-1,6
gLLAQbeddfffeajgejj,-1,6
gLLAQccedffflnanekg,-1,6
gLLMQbdedfffdkqfdjj,-1,6
gLLAQaddefffjhaevjk,-1,6
gLLAQccdeeffakveuvj,-1,6
gLLAQbddeeffanrlucw,-1,6
gLLAQbcdeeffxbraarr,-1,6
gLLQPcdcdeffugkwmaj,-1,6
gLLMQbdeefffljamppo,-1,6
gLLPQccdfeffankaanf,0,6
gLLAQbcdeffftccdaww,0,6
gLLAQbdeefffeveeaqk,0,6
gLLMQbddeeffhwrhhgg,-2,6
gLLMQbddeeffxkbmmkg,-2,6
gLLAQbcedffflsafabw,-1,6
gvLQQcdeffeffnkeube,-1,6
gLLPQcdefeffukddmtk,-1,6
gLLAQbdedffferagajv,0,6
gLLAQbdeefffhgqhdar,1,6
gLLAQbcdeeffhvommcj,-1,6
gLLPQcdfeeffafheumr,-1,6
gLLAQbcedfffhwlfawf,-1,6
gLLAQbcedffftjhjhff,-1,6
gLLMQbceffeflsxmuik,-1,6
gvLQQcdefefffrbujih,-1,6
gLLAQccedefftnegdrk,0,6
gLvQQbefdfefdahneps,0,6
gLLMQbdeeffflfqaxxf,-1,6
gLLMQbcdfefflsjetnn,0,6
gLLAQbcdeeffdbcpigw,-1,6
gLLMQbcdeffftjsdlww,-1,6
gLLMQbcdefffaskuijg,-1,6
