id,oriented,tetrahedra
eLAkaccddjnbxr,1,4
fLLQcaddeeejpumxj,1,5
fLAMcaccdeejsjxxj,1,5
fLLQcaddeeejpupdw,0,5
fLLQcacdedejbaanj,1,5
gLLAQbddeeffxwrxxgr,0,6
gLLMQbdefefflvqmemf,0,6
gLLAQaeddfffjmahgjg,-1,6
gLLAQbdceeffejnlebw,-1,6
gLLPQccdeffflkfpajr,1,6
gLLAQceddefftavkdkr,-1,6
gLLMQbddeeffajkphnk,-1,6
gLLAQbecdeffairfqjj,-1,6
gLLMQadeffefjpaxrnc,0,6
gLLAQbceeeffdfaiixj,0,6
gLALQaccefffjsjsdxd,-1,6
gLLMQaceeeffnktkkvw,-1,6
gLALQbcbeeffhajowan,-1,6
gLLAQccedfeflnxnxjr,-1,6
gLLPQccdeffflkfpmbk,0,6
gLLAQbdceeffevnlebw,0,6
gLvQQaefdeffjhahffj,-1,6
gLLAQaeddfffjmahgkg,0,6
gLLAQbecdeffairfujj,-1,6
gLLMQbdedeffaspfxfk,0,6
gLLMQadeffefjplxros,-1,6
gLLAQceddefflavkdkr,-1,6
gLLAQaddeeffjmapcoj,-1,6
gLLAQaddeeffnmapcoj,1,6
gLLMQccedeffpvajlww,-1,6
gLvQQcdcfeefavsqhrj,-1,6
hLLLQkcddfgfgghsoiggcc,-1,7
hLLAPkbdedfggglvpgbkfo,0,7
hLLAPkacedfgggnkampmow,-1,7
hLvAQkadfeggfgndqcffbw,-1,7
hLLLQkacefgfggnkbbfbvf,-1,7
hLLAMkcddeffggtrvalwar,-1,7
hLLAAkcddeefgglgwamvhn,0,7
hLLAMkbedeffggxxbdacgs,-1,7
hLLPPkcdefffggakedtkjn,0,7
hLLAAkccdeffggpkvqaolw,-1,7
hLLAPkaedegfggnldmqkee,-1,7
hLLLQkbdeegfggtvmhqjrr,-1,7
hLLAPkcddefgggugvuvonn,-1,7
hLLwQkcdegfgfgpwmppfff,-1,7
hLLPPkcdfefgggpcealsww,0,7
hLLAMkbcedffggdfawanik,-1,7
hLLzQkcdegefggloaxlfbc,0,7
hLLLQkbdeegfgglvpedrof,0,7
hvLAQkcdfgefgggrqxbxab,-1,7
hLLAAkbcedffggdfpwaglj,-1,7
hLLAPkcddefgggugvuvvww,0,7
hLLLQkbdeegfggxvamhrvo,-1,7
hLLAPkbdedfggglvxrcnss,-1,7
hLLAMkbdedfgggtvasllle,-1,7
hLLAPkccedfgggqfmfjcog,-1,7
hLLAAkbddeffggtvkhqrtk,-1,7
hLLLQkadefefggjhxggfor,-1,7
hLLLQkadgfefggjhxggovc,-1,7
hLLAMkaddeffggjhaevkqj,-1,7
hLLAPkbddeggfgxvkqkvkc,-1,7
hLLLQkaegfegfgjatgkrjg,-1,7
hLLAMkaeddfgggjmedwexx,-1,7
hLLAPkbecdfgggemnfjfow,-1,7
hLLLQkaeefggfgjmxgnnfo,-1,7
hLLLQkbcegfffgebtahgjr,-1,7
hLLPAkccdeffggpgoxicmk,-1,7
hLLAPkbcedfgfgljhfosrw,-1,7
hLvAQkaefdfgfgnlqnffbw,-1,7
hLLAAkbdceffggxvrqlcxw,-1,7
hLLMMkacdeffggnsacvbxr,-1,7
hLvAQkadeeffggnahckcvn,-1,7
hLLLQkcbefegggajmipobv,-1,7
hLLLQkadggeffgjptnovvw,-1,7
hLLAAkbdceefggtvrxdfaw,-1,7
hLLAPkbdedgfgglsacnvcr,1,7
hLLMPkbceefgggtjhdukjb,-1,7
hLLLQkbdefegggdwpplocr,-1,7
hLLMMkbceefgggtsxqafjb,0,7
hLLAPkbddefgggdwguvnvg,1,7
hLLLQkbdeefggganuuhvns,-1,7
hLLAAkccedffgglnarpvuk,-1,7
hLLLQkcddgfgfghsginvww,0,7
hLLAPkbdedfgggerdgsrff,-1,7
hLLAPkbdcefgggawwqbwrw,-1,7
hLLLQkcddfefggafwarffr,-1,7
hLLAAkbcdeffgglrwiactw,-1,7
hLLAAkcbdeffggtjkpxghg,-2,7
hLLAAkbdceffggdgwqpghg,-2,7
hLLLQkcbgfefggtjpphwwc,-1,7
hLLAPkceddgggfpavonrwr,-1,7
hLLAPkceddggfglavrookk,-1,7
hLvAQkbefefgfgaduqiufw,-1,7
hLLAPkacdegfggjbaaapnn,-1,7
hLLAMkaddefgggjpupoaxd,-1,7
hLLAPkcddefgggugvusvnn,-1,7
hLMLAkacdeffggbglvvjqw,-2,7
hLMLAkacdfefggbgmcfnmn,-2,7
hLLAMkbcedffggdfaflwik,-1,7
hLLAAkbcedffggdfpfajlj,-1,7
hLLAMkaddefgggjpumoaxx,-1,7
hLvAQkadfefgggndqcfffv,-1,7
hLLAAkaedeefggnaaxkvqn,-1,7
hLLAAkbedeffggtablaulk,-1,7
hLLMPkacdefgfgnkxjfxwf,-2,7
hLLMPkacdegffgnkpjerwc,-2,7
hLLAAkccedffggpvaodsqj,-1,7
hLLAMkbdcefgggtvrxalii,-1,7
hLLAAkbdecefggesdjlvak,-1,7
hLLAAkbcdeffggxbraqrxw,-1,7
hLLAPkbcedfgggekdjgnbj,0,7
hLvAQkaeffegggjaqkjjcs,-1,7
hLLAPkceddggfguqvgnvjf,-1,7
hLLAPkaddegfggjpumdkll,-1,7
hLLLQkadggeffgjptnnggo,0,7
hLLAPkbdcefgggtssqnksn,0,7
