id,oriented,tetrahedra
eLAkaccddjsjaj,1,4
fLLQcaddeeejidpxc,0,5
fLAMcaccdeejnbaxr,0,5
gLvQQaefdeffjhxhfrb,-1,6
gLLPQccdefffpvnepwk,0,6
gLLAQcddeefflgwamnn,0,6
gLLAQadedeffjillsfj,0,6
gLLMQccdfeffpvwmhgj,0,6
gLLMQbdcefffanwuuwr,-1,6
gLLMQbdedeffasqfxjs,0,6
gLLAQbecdeffamrfufk,-1,6
gLLMQadefeffjxumcnb,-1,6
gLALQaccfeffjnbebpa,-1,6
gLLAQbceeefflruiixj,0,6
gLLAQaedefefnaperrk,-1,6
gLALQbcbeeffhajofhs,0,6
gLLAQacdefefjbqaqkn,0,6
hLLLQkbcgfegfgdfiidcbc,-1,7
hLLzQkcdegegfglwaulvjf,-1,7
hLvAQkadffegggnuqrcffw,-1,7
hLvPQkafeegfggnqqsbsjj,-1,7
hLLAAkcedeffgglpvauuhj,-1,7
hLLPPkcdfeefggafeeqokj,-1,7
hLLMPkbddegfgglvjpbogg,-1,7
hLLMPkbcdegfggebbujbss,0,7
hLLLQkbcfgefggeshaevvf,-1,7
hLLAPkbdedgfgglrasbvgs,0,7
hLLAAkccedffggpvmnanlr,-1,7
hLLLQkcddgfgfghrgubvfc,-1,7
hLLLQkbdggeffgtvqqtgcw,-1,7
hLLAPkbcdegfggebblsgvc,0,7
hLLAAkbddeefggxwrxxrxr,0,7
hLLLQkbdeefgfghgpmponk,-1,7
hLLLQkadeegfggjxxccnof,-1,7
hLLLQkbdeegggferqqmwsj,-1,7
hLLLQkacegffggnkswbjww,-1,7
hLLAAkccedffgglbpnabqw,-1,7
hLLLQkadegefggjixwccss,-1,7
hLLAPkbecdfgggeissjfkw,-1,7
hLLLQkcefgeffguaqeqirr,-1,7
fLLQcadddeejhahqs,1,5
hLLLQkbcdgfgfgebnajngg,0,7
hLLAMkbdedffggtvarxktk,0,7
hLLAPkbcedfgfgajhfjsjs,0,7
hLvAQkadeefgfgnepcfonk,-1,7
hLLAAkbdecffggxvhjacxj,-1,7
hLLMMkacdeffggjbacvbaj,-1,7
hLLAPkceddfgfgahvkckwr,-1,7
hLLAAkbdeeffggtvadxxtk,-1,7
hLLLQkadgegffgjimssvvo,-1,7
hLLAAkaddeefggjidpcoaj,-1,7
hLLLQkcefefgggutddduck,0,7
hLLMPkbdedfggglvqffcgw,-1,7
hvLPQkcdefggfgkckxhaxk,0,7
hLLMMkcedffgggppvtebnb,-1,7
hLvAQkbeffegggtqeamiwf,-1,7
hLLLQkbdeegfgganpuqbbj,-1,7
hLLAMkbcedffggtcaranik,-1,7
hLLMPkbddefgggxvrqsorn,0,7
hLLLQkbdfefgggasixifcf,-1,7
hLLAPkcddeffgghrvannks,-1,7
hLLAPkbdcegfgganwqnnwf,-1,7
hLLAAkbcdeffggtccdacik,-1,7
hLLAAkbdceffgghwwqqghg,-2,7
hLLAAkcbedffggqjuseslg,-2,7
hLLLQkcbfegfggqjihibbg,-1,7
hLLAPkceddggfgpavoojjg,-1,7
hLLAPkceddgggftavooocw,-1,7
hLvAQkbefefgfgaeqqilfk,-1,7
hLLMAkbddeefggasbiisqw,0,7
hLLLQkbefgfefgaadldins,0,7
hLLAPkacdeffggnkeaeabg,-2,7
hLLAMkbcedffggdfafantw,-1,7
hLLAPkaedeffggnaaqvjaw,-1,7
hLLAMkaeddfgggjaatvpxd,-1,7
hLvAQkadeefgfgnadrfook,-2,7
hLvAQkadfefeggnaqcnvvk,-2,7
hLLAAkccedffggpvaoekir,-1,7
hLLAMkaeddfgggjtpdbaxx,-1,7
hLLAAkaedeefggniuefoaw,-1,7
