id,oriented,tetrahedra
eLAkaccddjsjqj,1,4
fLLQcadedeejpllxo,0,5
fLLQccceddetnxcwj,-1,5
fLLQcacdeeejkdxco,0,5
fLAMcaccdeejnbaqw,-1,5
gLvQQadefeffnqhhjfc,-1,6
gLLMQbcdefffdfbhtsr,0,6
gLLAQcddeefflgwamkk,-1,6
gLLAQaddeeffjpupcoj,0,6
gLLMQbcdeffftcbhqsc,-1,6
gLLMQaedfeffjauqkws,-1,6
gLLMQacdfeffnkxccnn,0,6
gLLAQbecdeffamrfusn,-1,6
gLLMQbdcefffxvsmpvr,-1,6
gLALQbcceeffdiggnur,-1,6
gLLPQcdcfeffqsnatjk,-1,6
gLLAQcbdeeffajnmdvw,-1,6
gLALQbcbeeffhajofxj,-1,6
gLLPQcdcfeefqrnqask,-1,6
gLLMQbcdefffdfbhqfn,-1,6
gLLQPccddefftnnruxn,0,6
gLLAQbcdeeffhfreesw,-1,6
gLvQQaefdeffjhqhfwb,-1,6
gLLAQccdeeffakvhqcn,0,6
gLLAQccdeeffawveiks,-1,6
gLLMQcededffahkejww,-1,6
gLLAQbddeeffhgcuekj,-1,6
gLLAQbceeefflruiihj,-1,6
gLALQaccfeffjnbpbpq,-1,6
gLALQbcbeeffxajofhs,-1,6
gLLAQaedefefnapegrn,-1,6
gLLAQacdefefjbqahkk,-1,6
hLLLQkbcegffggebdaecjk,-1,7
hLLzQkcdegeggflwaulvoj,-1,7
hLvAQkcdeegggfavellwjr,-1,7
hLvAQkadfgegfgnqqgrswg,-1,7
hLLAAkcedeffgglpvauuxs,-1,7
hLLPPkcdfeefggafeeqovj,-1,7
hLLAPkccdegfggawvhcbwn,-1,7
hLLLQkbddfggfgajfpwkkb,0,7
hLvMQkbefefgggladxdxow,-1,7
hLLAMkbdedfgggdwasltth,-1,7
hLLAAkbcedffggebikasiw,-1,7
hLvAQkbefegfggdadqmuwc,-1,7
hLLAPkbddefgggxvrxkbsw,-1,7
hvLAQkcdegfgfgkjoxiaik,-1,7
hLLMMkbceefgggdfapavjj,0,7
hLLAPkcddefgggpgvqfgss,-1,7
hLLAAkbcdeffggdfbiabpr,-1,7
hLLLQkbdfegfggxvimmoco,-1,7
hLLLQkbdffegggtvqqtwvr,-1,7
hLLAPkbcdefgggebbmbfcv,-1,7
hLLAAkbddeefggxwrxxrqw,-1,7
hLLLQkbdeefgfghgpmiokk,-1,7
hLLLQkadefegggjhxwgbfo,-1,7
hLLLQkbdeeggfgerqqmwjj,-1,7
hLLLQkacegffggnkjoogsr,-1,7
hLLAAkccedffgglbpnabxr,-1,7
hLLLQkadefegggjpxborss,-1,7
hLLAPkbecdfgggtpssbwkw,-1,7
hLLLQkcefgeffguaqiqirw,-1,7
fLLQcadddeejhahaj,1,5
hLLAPkbdecfggglvanbrsr,-1,7
hLLLQkbdeeffgglveepgok,-1,7
hLLAPkbcedfgfgajhfssjs,0,7
hLvAQkaefdefggjulscknj,-1,7
hLLAAkbdceffggxvsxacxj,-1,7
hLLMMkacdeffggjbacvbqj,-1,7
hLLAPkceddfgfgahvkkkrr,-1,7
hLLAAkbdeeffggtvadxxek,-1,7
hLLLQkadfefgggjpicnwwo,-1,7
hLLAAkadedefggjpllofas,-1,7
hLvAQkbeffgeggdadapdwc,-1,7
hLLAPkccdefggghwrlbjco,-1,7
hvLAQkcdfgefggbraqbxhr,-1,7
hLLLQkceffegggutqpqujw,-1,7
hLLPPkcdefegggtcaeasvo,-1,7
hLLLQkbdffegggajiihfcf,-1,7
hLLAAkbcdeffggtcbdabpk,-1,7
hLLAPkbdedgfggdsagfkgr,-1,7
hLLAPkbdedfgggdkxgckff,-1,7
hLLAPkcddeffgghrvannvj,-1,7
hLLAPkbdcefgggawnhwwfk,-1,7
hLLAAkbcdeffggtccdacpk,-1,7
hLLAAkbdceffgghwrxqghg,-2,7
hLLAMkbdceffgghwripfqf,-2,7
hLLLQkaedfggfgnxhggssf,-1,7
hLLAPkceddggfgpavoojsr,-1,7
hLLAPkceddggfgtavooorn,-1,7
hLvAQkbefefgfgaeqqimfn,-1,7
hLLMAkbddeefggasbiisxr,-1,7
hLLAMkadedfgggnmllnaii,0,7
hLLAAkacdeffggnkxleeco,-2,7
hLLAMkbcedffggdfafanpr,-1,7
hLLAPkaedeffggnaaqvjhr,-1,7
hLLAPkcdedffggurpvrrvk,-1,7
hLLPMkacedffggjsmsrrxb,-2,7
hLLPAkacedffggjsxsffao,-2,7
hLLAAkccedffggpvaoekew,-1,7
hLLAMkbdcefgggtvsdaemm,-1,7
hLLAAkcbdeefggtjbmtraj,-1,7
hLLLQkcefgeffghaehhtrj,-1,7
hLLAPkbdedfgggtvassrws,-1,7
hLvAQkadefgfggjaeksgrr,-1,7
hLLMAkbeedffgghhafxxxj,-1,7
hLLAPkadedfgggnmllftdd,-1,7
hLLLQkadgeffggnmabbbvs,-1,7
hLAvQkbccegfggtugcthgv,-1,7
hLAwAkcbcdffgglegtfohj,-1,7
hLAvQkbccegffgtugsptrs,-1,7
hLLAMkbdddffggxvrrrjds,-1,7
hLAwAkbccdffggaasxkohw,-1,7
hLLAAkbcceffggtondajmk,-1,7
hLLMAkbdedffggtsaflodr,-1,7
hLLMAkccdfefggubvhtwdk,-1,7
hLLAAkbcdeefggxbraagqw,-1,7
hLALPkcbbegfgghqnohmjg,-1,7
hLLAAkcedeefgghlvaeqhs,-1,7
hLLAAkccdeefggakveuchj,-1,7
hLLAAkbddeefgganrlunxr,-1,7
hLLAAkcdecffggqsanevuk,-1,7
hLLAAkbddeefggxvrdtvhj,-1,7
hLLAPkadedfgggnaalbiil,-1,7
hLLLQkadfeggfgnadssccc,-1,7
hLLLQkbceggfgfasxalrwk,-1,7
hLLMPkacdefgfgnkusjhnf,-2,7
hLLMPkacdegffgnkqvavnc,-2,7
hLLAPkbcedfgfglsxjssrw,-1,7
hLLAPkaedeffggnauqowlj,-1,7
hLLAAkbedcefggaabntrhk,-1,7
hLLAPkceddfgfglavnccwr,-1,7
hLALPkcbbegfggaqnsadrs,-1,7
hLLMPkaceffeggnktckgus,-2,7
