id,oriented,tetrahedra
eLAkaccddnnbqj,1,4
fLLQcadedeejuldpv,1,5
fLAMcaccdeensjxhw,1,5
fLLQcacdeeenkepco,1,5
fLLQcacdedenbxark,1,5
gLLAQbddeeffxwnxxbj,1,6
gLLAQbdedffflvurxno,1,6
gLLAQbdcefffhgwqugc,1,6
gLLAQaddeeffjuapnok,-1,6
gLLMQbcdeffflrwhtcr,-1,6
gLLAQceddefftavkhcj,-1,6
gLLMQacdfeffnbxcnjj,-1,6
gLLAQbecdeffainfqsn,-1,6
gLLAQcdeefeflkheapr,-1,6
gLLAQbceeeffebdqqhw,1,6
gLALQaccefffnsjslqt,-1,6
gLLMQacedfffjktwvbb,-1,6
gLALQbcbeeffxanowar,-1,6
gLLAQccedfeflnhnxwk,-1,6
gLLMQbcdefffebbtiob,-1,6
gLLQPccddefflnnouhj,-1,6
gLvQQaefdeffnhqhffk,-1,6
gLLAQadedfffnxxhgkg,1,6
gLLAQbddeeffajkthkn,-1,6
gLLAQccdeeffawvhukw,-1,6
gLLAQcededfflavxjkn,-1,6
gLLAQbddeeffxvrxqgr,-1,6
gLLAQaddeeffjiapcfw,1,6
gLLAQaeddeffnmadcok,1,6
gLLAQaeddeffjiddcjn,-1,6
gLLQPacdedffnbxaraj,-1,6
hLLAPkbdedfgggtvdggvof,-1,7
hLLLQkbddffgggxjfxrvjc,-1,7
hLLAPkacedfgggjkumtako,1,7
hLvPQkafeegfggjqdsrfsf,-1,7
hLLLQkacegffggjksfbsso,-1,7
hLLAMkcddeffggtrvaqsus,1,7
hLLAAkcddeefggtgwamvqj,-1,7
hLLPAkcdeffeggqrddqqxk,1,7
hLLPMkcdefffggaredqkck,-1,7
hLLAAkccdeffggpkvdabtw,-1,7
hLLLQkbeefgffgxadmlesk,-1,7
hLLAPkccdegfggakvhbrco,-1,7
hLLLQkbddfgfggarfpvfws,-1,7
hLLLQkcdfeggfgpkxqpgkg,-1,7
hLLAMkbdedfgggevxsluxi,1,7
hLLAAkccdeffggubwuanij,-1,7
hLvAQkbeffegggdpdequjc,-1,7
hLLLQkcddegfgghsgpnrkr,-1,7
hvLPQkcdefgfggkrfetptr,-1,7
hLLLQkbdeegfggasuxukog,-1,7
hLLAPkcddefgggufvlnjww,-1,7
hLLAMkbcdeffggebblarir,-1,7
