target,source,label
fLLQcadedeejiulxk,eLAkaccddnnbqw,Face: 7
fLAMcaccdeensjxhj,eLAkaccddnnbqw,Face: 5
fLLQcacdeeenkepcg,eLAkaccddnnbqw,Face: 4
fLLQcacdedenbxank,eLAkaccddnnbqw,Face: 3
gLLAQbddeeffxwnxxbw,fLLQcadedeejiulxk,Face: 10
gLLAQbdedffftvurxno,fLLQcadedeejiulxk,Face: 9
gLLAQbdcefffhgsqugc,fLLQcadedeejiulxk,Face: 8
gLLAQaddeeffnuapnok,fLLQcadedeejiulxk,Face: 7
gLLMQbcdeffflrwhtsr,fLLQcadedeejiulxk,Face: 5
gLLAQceddefftavkhcw,fLLQcadedeejiulxk,Face: 4
gLLMQacdfeffjbxcnjj,fLLQcadedeejiulxk,Face: 3
gLLAQbecdeffainfqsj,fLLQcadedeejiulxk,Face: 2
gLLAQcdeefeflkheapn,fLLQcadedeejiulxk,Face: 1
gLLAQbceeeffebdqqhj,fLAMcaccdeensjxhj,Face: 9
gLALQaccefffnsjslqd,fLAMcaccdeensjxhj,Face: 7
gLLMQacedfffnktwvbb,fLAMcaccdeensjxhj,Face: 4
gLALQbcbeeffxajowar,fLAMcaccdeensjxhj,Face: 3
gLLAQccedfeflnhnxsk,fLAMcaccdeensjxhj,Face: 2
gLLAQbdedffftvurxno,fLLQcacdeeenkepcg,Face: 9
gLLMQbcdefffebbtivb,fLLQcacdeeenkepcg,Face: 8
gLLQPccddefftnnouhj,fLLQcacdeeenkepcg,Face: 7
gLvQQaefdeffnhqhffs,fLLQcacdeeenkepcg,Face: 6
gLLAQadedfffnxuhgkg,fLLQcacdeeenkepcg,Face: 5
gLLAQbddeeffanrtukn,fLLQcacdeeenkepcg,Face: 4
gLLAQccdeeffakvhukw,fLLQcacdeeenkepcg,Face: 3
gLLAQcededfflavxwkn,fLLQcacdeeenkepcg,Face: 2
gLLAQbddeeffxvrdhnw,fLLQcacdeeenkepcg,Face: 1
gLLAQaddeeffjiapcfj,fLLQcacdedenbxank,Face: 9
gLLAQaeddeffniadcok,fLLQcacdedenbxank,Face: 7
gLLAQaeddeffniddcjn,fLLQcacdedenbxank,Face: 4
gLLQPacdedffjbxaraj,fLLQcacdedenbxank,Face: 3
hLLAPkbdedfggglvdggvof,gLLAQbddeeffxwnxxbw,Face: 12
hLLLQkbddffgggxjfxrvrc,gLLAQbddeeffxwnxxbw,Face: 10
hLLAPkacedfgggnkumtako,gLLAQbddeeffxwnxxbw,Face: 9
hLvPQkafeegfggnqdsrfsf,gLLAQbddeeffxwnxxbw,Face: 8
hLLLQkacegffggnksfbsso,gLLAQbddeeffxwnxxbw,Face: 7
hLLAMkcddeffggtrvaqsuw,gLLAQbddeeffxwnxxbw,Face: 6
hLLAAkcddeefggtgwamvqn,gLLAQbddeeffxwnxxbw,Face: 5
hLLPAkcdeffeggqrddqqxj,gLLAQbddeeffxwnxxbw,Face: 4
hLLPMkcdefffggaredqkcj,gLLAQbddeeffxwnxxbw,Face: 3
hLLAAkccdeffggpkvdabts,gLLAQbddeeffxwnxxbw,Face: 2
hLLLQkbeefgffgxadmlesj,gLLAQbddeeffxwnxxbw,Face: 1
fLLQcacdeeenkepcg,gLLAQbdedffftvurxno,Edge: 12
hLLAPkccdegfggakvhbrcg,gLLAQbdedffftvurxno,Face: 12
hLLLQkbddfgfggarfpsfws,gLLAQbdedffftvurxno,Face: 11
hLLLQkcdfeggfgpkxqpgwg,gLLAQbdedffftvurxno,Face: 10
hLLAMkbdedfgggevxslpxi,gLLAQbdedffftvurxno,Face: 9
hLLAAkbcedffggdfarajmk,gLLAQbdedffftvurxno,Face: 8
hLvAQkbeffegggexeauugf,gLLAQbdedffftvurxno,Face: 7
hLLLQkcddegfgghsgpnrfr,gLLAQbdedffftvurxno,Face: 6
hvLPQkcdefgfggksftepeb,gLLAQbdedffftvurxno,Face: 5
hLLLQkbdeefggganpuxroc,gLLAQbdedffftvurxno,Face: 4
hLLAPkcddefgggufvlnvww,gLLAQbdedffftvurxno,Face: 3
hLLAMkbcdeffggebblarin,gLLAQbdedffftvurxno,Face: 2
hLLAPkbdedgfgglvagjkbw,gLLAQbdedffftvurxno,Face: 1
hLLAMkbeedfgggtmagdgrk,gLLAQbdcefffhgsqugc,Face: 12
hLLAPkceddgfggpproobbr,gLLAQbdcefffhgsqugc,Face: 10
hLLLQkbdeeffgglviipjjk,gLLAQbdcefffhgsqugc,Face: 9
hLLLQkadeeggfgjxxcnoro,gLLAQbdcefffhgsqugc,Face: 8
hLLLQkbdfgfgegxvhhmkrg,gLLAQbdcefffhgsqugc,Face: 7
hLLAMkadedffggjxxhggaj,gLLAQbdcefffhgsqugc,Face: 6
hLLMAkbdeffeggxvuqqmmr,gLLAQbdcefffhgsqugc,Face: 5
hLLLQkcddeffgglwfljjfr,gLLAQbdcefffhgsqugc,Face: 4
hLLAMkbdcefgggevsuauai,gLLAQbdcefffhgsqugc,Face: 3
hLLAPkbecdgfggluwsjoko,gLLAQbdcefffhgsqugc,Face: 2
hLLLQkcefdgfgguaqrmrgj,gLLAQbdcefffhgsqugc,Face: 1
hLLAPkbdecfgggtvajnrsc,gLLAQaddeeffnuapnok,Face: 12
hLLLQkbdeeffggtvhqpgor,gLLAQaddeeffnuapnok,Face: 10
hLLAPkccdegffghwvlvvjj,gLLAQaddeeffnuapnok,Face: 9
hLvAQkaefdefggnuqwcrwk,gLLAQaddeeffnuapnok,Face: 8
hLLzQkccdegffgqfnqffrr,gLLAQaddeeffnuapnok,Face: 7
hLLMMkacdeffggnsacvkqw,gLLAQaddeeffnuapnok,Face: 6
hLvAQkadeeffggnahcrggk,gLLAQaddeeffnuapnok,Face: 5
