id,oriented,tetrahedra
eLAkaccddnsjak,1,4
fLLQcaddeeenmdpxc,1,5
fLAMcaccdeennbaxk,1,5
gLvQQaefdeffnhehfrb,-1,6
gLLPQccdefffpfopicf,1,6
gLLAQcddeefftgwamnr,1,6
gLLAQadedeffnmllsfj,1,6
gLLAQbddeffflvkhlkw,0,6
gLLMQbdcfeffajshhwr,-1,6
gLLAQcdceeffawritwr,-1,6
gLLAQbecdeffamnfufr,-1,6
gLLAQaedefffntepwbj,-1,6
gLALQaccfeffnnbdble,-1,6
gLLAQbceeefflrqiixn,1,6
gLLAQaedefefjaperrj,-1,6
gLALQbcbeeffhawofhw,-1,6
gLLAQacdefefnbqaqkj,1,6
hLLLQkbcgfegfgdfdedrsc,-1,7
hLLLQkbcfeggfgebmumfcc,-1,7
hLLLQkcdffgegguwxxqwsr,-1,7
hLvAQkadffegggjuqrcbfw,-1,7
hLvPQkafeegfggjqdsbsjj,-1,7
hLLAAkcedeffgglpvapuhk,-1,7
hLLzQkcdegegfgtwaulvkf,-1,7
hLLLQkacegffggnbfssbbv,-1,7
hLLPPkcdfeefggafeelokw,-1,7
hLLAAkcedeffggluvpuuij,-1,7
hLLzQkcdffgeggawdxlrns,-1,7
hLLMPkbddegfggtvjpjogg,-1,7
hLLMPkbcdegfggdfbqkvss,-1,7
hLLLQkbcfgefggdvhpdwwf,-1,7
hLLAPkbdedgfggtrasjvgs,1,7
hLLAAkccedffggubmganlk,-1,7
hLLLQkbddefggghgregroc,-1,7
hLLLQkbdggeffglvqqtgow,-1,7
hLLAPkbcdefgggdfbmwovc,0,7
hLLAAkbddeefggxwnxxrxk,1,7
hLLLQkbdeefgfghgpmpojj,-1,7
hLLLQkccfgeeggqfhiawjo,-1,7
hLLLQkbdeegggferqqxwsn,-1,7
hLLLQkacegffggjkssbjss,1,7
hLLAAkccedffggtnaouvmw,-1,7
hLLLQkadegefggnmxwccss,-1,7
hLLAPkbecdfgggdtwskckw,-1,7
hLLLQkcefgeffgpaexqirw,-1,7
hLLLQkbcdgffggdfnagjrg,1,7
hLLMMkbddeffgglvkpmjmk,0,7
hLLAPkbcedfgfgtsxfjsjw,1,7
hLvAQkadeefgfgjepcfonj,-1,7
hLLLQkaceeffggnkvcnnvj,-1,7
hLLMMkacdeffggjbacvkan,-1,7
hLLAPkceddfgfgtqvnkvwj,-1,7
hLLAAkbdeeffggtvedxxtj,-1,7
hLLLQkadgegffgnmmssvvo,-1,7
hLLAAkaddeefggnmdpcoaj,-1,7
hLLPPkcdefegggucuepvvo,0,7
hLLMPkbdedgfggtvdfjrgw,-1,7
hvLPQkcdefgfggkjfeapqk,0,7
hLLMMkcedffgggltvddbcf,-1,7
hLLLQkcdegfgfgtcipiggr,-1,7
hLLLQkbdeegfggdsxpxcnn,0,7
hLLAAkcdceffgglwopacxj,-1,7
hLLLQkbddgfgfgdsrxgjbj,-1,7
hLLLQkbdffegggawimpbcf,-1,7
hLLAPkcddeffgghrvarrww,-1,7
hLLAPkbdcefgggajsqjjvs,-1,7
hLLAAkbcdeffggtccdabij,-1,7
hLLAAkbdceffgghwsqtjmg,-2,7
hLLAAkcbedffggqnusdnig,-2,7
hLLAAkbcdeffggebbahcpr,-1,7
hLLAPkceddgggfuavvojsj,-1,7
hLLAPkceddgggftavobbsj,-1,7
hLvAQkbeffgefgaeqmxtfj,-1,7
hLLMAkbddeefggakbiisqj,-1,7
hLLLQkbefgfefgamdldinw,-1,7
hLLMPkbcdegfggdfbqgfss,-1,7
hLLAPkacdeffggjkeadabg,-2,7
hLLAPkacdeffggjkeaepbg,-2,7
hLLLQkacgfefggjkbbvbbc,-1,7
hLLAAkbcedffggebdfaohk,-1,7
hLLLQkbeeffgfgaapqphbk,-1,7
hLLPMkcdfeefggawdxdfkr,-1,7
hLLAPkaedeffggjaaqvjas,-1,7
hLLAMkaeddfgggnaalvpxd,-1,7
hLvAQkadeefgfgjadrfooj,-2,7
hLvAQkadfefeggjaqcnvvj,-2,7
hLLAAkccedffggubavekik,-1,7
hLLAMkaeddfgggntphbaxx,-1,7
hLLAAkaedeefggjiuefoas,-1,7
hLwLQkacegffggnnrnjkbb,-1,7
hLLAPkcedefggghlwahogj,-1,7
hLLLQkbedeggfgxxfxpvjj,-1,7
hLvAQkadfeggfgjdqcbjno,-1,7
hLLLQkaeeffgggntxjjcwo,-1,7
hLLLQkaedegfggjihfgkss,-1,7
hLLAPkbdeeggfgevdhafnn,-1,7
hLLAPkbdcefggglvrxbrsc,-1,7
hLALPkbccffgggdmgehixc,-1,7
hLALPkcbcfggfgpdvpaphj,-1,7
hLAwAkbccdffggeiktgbxn,-1,7
hLAvQkbccefgfgtpkruujs,-1,7
hLALPkaccfgfggnnbxaqav,-1,7
hLAwAkbccdffggaurikoan,-1,7
hLALMkacceffggnnbseecr,-1,7
hLALMkacceffggnnbsaafn,-1,7
hLAzPkaccefgggnnbjaacv,-1,7
hLLAPkacedgfggjktxiucb,-1,7
