target,source,label
fLAMcaccdeejgnaqw,eLAkbbcdddhrhj,Face: 8
fLAMcaccdeengbxxj,eLAkbbcdddhrhj,Face: 7
fLLQcacedeenklmbn,eLAkbbcdddhrhj,Face: 6
fLAMcbbcdeedhgqhk,eLAkbbcdddhrhj,Face: 5
fLAPcbcceeedigvnw,eLAkbbcdddhrhj,Face: 3
gLALQaccfeffjgnpbpq,fLAMcaccdeejgnaqw,Face: 10
gLLAQaedeeffnmaeknn,fLAMcaccdeejgnaqw,Face: 9
gLLAQbceeeffajhumxj,fLAMcaccdeejgnaqw,Face: 5
gLLAQccedfefhwhgasj,fLAMcaccdeejgnaqw,Face: 4
gLLPQcdcfeefhcnhasn,fLAMcaccdeejgnaqw,Face: 3
gLALQaccefffngbsdxd,fLAMcaccdeengbxxj,Face: 10
gLLMQaceefefnktfonj,fLAMcaccdeengbxxj,Face: 9
gLLAQbceeeffebxxpxj,fLAMcaccdeengbxxj,Face: 5
gLLAQccedfeftnakxnj,fLAMcaccdeengbxxj,Face: 2
gLALQbcbeeffhhjrvhr,fLAMcaccdeengbxxj,Face: 1
gLLAQcddeefflcvatkk,fLLQcacedeenklmbn,Face: 10
gLLAQaedefffntqpbwo,fLLQcacedeenklmbn,Face: 9
gLLAQacdeeffnkdxnij,fLLQcacedeenklmbn,Face: 8
gLvQQadfeeffjxqxvvo,fLLQcacedeenklmbn,Face: 7
gLLAQbddefffdsouivj,fLLQcacedeenklmbn,Face: 6
gLLAQbdedffferxgacw,fLLQcacedeenklmbn,Face: 4
gLLAQaedefffnapqcnw,fLLQcacedeenklmbn,Face: 3
gLLAQcedcfffhavnlco,fLLQcacedeenklmbn,Face: 2
gLLAQbdeeeffdguumhw,fLLQcacedeenklmbn,Face: 1
gLALQbbcefffdhgnixe,fLAMcbbcdeedhgqhk,Face: 10
gLLAQaceefffnktxxmx,fLAMcbbcdeedhgqhk,Face: 9
gLLPQcdcefffqsnpqnn,fLAMcbbcdeedhgqhk,Face: 5
gLAMPbbcdeffdhgaxhs,fLAMcbbcdeedhgqhk,Face: 3
gLALQbcbeeffhxjskqw,fLAMcbbcdeedhgqhk,Face: 2
gLAMPaccdeffngbqqxr,fLAMcbbcdeedhgqhk,Face: 1
gLALQaccfeffjgnpbpq,fLAPcbcceeedigvnw,Face: 10
gLALQaccefffngbsdxd,fLAPcbcceeedigvnw,Face: 9
gLLPQcdeffeflwapuls,fLAPcbcceeedigvnw,Face: 8
gLALQbbcefffdhgnixe,fLAPcbcceeedigvnw,Face: 7
gLLAQceedeffahukeqw,fLAPcbcceeedigvnw,Face: 5
gLLAQbdddfffhgkkkvj,fLAPcbcceeedigvnw,Face: 4
gLALQbbcefffdhroahh,fLAPcbcceeedigvnw,Face: 1
fLAPcbcceeedigvnw,gLALQaccfeffjgnpbpq,Edge: 12
hLALPkbccffgggtugepqqb,gLALQaccfeffjgnpbpq,Face: 12
hLALAkbcceefggtugnceaj,gLALQaccfeffjgnpbpq,Face: 11
hLLPPkcdefefgglwadlrwn,gLALQaccfeffjgnpbpq,Face: 10
hLALPkcbcefgfgudbgaxjr,gLALQaccfeffjgnpbpq,Face: 9
hLAzMkacceffggjgnkaavw,gLALQaccfeffjgnpbpq,Face: 5
hLALPkaccffgggjgnqlaao,gLALQaccfeffjgnpbpq,Face: 4
hLAwAkbccdffggaajhfkar,gLALQaccfeffjgnpbpq,Face: 1
hLLLQkaeeffgggjligvvog,gLLAQaedeeffnmaeknn,Face: 12
hLLAPkbdedffgglvagksfr,gLLAQaedeeffnmaeknn,Face: 10
hLLMPkbdedfgfghfafoorw,gLLAQaedeeffnmaeknn,Face: 9
hLLAPkacedgfggnktmlqsn,gLLAQaedeeffnmaeknn,Face: 8
hLLAAkbdceffgghgrxugxw,gLLAQaedeeffnmaeknn,Face: 7
hLLPMkacedffggnkpnwkmr,gLLAQaedeeffnmaeknn,Face: 6
hLLLQkadefegggjpxjorsr,gLLAQaedeeffnmaeknn,Face: 5
hLLAAkbecdefggearficxj,gLLAQaedeeffnmaeknn,Face: 3
hLLMMkcbefefggajxidcbj,gLLAQaedeeffnmaeknn,Face: 2
hLLAPkceddfgfgtavknnjs,gLLAQaedeeffnmaeknn,Face: 1
hLALPkbccffgggtugepqqb,gLLAQbceeeffajhumxj,Face: 12
hLLMAkbcdeffggaskulkuj,gLLAQbceeeffajhumxj,Face: 11
hLLAPkacedgfggnktmlqsn,gLLAQbceeeffajhumxj,Face: 10
hLALPkbccffgggtugepqqb,gLLAQbceeeffajhumxj,Face: 9
hLLMAkcdcfeeggtcchavxr,gLLAQbceeeffajhumxj,Face: 7
hLLAMkbdedfgfgeslwxhgk,gLLAQbceeeffajhumxj,Face: 6
hLLPAkbddeefggevstpnhs,gLLAQbceeeffajhumxj,Face: 5
hLLAAkceddefgglavnekhj,gLLAQbceeeffajhumxj,Face: 4
hLLAAkbecdefggaarfifxj,gLLAQbceeeffajhumxj,Face: 3
hLLLQkbdfgeggfhgqiewwn,gLLAQbceeeffajhumxj,Face: 2
hLLAAkbddeefggasktxkhj,gLLAQbceeeffajhumxj,Face: 1
hLALAkbcceefggtugnceaj,gLLAQccedfefhwhgasj,Face: 12
hLLMAkccdefegglbvmljan,gLLAQccedfefhwhgasj,Face: 11
hLALAkbcceefggtugnceaj,gLLAQccedfefhwhgasj,Face: 9
hLALAkacceefggbgfgreqw,gLLAQccedfefhwhgasj,Face: 7
hLLMAkccdefeggajvllnxj,gLLAQccedfefhwhgasj,Face: 4
hLALAkbcbeefggaakowaxj,gLLAQccedfefhwhgasj,Face: 3
hLALAkbcbeefggxhjrvhak,gLLAQccedfefhwhgasj,Face: 2
hLALPkcbcefgfgudbgaxjr,gLLPQcdcfeefhcnhasn,Face: 12
hLLPMkacedffggnkiwrrar,gLLPQcdcfeefhcnhasn,Face: 11
hLALPkcbcefgfgudbgaxjr,gLLPQcdcfeefhcnhasn,Face: 9
hLLAMkbddefgfgtvnlaqnn,gLLPQcdcfeefhcnhasn,Face: 7
hLLAMkacdefgfgnsxaaxrr,gLLPQcdcfeefhcnhasn,Face: 4
hLLLQkbdgffefgtvxddwrr,gLLPQcdcfeefhcnhasn,Face: 3
fLAPcbcceeedigvnw,gLALQaccefffngbsdxd,Edge: 12
hLALPkbccffgggdigaxdqk,gLALQaccefffngbsdxd,Face: 12
hLALAkbcceefggdignwmas,gLALQaccefffngbsdxd,Face: 9
hLLzQkcdegegfglwaaljnj,gLALQaccefffngbsdxd,Face: 8
hLAwAkcbcdffgglegegnxn,gLALQaccefffngbsdxd,Face: 7
hLALAkaccfefggngbabxwj,gLALQaccefffngbsdxd,Face: 5
hLAvQkaccfgfggngbxxlxv,gLALQaccefffngbsdxd,Face: 4
hLAwAkbccdffggaasxrwxk,gLALQaccefffngbsdxd,Face: 1
hLLLQkadgfegfgnutgjssg,gLLMQaceefefnktfonj,Face: 12
hLLAPkaddegfggnuaphbat,gLLMQaceefefnktfonj,Face: 10
hLLAPkbdcegfgglvrxbvcr,gLLMQaceefefnktfonj,Face: 9
hLLMAkccdfefggubjphwtj,gLLMQaceefefnktfonj,Face: 8
hLLLQkacefefggnkbrwkvj,gLLMQaceefefnktfonj,Face: 6
hLLMPkacdefgfgnkanfijk,gLLMQaceefefnktfonj,Face: 5
hLvAQkadfefgfgnaqwngbj,gLLMQaceefefnktfonj,Face: 4
hLLAAkbecdefgglawvdkqw,gLLMQaceefefnktfonj,Face: 3
hLLLQkcbdgfgfganrxgcbv,gLLMQaceefefnktfonj,Face: 2
hLLAPkaedeffggnaaqrwqj,gLLMQaceefefnktfonj,Face: 1
hLALPkbccffgggdigaxdqk,gLLAQbceeeffebxxpxj,Face: 12
hLLAPkacedfgggnktilajj,gLLAQbceeeffebxxpxj,Face: 11
hLLMAkccdfefggubjphwtj,gLLAQbceeeffebxxpxj,Face: 10
hLALPkbccffgggdigaxdqk,gLLAQbceeeffebxxpxj,Face: 9
hLLAMkbdedfgfgdsqvphgk,gLLAQbceeeffebxxpxj,Face: 7
