id,oriented,tetrahedra
eLAkbbcdddhrxj,1,4
fLAMcaccdeejgnaxr,1,5
fLAMcaccdeengbxhj,1,5
fLLQcacedeenktefn,1,5
fLAMcbbcdeedhgqqn,1,5
fLAPcbcceeedigwsf,-1,5
gLALQaccfeffjgnebpa,-1,6
gLLAQaedeeffnmaekkk,1,6
gLLAQbceeeffajhumhj,-1,6
gLLAQccedfefhwxgajj,-1,6
gLLPQcdcfeefqcnhasn,1,6
gLALQaccefffngbslqd,-1,6
gLLMQacedfffnktwwjw,1,6
gLLAQbceeeffebxxphj,-1,6
gLLAQccedfeftnakhnj,-1,6
gLALQbcbeeffxhjrvhr,-1,6
gLLAQcddeefflcvatnn,1,6
gLLAQcedefefthvaxaj,1,6
gLLAQacdeeffnkadouk,1,6
gLvQQadfeeffjaxxsrb,-1,6
gLLAQbdedfffdkugano,-1,6
gLLAQbdedffflvaguks,-1,6
gLLAQcedeeffahvdixr,-1,6
gLLAQcedcfffhavnusk,-1,6
gLLAQaedefffnaaqcrw,-1,6
gLALQbbcefffdhgneqe,-1,6
gLLAQacddfffnkamxap,-1,6
gLLPQcdcefffhsnpqnn,-1,6
gLAMPbbcdeffdhgaxxj,-1,6
gLALQbcbeeffxxjskqw,-1,6
gLAMPaccdeffngbqqqw,1,6
gLLPQcdeffeflwaddlr,-1,6
gLLAQbdddfffhgkkjgr,-1,6
gLLAQceedeffalxnxhj,-1,6
gLALQbbcefffdhroaxx,-1,6
hLALPkbccffgggdigduxxb,-1,7
hLALAkbcceefggdigsfdak,-1,7
hLLzQkcdegegfglwaplrjf,-1,7
hLAvQkbccegffgtugretrj,-1,7
hLALPkaccfgfggjgnxaeav,-1,7
hLALMkacceffggjgnsaafr,-1,7
hLAwAkbccdffggaasxfkar,-1,7
hLLAPkbdedggfglvagkbnf,1,7
hLLLQkadgfegfgjiigcbcs,-1,7
hLLMPkbdedfgfghfafosrr,1,7
hLLAPkacedgfggnktmhuoc,-1,7
hLLAAkbdceffgghgrxugqr,-1,7
hLLwQkacdefgfgnkpgolkw,-1,7
hLLLQkadegefggjixvccns,-1,7
hLLAAkbecdefggearfichs,-1,7
hLLAMkaedeffggnapqcwpn,-1,7
hLLAPkceddfgfgtavkncjj,-1,7
hLLMAkbcdeffggaskulkls,-1,7
hLLMAkcdcfeeggtcchavqw,-2,7
hLLAMkbdedfgfgeslwxqgn,-2,7
hLLPAkbddeefggevstpnxj,-1,7
hLLAAkceddefgglavnekxj,-1,7
