id,oriented,tetrahedra
eLAkbbcddemkqw,1,4
fLAMcaccdeejgbxhj,1,5
fLAMcaccdeejgbqqn,1,5
fLLQcacedeenktxsr,1,5
fLAMcaccdeejgbaxr,1,5
fLAPcbcceeedigwsn,-1,5
gLALQaccefffjgbslqd,-1,6
gLLMQacedfffnktswjw,1,6
gLLAQbceeeffdfpplhj,-1,6
gLLAQccedfeftnakhrj,-1,6
gLALQbcbeeffxhjrvhn,-1,6
gLAPPcbceeffudbjsxk,-1,6
gLLAQacdeeffjkadjlr,1,6
gLLAQbceefefakpmxur,-1,6
gLLAQccedfeftnacqrn,-1,6
gLALQbcbeeffxxjsbqw,-1,6
gLLAQacdeeffnkedouk,-1,6
gLLAQcedefeflhvaxaj,1,6
gLLAQbcedefftsafasr,1,6
gLLAQccedeffqfmfasj,-1,6
gLLAQbdedffflvagpks,-1,6
gLLAQbdedfffdwugano,1,6
gLLAQaedefffnauqjkw,-1,6
gLLAQcedeeffapvdixr,-1,6
gLLAQcedcfffhavnprj,-1,6
eLAkaccddjnjaj,1,4
gLALQaccfeffjgbebpa,-1,6
gLLAQaedeeffnaaekkk,-1,6
gLLAQbceeeffakpmmhj,-1,6
gLLAQccedfeflnxnajj,-1,6
gLALQbcbeeffhajowhs,-1,6
gLLPQcdeffeflwadilr,-1,6
gLLAQceedeffalpnxhj,-1,6
gLALQbbcefffemnoaxx,-1,6
gLLAQbdddfffhgkkjgv,-1,6
hLALPkbccffgggtugaqemj,-1,7
hLALAkbcceefggtugsrtar,-1,7
hLLPPkcdefefgglwaplscw,-1,7
hLAwAkbccdffggtugegnxr,-1,7
hLAzAkacceffggjgbkaxcj,-1,7
hLAwAkbccdffggaajhrwxj,-1,7
hLALPkaccffgggjgbaxuln,-1,7
hLLAPkbdedffgglvagfnbj,-1,7
hLLLQkcddfegggtgfaroov,1,7
hLLMAkccdfefggpvjahnds,-1,7
hLLLQkacdegfggnkscfkos,1,7
hLLPMkacedffggnkxsrkmn,1,7
hLvAQkafdfefggnhhbcnnr,-1,7
hLLAPkbdcegfggtvwqbvcr,-1,7
hLLMPkcbeeffggajxqxcvs,-1,7
hLLLQkaeedfgggjaxnwrkn,-1,7
hLLAAkbecdefgglasvdkxr,-1,7
hLLAPkacedfgggnktxamww,-1,7
hLLMMkbcdefgfglbbquhcj,-2,7
hLLAMkbdedfgfgewuvpxgr,-2,7
hLLAAkbddeefggxvkxpghj,-1,7
hLLLQkbdfegggfhghmmwwk,-1,7
hLLAAkbecdefggaarfqjqn,-1,7
hLLLQkbdfegggfasqqawrn,-1,7
hLLMAkbddeefggajkxhnxr,-1,7
hLLMAkccdefeggtjvmdjas,-1,7
hLALAkacceefggbgfgsths,-2,7
hLLMAkccdefegganvldnqn,-1,7
hLALAkbcbeefggaakofhqn,-1,7
hLLPAkcdcfeegghcnhasak,-1,7
