id,oriented,tetrahedra
eLAkbbcddemkxr,1,4
fLAMcaccdeejgbxxj,1,5
fLAMcaccdeejgbqhn,1,5
fLLQcacedeenkamsr,1,5
fLAMcaccdeejgbaqw,1,5
fLAPcbcceeedigsnw,-1,5
gLALQaccefffjgbsdxd,-1,6
gLLMQaceefefnktfonw,1,6
gLLAQbceeeffdfpplxj,-1,6
gLLAQccedfeftnakxrj,-1,6
gLALQbcbeeffhhjrvhn,-1,6
gLAPPcbceeffudbknqs,-1,6
gLLAQacdeeffjkadjdw,1,6
gLLAQbceefefakpmquw,-1,6
gLLAQccedfeftnachrn,-1,6
gLALQbcbeeffhxjsbqw,-1,6
gLLAQacdeeffnkdirqj,-1,6
gLLAQaedefffnlqmbwk,1,6
gLLAQbcedefftsafaow,1,6
gLLAQccedeffqfmfajj,-1,6
gLLAQbdedffferdgask,-1,6
gLLAQbddefffdwgumvj,1,6
gLLAQcedeeffatvuhxr,-1,6
gLLAQaedefffnapqcfw,-1,6
gLLAQcedcfffhavntco,-1,6
eLAkaccddjsnqj,1,4
gLALQaccfeffjgbpbpq,-1,6
gLLAQaedeeffnaaeknn,-1,6
gLLAQbceeeffakpmmxj,-1,6
gLLAQccedfeflnhnasj,-1,6
gLALQbcbeeffxajowhs,-1,6
gLLPQcdeffeflwahtlw,-1,6
gLLAQbdddfffhgkkgvj,-1,6
gLALQbbcefffemnoahh,-1,6
gLLAQceedeffalpkxqw,-1,6
hLALPkbccffgggdigaxdtk,-1,7
hLALAkbcceefggdignwmaw,-1,7
hLLzQkcdegegfglwaaljrj,-1,7
hLAwAkcbcdffgglegegnxr,-1,7
hLAvQkaccfgfggjgbxxlxv,-1,7
hLAwAkbccdffggaasxrwxj,-1,7
hLALAkaccfefggjgbabxwj,-1,7
hLLLQkadgfegfgjutgjssg,-1,7
hLLAPkaddegfggjuaphbat,-1,7
hLLMAkccdfefggpvjahnmj,-1,7
hLLLQkacefefggnkbrwkvw,1,7
hLLMPkacdefgfgnkanfiwk,1,7
hLvAQkadfefgfgnaqwngbw,-1,7
hLLAPkbdcegfggtvrxbvcr,-1,7
hLLAPkaedeffggnaaqrwqk,-1,7
hLLLQkcbdgfgfgajrxgcbv,-1,7
hLLAAkbecdefgglasvdkqw,-1,7
hLLAPkacedfgggnkamamww,-1,7
hLLMMkbcdefgfglbbquxcj,-2,7
hLLAMkbdedfgfgewuvpqgw,-2,7
hLLAAkbddeefggxvkxpgxj,-1,7
hLLLQkbdfegggfhgqmmwwn,-1,7
hLLAAkbecdefggaarfqjhn,-1,7
hLLLQkbdfegggfashqawrk,-1,7
hLLMAkbddeefggajkxhnqw,-1,7
hLLMAkaceeefggnktjkkan,-1,7
hLALAkacceefggbgfgstxj,-2,7
hLLMAkccdefegganvldnhn,-1,7
hLALAkbcbeefggaakofhhk,-1,7
hLLPAkcdcfeeggqcnhasak,-1,7
hLALMkacceffggjsnsddwj,-1,7
hLALPkbcbfgfgghhjuaqev,-1,7
hLLAAkcbdeefggankptchn,-1,7
hLAMzkaccdefggjgbaaxxj,-1,7
hLALPkbcbefgfgxxjsqxjr,-1,7
hLALPkbccfggfgdiguiiuv,-1,7
hLAPzkcbceefggudbjgxan,-1,7
hLLPAkcdeffegglwapallj,-1,7
hLAwAkcbcdffgglegpscqk,-1,7
hLALPkaccfgfggjgbaeqtj,-1,7
hLAwAkcbcdffggaakhwrqj,-1,7
hLALAkacceffggjgbsaqon,-1,7
hLLAMkbdedffgglvxgafxw,1,7
hLLAAkbdedffgglvaghfun,-1,7
hLLLQkbdegegfglviptsjj,-1,7
hLLMAkbcdeffggdfbmufur,1,7
hLLPMkaceeffggjvxwrrqj,-1,7
hLvQAkadfeefggnmqxjfqj,-1,7
hLLAAkacdeefggnkexnixk,1,7
hLLAMkaedeffggnauqgwls,-1,7
hLLMMkcbeeffggajxqxcvw,-1,7
hLLAAkcedcffgghavnhrlr,-1,7
hLLMMkbcdeffggarohtraw,-1,7
hLLAMkbdedfgfgewdvpxgj,-2,7
hLLMMkbcdefgfglbbxuhck,-2,7
hLLAAkbddeefggxvkxpbhn,-1,7
hLLMAkbddeefggajkxhkxj,-1,7
hLLAAkbecdefggaarfqsqw,-1,7
hLLLQkbdfegggfxvhmhvvk,-1,7
hLLLQkcedfgeggahrmdnwr,-1,7
hLLAAkacedefggnktaklaw,-1,7
hLALAkacceefggbgfgsphn,-2,7
hLLMAkccdefegganvlmnqw,-1,7
hLALAkbcbeefggaakofxqw,-1,7
hLLPMkcdcfegfgarwqaqkn,-1,7
hLALAkacceffggjsnslqjj,-1,7
hLALPkbcbffggghxjdxtab,-1,7
