target,source,label
fLLQcacdeeenkexbn,eLAkbccddhhnxr,Face: 8
fLLQcadedeejmllpw,eLAkbccddhhnxr,Face: 6
fLLQcbcdeeedfbiha,eLAkbccddhhnxr,Face: 4
fLAMcbccdeemejmxk,eLAkbccddhhnxr,Face: 3
gLLMQbcdefffebbmicw,fLLQcacdeeenkexbn,Face: 10
gLLQPcdcdefftgrfmqn,fLLQcacdeeenkexbn,Face: 9
gLLAQccdeeffqgvuqcr,fLLQcacdeeenkexbn,Face: 8
gLLAQccdeeffifveukw,fLLQcacdeeenkexbn,Face: 7
gLLAQbdedfffdoarxgv,fLLQcacdeeenkexbn,Face: 5
gLLAQadedfffnxihgjj,fLLQcacdeeenkexbn,Face: 4
gLLAQccedeffqfakdnr,fLLQcacdeeenkexbn,Face: 3
gLLAQacedeffnktlrqk,fLLQcacdeeenkexbn,Face: 2
gLLAQbcedeffasxfasw,fLLQcacdeeenkexbn,Face: 1
gLLMQbcdeffflsbhtcr,fLLQcadedeejmllpw,Face: 10
gLLMQacdfeffnbxccjb,fLLQcadedeejmllpw,Face: 9
gLLAQccedeffqgifqsn,fLLQcadedeejmllpw,Face: 8
gLLAQaddeeffnidpcoj,fLLQcadedeejmllpw,Face: 7
gLLAQbdedffflvarxok,fLLQcadedeejmllpw,Face: 5
gLLAQbcedeffajhfajn,fLLQcadedeejmllpw,Face: 4
gLLAQceddeffahvklcj,fLLQcadedeejmllpw,Face: 3
gLLAQbdcefffhgwqajb,fLLQcadedeejmllpw,Face: 2
gLLAQaddeeffjmepcok,fLLQcadedeejmllpw,Face: 1
gLLMQbcdefffebbmicw,fLLQcbcdeeedfbiha,Face: 10
gvLQQcdefeffbcrpcmd,fLLQcbcdeeedfbiha,Face: 9
gLLMQbcdeffflsbhtcr,fLLQcbcdeeedfbiha,Face: 8
gLLPQcdefefflgatmxj,fLLQcbcdeeedfbiha,Face: 7
gLLAQbdedfffdwaslkn,fLLQcbcdeeedfbiha,Face: 6
gvLQQcdefeffjofljeq,fLLQcbcdeeedfbiha,Face: 5
gLLAQccdefffawvhqnc,fLLQcbcdeeedfbiha,Face: 4
gLLAQbddefffxsjxekk,fLLQcbcdeeedfbiha,Face: 3
gLLAQccedeffhfandkj,fLLQcbcdeeedfbiha,Face: 2
gLLAQbddefffxvrxxbw,fLLQcbcdeeedfbiha,Face: 1
gLLPQcdcfeffqsjalrf,fLAMcbccdeemejmxk,Face: 10
gLLPQcdcfeffhgrairf,fLAMcbccdeemejmxk,Face: 8
