id,oriented,tetrahedra
eLAkbccddhhsqw,1,4
fLLQcacdeeenkdicr,0,5
fLLQcaddeeejpuplr,0,5
fLLQcbeddeehtjkiu,1,5
fLLQcacdeeejbaakn,1,5
gLLMQbcdefffebbhtvr,0,6
gLLQPccddeffunnvuxj,0,6
gLvQQaefdeffnhqhvwn,0,6
gLLAQccdeeffhwvlucr,-1,6
gLLMQbcdefffebbpqkb,-1,6
gLLAQcedeeffhavxhqr,-1,6
gLLAQccedeffqfanqsj,-1,6
gLLAQacedeffnktakdk,-1,6
gLLAQbcedeffasxflor,0,6
gLLMQbcefefflstmmxo,0,6
gLLAQbcedefftjhftsj,-1,6
gLLAQaeddfffjlahggn,-1,6
gLLAQbdceefftvnmtrw,0,6
gLLPQccdeffflnrmibf,0,6
gLLAQbcedeffajhftok,0,6
gLLAQceddeffahvkanj,-1,6
gLLAQbdcefffhgrxanb,-1,6
gLLAQadedeffjplaofw,-1,6
gLLPQcdefefftsaqulo,-1,6
gLLMQbcdfefftsrdenc,1,6
gLLAQbcdeefferwlebw,-1,6
gLLAQbddefffxvjxlbf,1,6
gLLAQbecdfffairfxoj,-1,6
gLLMQbdedfffajqfivn,-1,6
gLLAQbedefffxmbxdug,-1,6
gLLMQbcdefffhvkmqkk,-1,6
gLLAQbcdeefflsohhsk,1,6
gLLAQbcedeffhvafpvk,-1,6
gLLMQbcdfeffdfjedos,1,6
gLLMQbeedfefahxfxqk,-1,6
gLLMQbcefeefxouummk,-1,6
hLLAPkbcedfgggajufnjrs,-1,7
hLLAPkcddegfggacvpjkws,-1,7
hLLAAkbdedffgglvagirqk,-1,7
hvLAQkcdegfgfgjrcaitij,-1,7
hLLAPkcddefgggpfvqfvkk,0,7
hLvAQkbfefegggthpahlwr,0,7
hLLAMkbdedfgggevaslmmt,0,7
hLvAQkbeffegggexeaulcr,-1,7
hLLAAkbcedffgglsakabak,-1,7
hLLAPkccdegfggakvhfbkg,-1,7
hLLLQkbdfeggfgxvmmmgkk,-1,7
hLLLQkbddfggfgarfpbnsb,-1,7
fLLQccecddelqccwn,1,5
hLALPkbccegfggdiggpijw,-1,7
hLvPQkccgeffgghnaxxbwb,-1,7
hLLAAkbddeefggxvrdhcqw,-1,7
hLLAAkcedcffgghavntcxw,-1,7
hLLAAkbddeefgganrtuchn,-1,7
hLLAAkccdeefggakvhuvqw,0,7
hLLAAkcedeefgghtvaehqw,0,7
hLLMMkcddeffggarsuhoen,-1,7
hLALPkbcbegfgghajomenf,-1,7
hLLLQkbdeggfgflvpmmgok,-1,7
hLLLQkbcfgegfgebpmegcc,0,7
hLLLQkbcefgfggdfteqggc,-1,7
hLvAQkadegffggnpmbffks,-1,7
hLvAQkaefgefggjtubrfjv,-1,7
hLLAAkcedeffggplvauqhj,-1,7
hLvAQkbeffgefgdahexpcj,-1,7
hLvAQkadfefgggjpujfjvv,0,7
hLLAMkcdeeffgglgpuiojr,0,7
hLvAQkadffegggjuijcjjv,-1,7
hLLLQkaedfggfgnahrrkkf,-1,7
hLLAMkcdeeffgglgapibfw,-1,7
hLLAPkbddefgggtvnlnvof,-1,7
hLLAPkacdegfggjsxxaako,-1,7
hLvAQkadfefgggjelcfjjn,-1,7
hLLAMkcddeffgghrvahfhs,-1,7
hLLAAkbcedffggtbafajpn,-1,7
hLLAPkacdefgggnsxaxafo,-1,7
hLLAMkbeedffggxadwasnk,-1,7
hLLAMkbdedfgggevislmqp,-1,7
hvLAQkcedfgfggkvcxlhls,-1,7
hLLAPkbcdegfggebbakswg,-1,7
hLLAAkbdedffgglvpgardj,-1,7
hLLLQkceffegggptmaqpgg,-1,7
hLLAAkceddffggtasbmnhw,-1,7
hLLLQkbddffgggarfprcrf,-1,7
hLLLQkbddffgggdsrdgkcs,-1,7
hLLAMkbdeeffggevuuagkk,-1,7
hLLAPkbdcefgggevrlgvnn,-1,7
hLLLQkbcfgffggebpaevss,-1,7
hLLAPkaedeffggnxdhfndg,-2,7
hLLAPkaedeffggnxphfwtc,-2,7
hLLAAkccdeffggtnnqhrdj,-1,7
hLLLQkcbegfgfgajauegsv,-1,7
hLLAMkbedeffggaablmnfk,-1,7
hLLAPkceddffgglavnbwfw,-1,7
hLLLQkadegfgfgjaxbnrkb,-1,7
hLLLQkceffegfgaueaxmwn,-1,7
hLLAPkbddefgfgxjrxrrgn,-2,7
hLLMPkbdedfgfghfajosfw,-2,7
hLLMMkccdeffggajvlevdj,-1,7
hLLAPkbecdgfggaasskgsg,-1,7
hLLAAkccedffgglnanunds,-1,7
hLLMAkccdeffggajvlhrej,-1,7
hLLAMkcedefgfglhvahkjr,-1,7
hLLMPkacdeffggjbacjjer,-1,7
hLLAPkaedeffggnapqfwpk,-1,7
hLLMAkacdeffggnkackkqj,-1,7
hLLAAkacdeefggnkdirqan,-1,7
hLLLQkcdefgggfawmatgjr,-1,7
hLLAMkbeedffggaaeoawkk,0,7
hLLAAkcddeffgghrrahoan,0,7
hLwMMkacefefggbgqgwgqj,-2,7
hLwPMkacdeffggbgaggnxr,-2,7
hLLAAkbcedffgglsafabik,-1,7
hLLAPkcddefgggugvuvvrr,0,7
hLLAPkbcedfgggasdfcrjn,-1,7
hLLPPkcdefggfgpwaaunfn,-1,7
hLLPPkcdefeggglkaelsws,0,7
hLLAPkcddefgggacvdwosr,-1,7
hLLMMkbdedffggtvawpwxj,-1,7
hvLPQkcdefggfgkjfeiatw,-1,7
hLLPPkcdefegggpcpqubbj,0,7
hLLAMkbcedffgglsawanik,-1,7
hLLAPkcddefgggurvuvjkk,-1,7
hLLLQkbdeegfggxvammrko,-1,7
hLLLQkbdeegfggevlqqfrr,-1,7
hLLAPkbddefggglvnuvvrf,-1,7
hLvAQkadfefgggndlcfffn,-1,7
hLLPMkaceeffggnsabbbaj,-1,7
hLLAMkbcedffgglkafawtw,-1,7
hLLLQkbefgfefgdaelehgs,-1,7
hLLAMkbdedfgggtvasliih,-1,7
hLLAPkccedfgggujpvgggb,-1,7
hLLLQkbddfgffgxvnhccnr,-1,7
hLLLQkadgfegfgjhqggsfo,-1,7
hLLLQkcddegffghsgmgfnj,-1,7
hLLMMkaddeffggjhaljoqr,-1,7
hLLLQkbdeeffggevqqpgok,-1,7
hLLAMkaeddfgggjledwpll,-1,7
hLLLQkaegfegfgjaigkjjw,-1,7
hLLAPkbecdgfggeirfgrko,-1,7
hLLLQkaeefggfgjlignnfo,-1,7
fLLQcacdedejbqqsw,1,5
hLLLQkbceffgfgdfexmfoj,0,7
hLLPAkccdeffggtkfpmbuj,0,7
hLvQAkadefefggjahhsfxw,-1,7
hLLLQkaedgegfgnxiscnko,-1,7
hLLLQkacdeffggjbscnnvw,-1,7
hLLLQkadegegfgjaibkfjw,-1,7
hLLAPkccdegffgakvhkvjs,0,7
hLLLQkadggeffgjpicovvo,-1,7
hLLLQkcbfeegggajqdpobv,-1,7
hLLAAkbdceefggevrlebaw,-1,7
hLLAPkbdedgfggljascvnb,0,7
hLLMPkbdedfgggtsafosfw,0,7
hLLLQkbdeegfggxwlxdfbo,-1,7
hLLMPkccdfggfglnvxvkcv,-1,7
hLLAPkbdedgfggdwusvons,-1,7
hLLAAkccedffgglnajevuk,-1,7
hLLMPkbdedgfggardfnrnw,-1,7
hLLLQkcddgfgfghcgukgjc,-1,7
hLLAPkbdedfgggesdwsrff,-1,7
hLLAPkacdegfggjbaaaakk,0,7
hLLAMkaddefgggjpupoall,0,7
hLwPMkacdeffggnsqjjjxf,-2,7
hLwMMkacefefggbgajggqw,-2,7
hLLAMkbcedffgglsafawik,-1,7
hLLAPkcbdefgggajnmgfwo,-1,7
hLLLQkcbgefgfgajqllbbb,-1,7
hLLAPkcddeffgglrrarvss,-1,7
hLLLQkaedeggfgjqivcsfo,-2,7
hLLLQkcddfefgghsvaoffr,-2,7
hLLAAkbcedffgglsxjhbpk,-1,7
hLvAQkbeffegfgadimiafk,-1,7
hLLAPkceddggfglavjjjkn,-1,7
hLLAPkceddgggflavnwbfw,-1,7
hLLMAkbcdfefggajrqpcus,-1,7
hLLPMkccdefgggubkdtmii,-1,7
hLLAMkaedeffggnxdhwwxg,-2,7
hLLAPkaedeffggnxxhooaf,-2,7
hLLLQkbddfgeggesftwrss,-1,7
hLLAMkbdcefgggevrlaiee,-1,7
hLLAPkbecdgfggtasswrow,-1,7
hLLLQkcefdgfggtadklrws,-1,7
hLLAPkccdefgfgakwhgwjw,-1,7
hLLLQkbcdgfgfgebravswg,-1,7
hLLLQkbddfefggarfxnojj,-1,7
hLLMMkacdeffggnkackvaj,-1,7
hLLAAkaddeefggjpuproan,-1,7
hLLLQkcbeefgggajadewfv,-1,7
hvLAQkcdfeggfgffafqitv,-1,7
hLwLQkacegfgfgngksfkob,-1,7
hvLAQkcdefgfggffbquhun,-1,7
hLLLQkbdefgfgghghupgoo,-1,7
hvLAQkcedfgfggwvcueimc,-1,7
hLLLQkbcegffggdfpxxowv,-1,7
hLLLQkcdefggfgtsealgnb,-1,7
hLLLQkceffgegglauadqov,-1,7
hLvAQkbeffgggfapuqalbf,-1,7
hLLAPkcedegfgguavhqbfg,-1,7
hLvAQkbeffgegghaetadfb,-1,7
hLLMAkccdfefggqbvmqnij,-1,7
hLLLQkbddfggfgdwfebrbc,1,7
hLLAPkbcdegfgghfceccvc,1,7
hvLPQkcdefgfggwcfulear,-1,7
hLLAPkbddegfggdwrdnkrk,-1,7
hLLLQkcedgffggplrhmngn,-1,7
hLLMMkcedffgggahvqdwof,-1,7
hLLLQkceffegggtauahlob,-1,7
hLLAPkcddefgggarjxcovb,-1,7
hLLAAkbddeffggevnmhgmr,-1,7
hLLPAkcdfefeggtrduqian,-1,7
hLLLQkcdeefgfghsdplrkr,-1,7
hLvAQkadfegfggjaqcvkkc,-1,7
hLLMMkbddeffgghgcxmnik,-1,7
hLvAQkadfegfggnaacvkbk,-1,7
hLLAPkcddegfggafvqrscf,-1,7
hLLAPkcddegfggagvxrfbf,-1,7
hLLAAkccedefgglwxftkar,-1,7
hLLLQkcdfgffggqfdadcrc,1,7
hLLLQkcdfeggfgpcqeprff,-1,7
hLLAMkccdeffggqfkeqnhj,-1,7
hvLAQkcdfgefggwjlxbeaj,1,7
hLLAPkbddefggghgctbbfo,-1,7
hLvAQkbefeggfgxeqhaqbw,-1,7
hLLAPkceddgfggahvrcofv,-1,7
hLLAPkcddefgggarvqcjob,-1,7
hLLAPkbcdefgggdjjtkckw,-1,7
hLLAPkbcdefgggakcmwswk,-1,7
hLLLQkcdgffeggtsaalrww,-1,7
hLLAAkbedeffggtarldalk,-1,7
hLLLQkbedefgfgxxrldkck,-2,7
hLLAMkbeedfgfgxxhrqwgs,-2,7
hLLAAkbedefeggxtrddhaw,-1,7
hLLAMkbeddfggghtjktaii,-1,7
hLLAMkccedfgggpvaodhxq,-1,7
hLLLQkbdeefgggajiidssr,-1,7
hLLLQkbdefgfggajxiinnf,-1,7
hLLAAkcdceffggqwbxtjmg,-2,7
hLLAMkcdceffggqwbiunlf,-2,7
hLLPPkcdeffggghsaqlnnw,-1,7
hLLAPkbedegfggaaruqvno,-1,7
hLLAPkceddfggguavvrjof,-1,7
hLLLQkbdfgegfglvhhibgo,-1,7
hLLLQkcdfegfggtkthlkcs,-1,7
hLLLQkbedegfggxxfxpoof,-1,7
