id,oriented,tetrahedra
eLAkbccddmejlr,1,4
fLLQcacdeeejkmxko,1,5
fLLQcacdeeejvlxko,1,5
fLAMcbccdeehhnqhk,1,5
fLLQcbcdeeeebbdmp,0,5
gLLAQccdeeffhkvaqcn,0,6
gLLMQbcdefffdfbhaon,0,6
gLvQQaefdfefjiqegvb,1,6
gLLQPccddeffijbwexn,-1,6
gLLAQbddefffpsfpeok,-1,6
gLLAQadedfffjehisjj,-1,6
gLLAQbcedeffabmfugj,-1,6
gLLAQccedeffdwavdnk,-1,6
gLLAQccedeffdwxkdjr,1,6
gLLAQbcdeeffpjgplwj,1,6
gLLAQbddeeffxrrxqbw,0,6
gLvQQaedfeffjuaukvg,-1,6
gLLMQbcdefffdfgaaon,0,6
gLLAQbdeefffpcqplqo,1,6
gLLAQbcedeffabtfqsj,-1,6
gLLAQccedeffdwakujr,-1,6
gLLAQccedeffdwxvdkk,1,6
gLLAQaddefffjexhcjj,-1,6
gLLPQcdcfeffqsnatnf,0,6
gLLAQbceeefflsaiihj,0,6
gLALQbccefffdiggqlu,-1,6
gLLAQacedfffnkimaud,-1,6
gLALQbcbefffhajoeex,-1,6
gLLMQbceeffftgaulxo,0,6
gvLQQcdefeffbrcabii,-1,6
gvLQQcdefeffjofajqq,-1,6
gLLAQbdedfffevdslbr,0,6
gLLAQccedeffdgandkn,-1,6
gLLAQccdefffakvhdfk,0,6
gLLMQbceefffmktahab,-1,6
gLLAQbddefffpfjdegg,-1,6
hLLAPkbddefgggxrrinrfv,-1,7
hLLMMkbceefgggdfapxvjf,-1,7
hLvAQkadfgegfgneqwnjbw,-1,7
hLLAAkccdeefggqgvuqkhk,-1,7
hLLAMkbeedffggxxikarnj,-1,7
hLLMAkbdedffggdvaflodr,0,7
hLLAPkacdegfggnkexupsb,-1,7
hLLAMkcddeffggprvadwhw,-1,7
hLLLQkbedeffggahfdxgsw,0,7
hLLAAkccdeffggivvxajdw,-1,7
hLLPMkcdfeffggaklpikjk,-1,7
hLLLQkcedgffggtafltfow,-1,7
hLLMMkbceefgggdfaphvbb,-1,7
hLLAMkbdedfgggdwaslddq,-1,7
hLvAQkbefegfggmxlhumob,-1,7
hLLLQkbdeffgggmvxaarvf,-1,7
hvLAQkcdfgefggbraabxhb,-1,7
hLLLQkbdeffgggmkxqarvf,0,7
hLvAQkbfefeggglidatlwr,0,7
hLLLQkcddgggffirslwwfn,-1,7
hLLLQkbddfggfgajfpfnko,0,7
hLLAPkbddefgggmkfpjwfj,-1,7
hLLAPkccdegfggawvhcsko,-1,7
hLLLQkbcfgegfgdfptdjnj,1,7
hLLLQkbcfgegfgdfpdagog,-1,7
