target,source,label
fLLQcbdeedembamrl,eLMkbcddddedde,Face: 8
fLLQccdcdeepvbbxs,eLMkbcddddedde,Face: 7
fLLQcbcdeeetsfxet,eLMkbcddddedde,Face: 5
gLLAQbdeefffmkammpv,fLLQcbdeedembamrl,Face: 10
gLLPQcdeffefuwulppf,fLLQcbdeedembamrl,Face: 9
gLLAQbdeefffmkamdpk,fLLQcbdeedembamrl,Face: 8
gLLPQcdeffefdcaeaab,fLLQcbdeedembamrl,Face: 7
gLLPQcdeffeftwepppf,fLLQcbdeedembamrl,Face: 6
gLLMQbcdfeffmgoamoc,fLLQcbdeedembamrl,Face: 5
gLLAQbcdefffacfddbf,fLLQcbdeedembamrl,Face: 4
gLLAQbcdefffacbddcf,fLLQcbdeedembamrl,Face: 3
gLLAQbdeefffmbamiiv,fLLQcbdeedembamrl,Face: 2
gLLAQbdeefffmbamitk,fLLQcbdeedembamrl,Face: 1
gLvQQadfeeffjaqickj,fLLQccdcdeepvbbxs,Face: 10
gLLAQcededffiivajbk,fLLQccdcdeepvbbxs,Face: 9
gLvQQadfeeffjaldwfj,fLLQccdcdeepvbbxs,Face: 8
gLLMQbdedeffxvesenk,fLLQccdcdeepvbbxs,Face: 7
gLLAQcddefffafvttgv,fLLQccdcdeepvbbxs,Face: 4
gLLAQcedcfffadvsisv,fLLQccdcdeepvbbxs,Face: 1
gvLQQcdeffefjvgalvi,fLLQcbcdeeetsfxet,Face: 10
gLLMQbdedeffxvesenk,fLLQcbcdeeetsfxet,Face: 9
gLLMQbcefeffhgaldav,fLLQcbcdeeetsfxet,Face: 8
gLLPQccdefffqffaaof,fLLQcbcdeeetsfxet,Face: 7
gLLAQbcdefffakfmuwf,fLLQcbcdeeetsfxet,Face: 4
gLLAQcddefffarjmerj,fLLQcbcdeeetsfxet,Face: 2
gLLPQccdfefflnnptwn,fLLQcbcdeeetsfxet,Face: 1
hLLLQkbddffgggmvwhgooo,gLLAQbdeefffmkammpv,Face: 12
hLLLQkbddffgggmvndgooo,gLLAQbdeefffmkammpv,Face: 11
hLLPAkceefefggiiaxtxvw,gLLAQbdeefffmkammpv,Face: 10
hLLAPkcedefgggiikaabgb,gLLAQbdeefffmkammpv,Face: 9
hLLAPkbdeegfggmkamaknr,gLLAQbdeefffmkammpv,Face: 8
hLLLQkbcfgegfgljhatfjb,gLLAQbdeefffmkammpv,Face: 7
hLLAPkbdeegfggmkamdvkc,gLLAQbdeefffmkammpv,Face: 6
hLLLQkbcegfgfgtsdaxfsv,gLLAQbdeefffmkammpv,Face: 5
hLLLQkbcegffggtsqalgkv,gLLPQcdeffefuwulppf,Face: 12
hLLAPkcedegfggiivalbcf,gLLPQcdeffefuwulppf,Face: 11
hLLLQkbcfgefggdoeadjkb,gLLPQcdeffefuwulppf,Face: 10
hvLAQkcefgfeggvvtpdstg,gLLPQcdeffefuwulppf,Face: 9
hLwLQkacefgfggjgjgnkob,gLLPQcdeffefuwulppf,Face: 8
hLLLQkcdfgefgguvuaxkwv,gLLPQcdeffefuwulppf,Face: 7
hLLLQkccegffggqftaikfo,gLLPQcdeffefuwulppf,Face: 6
hLLLQkbcegffggebualkjv,gLLPQcdeffefuwulppf,Face: 5
hLLLQkbcfgegfglreatfwb,gLLPQcdeffefuwulppf,Face: 4
hLLzQkcdfgegfgavppdkfb,gLLPQcdeffefuwulppf,Face: 3
hLLzQkcdfgefggavppegcb,gLLPQcdeffefuwulppf,Face: 2
hLLAPkcedegfggiijalbff,gLLPQcdeffefuwulppf,Face: 1
hLLLQkbddffgggmkwxgooo,gLLAQbdeefffmkamdpk,Face: 12
hLLLQkbddffgggmknugooo,gLLAQbdeefffmkamdpk,Face: 11
hLLLQkbdffgfggmvuuxssc,gLLAQbdeefffmkamdpk,Face: 10
hLLAPkbdeegfggmkamavkg,gLLAQbdeefffmkamdpk,Face: 8
hLLLQkbcegffggmbeaxwbv,gLLAQbdeefffmkamdpk,Face: 7
hLLAPkbdeegfggmkamikwb,gLLAQbdeefffmkamdpk,Face: 6
hLLLQkcdfgegfgdfeudjbn,gLLPQcdeffefdcaeaab,Face: 12
hvLAQkcedgffggkvwxixqj,gLLPQcdeffefdcaeaab,Face: 11
hLLLQkcdegffggdkhetfsj,gLLPQcdeffefdcaeaab,Face: 10
hLvAQkbefeggfgpapxaico,gLLPQcdeffefdcaeaab,Face: 9
hvLAQkcdfgefggbraqwxeo,gLLPQcdeffefdcaeaab,Face: 8
hLLLQkbdefgfggmkmulogo,gLLPQcdeffefdcaeaab,Face: 7
hLLLQkbdefgfggmkauqgoo,gLLPQcdeffefdcaeaab,Face: 6
hvLAQkcdfgefgggfmpbtaf,gLLPQcdeffefdcaeaab,Face: 5
hvLAQkcdefgfggbvblptps,gLLPQcdeffefdcaeaab,Face: 4
hLLLQkccgeefggdwahlfjj,gLLPQcdeffefdcaeaab,Face: 3
hLLLQkcefgefggaddmdags,gLLPQcdeffefdcaeaab,Face: 2
hLLPPkcdefggfgacmlmowj,gLLPQcdeffefdcaeaab,Face: 1
hLLLQkbcegffgglbqalgkv,gLLPQcdeffeftwepppf,Face: 12
hLLAPkcedegfggiivalbcf,gLLPQcdeffeftwepppf,Face: 11
hLLLQkbcfgefggeveaegjb,gLLPQcdeffeftwepppf,Face: 10
hvLAQkcedgffggkvwxixqj,gLLPQcdeffeftwepppf,Face: 9
hLLLQkcdfgefggpvauxgno,gLLPQcdeffeftwepppf,Face: 8
hLwLQkacefggfgngngncbb,gLLPQcdeffeftwepppf,Face: 7
hLLLQkccfegfggqfatmrko,gLLPQcdeffeftwepppf,Face: 6
hLLLQkbcegfgfgdftalrsv,gLLPQcdeffeftwepppf,Face: 5
hLLLQkbcfegfggtkpdmgkv,gLLPQcdeffeftwepppf,Face: 4
hLLzQkcdfgegfgavppekrb,gLLPQcdeffeftwepppf,Face: 3
hLLzQkcdfgefggavppdjnb,gLLPQcdeffeftwepppf,Face: 2
hLLAPkcedegfggiijapbcc,gLLPQcdeffeftwepppf,Face: 1
hLLMAkbcdeffggmgoiacxj,gLLMQbcdfeffmgoamoc,Face: 12
hvLAQkcefgfeggvvtpdstg,gLLMQbcdfeffmgoamoc,Face: 11
hLLLQkbcegfgfgmgxlpcco,gLLMQbcdfeffmgoamoc,Face: 10
hLLAPkcddegfggdcvacgcr,gLLMQbcdfeffmgoamoc,Face: 9
hLvAQkbefegfggeduxaasc,gLLMQbcdfeffmgoamoc,Face: 8
hLLLQkbddffgggebftkbck,gLLMQbcdfeffmgoamoc,Face: 7
hLLLQkbcefggfglgaaxogj,gLLMQbcdfeffmgoamoc,Face: 6
hLLLQkbddffgggebfpkbcv,gLLMQbcdfeffmgoamoc,Face: 5
hLLAPkbcedgfggmktfwvkw,gLLMQbcdfeffmgoamoc,Face: 4
hLLLQkcedegfggiivqpccc,gLLMQbcdfeffmgoamoc,Face: 3
