id,oriented,tetrahedra
eLMkbcddddedde,1,4
fLLQcbdeedembamrl,1,5
fLLQccdcdeepvbbxs,1,5
fLLQcbcdeeetsfxet,1,5
gLLAQbdeefffmkammpv,1,6
gLLPQcdeffefuwulppf,0,6
gLLAQbdeefffmkamdpk,1,6
gLLPQcdeffefdcaeaab,0,6
gLLPQcdeffeftwepppf,0,6
gLLMQbcdfeffmgoamoc,0,6
gLLAQbcdefffacfddbf,-1,6
gLLAQbcdefffacbddcf,-1,6
gLLAQbdeefffmbamiiv,-1,6
gLLAQbdeefffmbamitk,1,6
gLvQQadfeeffjaqickj,0,6
gLLAQcededffiivajbk,1,6
gLvQQadfeeffjaldwfj,0,6
gLLMQbdedeffxvesenk,1,6
gLLAQcddefffafvttgv,-1,6
gLLAQcedcfffadvsisv,-1,6
gvLQQcdeffefjvgalvi,0,6
gLLMQbcefeffhgaldav,0,6
gLLPQccdefffqffaaof,1,6
gLLAQbcdefffakfmuwf,-1,6
gLLAQcddefffarjmerj,-1,6
gLLPQccdfefflnnptwn,-1,6
hLLLQkbddffgggmvwhgooo,-1,7
hLLLQkbddffgggmvndgooo,-1,7
hLLPAkceefefggiiaxtxvw,-1,7
hLLAPkcedefgggiikaabgb,1,7
hLLAPkbdeegfggmkamaknr,-1,7
hLLLQkbcfgegfgljhatfjb,1,7
hLLAPkbdeegfggmkamdvkc,1,7
hLLLQkbcegfgfgtsdaxfsv,1,7
hLLLQkbcegffggtsqalgkv,0,7
hLLAPkcedegfggiivalbcf,0,7
hLLLQkbcfgefggdoeadjkb,-1,7
hvLAQkcefgfeggvvtpdstg,0,7
hLwLQkacefgfggjgjgnkob,0,7
hLLLQkcdfgefgguvuaxkwv,-1,7
hLLLQkccegffggqftaikfo,-1,7
hLLLQkbcegffggebualkjv,0,7
hLLLQkbcfgegfglreatfwb,-1,7
hLLzQkcdfgegfgavppdkfb,0,7
hLLzQkcdfgefggavppegcb,-1,7
hLLAPkcedegfggiijalbff,-1,7
hLLLQkbddffgggmkwxgooo,-1,7
hLLLQkbddffgggmknugooo,-1,7
hLLLQkbdffgfggmvuuxssc,1,7
hLLAPkbdeegfggmkamavkg,-1,7
hLLLQkbcegffggmbeaxwbv,-1,7
hLLAPkbdeegfggmkamikwb,1,7
hLLLQkcdfgegfgdfeudjbn,0,7
hvLAQkcedgffggkvwxixqj,0,7
hLLLQkcdegffggdkhetfsj,0,7
hLvAQkbefeggfgpapxaico,-1,7
hvLAQkcdfgefggbraqwxeo,0,7
hLLLQkbdefgfggmkmulogo,-1,7
hLLLQkbdefgfggmkauqgoo,0,7
hvLAQkcdfgefgggfmpbtaf,0,7
hvLAQkcdefgfggbvblptps,-1,7
hLLLQkccgeefggdwahlfjj,0,7
hLLLQkcefgefggaddmdags,-1,7
hLLPPkcdefggfgacmlmowj,-1,7
hLLLQkbcegffgglbqalgkv,0,7
hLLLQkbcfgefggeveaegjb,-1,7
hLLLQkcdfgefggpvauxgno,-1,7
hLwLQkacefggfgngngncbb,0,7
hLLLQkccfegfggqfatmrko,0,7
hLLLQkbcegfgfgdftalrsv,0,7
hLLLQkbcfegfggtkpdmgkv,-1,7
hLLzQkcdfgegfgavppekrb,0,7
hLLzQkcdfgefggavppdjnb,-1,7
hLLAPkcedegfggiijapbcc,-1,7
hLLMAkbcdeffggmgoiacxj,-1,7
hLLLQkbcegfgfgmgxlpcco,0,7
hLLAPkcddegfggdcvacgcr,-1,7
hLvAQkbefegfggeduxaasc,0,7
hLLLQkbddffgggebftkbck,-1,7
hLLLQkbcefggfglgaaxogj,0,7
