target,source,label
fLLQcbcedeelsawqh,eLMkbcddddxqpe,Face: 8
fLLQccdcdeehssnps,eLMkbcddddxqpe,Face: 7
fLLQcbcedeelsakud,eLMkbcddddxqpe,Face: 6
fLLQcbddeeexnrxad,eLMkbcddddxqpe,Face: 5
fLLQcbcdeeeljklla,eLMkbcddddxqpe,Face: 2
fLLQcbcdeeetsreae,eLMkbcddddxqpe,Face: 1
gLLAQbdeefffevuqpuw,fLLQcbcedeelsawqh,Face: 10
gLLPQcdeffefukuqipk,fLLQcbcedeelsawqh,Face: 9
gLLPQccdeffflbnedwf,fLLQcbcedeelsawqh,Face: 8
gLLPQcdefeffpcaaqqf,fLLQcbcedeelsawqh,Face: 7
gvLQQcdeffefbrcqqbd,fLLQcbcedeelsawqh,Face: 6
gLLMQbcdefffebbpuks,fLLQcbcedeelsawqh,Face: 5
gLLAQbcedfffajhftgb,fLLQcbcedeelsawqh,Face: 4
gLLAQbcedfffajhbqkv,fLLQcbcedeelsawqh,Face: 3
gLLAQbdeefffhcmummj,fLLQcbcedeelsawqh,Face: 2
gLLAQccdeeffqvvuqkw,fLLQcbcedeelsawqh,Face: 1
gLLPQbdedeffeveblnk,fLLQccdcdeehssnps,Face: 10
gLLAQbddeeffevnmhkj,fLLQccdcdeehssnps,Face: 9
gLLAQbcedeffmsxfmjj,fLLQccdcdeehssnps,Face: 8
gLvQQadfeeffjaqmcsk,fLLQccdcdeehssnps,Face: 7
gLLAQcddefffafvqxgr,fLLQccdcdeehssnps,Face: 4
gLLAQcedcfffahvshrw,fLLQccdcdeehssnps,Face: 1
gLLPQccdeffflbnedwf,fLLQcbcedeelsakud,Face: 10
gLLAQbedeffflugihus,fLLQcbcedeelsakud,Face: 9
gLLAQcddefffprvudbc,fLLQcbcedeelsakud,Face: 8
gvLQQcdefeffbfjlfau,fLLQcbcedeelsakud,Face: 7
gLLMQbcdefffebbquno,fLLQcbcedeelsakud,Face: 6
gvLQQcdfeeffwodfcdq,fLLQcbcedeelsakud,Face: 5
gLLAQcddefffacvpxoj,fLLQcbcedeelsakud,Face: 4
gLLAQbcedfffajhfdnc,fLLQcbcedeelsakud,Face: 3
gLLAQbddeeffxsfqlwk,fLLQcbcedeelsakud,Face: 2
gLLAQbcedfffajhvhrw,fLLQcbcedeelsakud,Face: 1
gLLMQbdeefffevdmpik,fLLQcbddeeexnrxad,Face: 10
gLLPQccdefffqffetwf,fLLQcbddeeexnrxad,Face: 9
gLLPQcdefeffhgaamuj,fLLQcbddeeexnrxad,Face: 8
gvLQQcdeffefffjexru,fLLQcbddeeexnrxad,Face: 7
gLLAQbcdefffakcmqwg,fLLQcbddeeexnrxad,Face: 4
gLLAQcddefffarvqqjs,fLLQcbddeeexnrxad,Face: 2
gLLPQccdfefflnnhqrw,fLLQcbddeeexnrxad,Face: 1
gvLQQcdfeeffwodfcdq,fLLQcbcdeeeljklla,Face: 10
gLLPQbdedeffeveblnk,fLLQcbcdeeeljklla,Face: 9
gLLMQbcdefffebbtuwf,fLLQcbcdeeeljklla,Face: 8
gLLMQbdeefffevdmpik,fLLQcbcdeeeljklla,Face: 7
gvLQQcdfeeffwodfcdq,fLLQcbcdeeeljklla,Face: 6
gLLAQcddefffacvxxfg,fLLQcbcdeeeljklla,Face: 4
gLLAQbcedfffajhfdnc,fLLQcbcdeeeljklla,Face: 3
gLLAQccdeeffpwvlqkw,fLLQcbcdeeeljklla,Face: 2
gLLAQbcedfffajhfdnc,fLLQcbcdeeeljklla,Face: 1
gLLMQbcdefffebbhuwn,fLLQcbcdeeetsreae,Face: 10
gLLAQbddeeffevnmhkj,fLLQcbcdeeetsreae,Face: 9
gvLQQcdeffefbrcqqbd,fLLQcbcdeeetsreae,Face: 8
gLLPQccdefffqffetwf,fLLQcbcdeeetsreae,Face: 7
gvLQQcdeffefbrcqqbd,fLLQcbcdeeetsreae,Face: 5
gLLAQbcedfffajhftgb,fLLQcbcdeeetsreae,Face: 4
gLLAQbcedfffajhftgb,fLLQcbcdeeetsreae,Face: 3
gLLAQcddefffacvxxbf,fLLQcbcdeeetsreae,Face: 2
gLLAQbcedefftsxfaor,fLLQcbcdeeetsreae,Face: 1
hLLLQkbddfggfgevwhkkno,gLLAQbdeefffevuqpuw,Face: 12
hLLLQkbdgfegfgevaaefor,gLLAQbdeefffevuqpuw,Face: 11
hLLPPkceeffegguldddikj,gLLAQbdeefffevuqpuw,Face: 10
hLLAPkcdeefgggugphaggb,gLLAQbdeefffevuqpuw,Face: 9
hLLAPkbdeegfggevtipgww,gLLAQbdeefffevuqpuw,Face: 8
hLvAQkbeffgeggdedeadww,gLLAQbdeefffevuqpuw,Face: 7
hLLAAkcddeffggtrvatrqk,gLLAQbdeefffevuqpuw,Face: 6
hLLLQkbcegfgfgtseaevsv,gLLAQbdeefffevuqpuw,Face: 5
hLLzQkcdegffgglfapdovb,gLLPQcdeffefukuqipk,Face: 12
hvLAQkdedfgfggwvkuqeqv,gLLPQcdeffefukuqipk,Face: 11
hLLPMkcdeffggglfauankg,gLLPQcdeffefukuqipk,Face: 10
hLLLQkbcegffggtsmatgbv,gLLPQcdeffefukuqipk,Face: 9
hLwLQkacefgfggjgkgwkwb,gLLPQcdeffefukuqipk,Face: 8
hLLLQkcdegffgghsphlfvr,gLLPQcdeffefukuqipk,Face: 7
hLLLQkccegffggqfuaqgfo,gLLPQcdeffefukuqipk,Face: 6
hLLLQkbcegffggebxaakwv,gLLPQcdeffefukuqipk,Face: 5
hLLLQkcdffgggftkhhlgjf,gLLPQcdeffefukuqipk,Face: 4
hLLzQkcdefggfgakpixbfo,gLLPQcdeffefukuqipk,Face: 3
hLLzQkcdfgefggafdqinws,gLLPQcdeffefukuqipk,Face: 2
hLLAPkcdeegfgghsptlkff,gLLPQcdeffefukuqipk,Face: 1
fLLQcbcedeelsakud,gLLPQccdeffflbnedwf,Edge: 12
hLLMMkbceefgggajhaaksc,gLLPQccdeffflbnedwf,Face: 12
hLLAPkbdedfgggevxscvnn,gLLPQccdeffflbnedwf,Face: 11
hLLAPkbdedgfggdvawvvrw,gLLPQccdeffflbnedwf,Face: 10
hLLLQkbcfgegfgtkputccc,gLLPQccdeffflbnedwf,Face: 9
hLLAPkccedfggglbannfkv,gLLPQccdeffflbnedwf,Face: 8
hLLAPkbdedgfggdsavsvrv,gLLPQccdeffflbnedwf,Face: 7
hLLPAkccdfefgglbnainhj,gLLPQccdeffflbnedwf,Face: 6
hLLLQkbdeefggghoiidbbj,gLLPQccdeffflbnedwf,Face: 5
hLLAPkccedfgggljannwjo,gLLPQccdeffflbnedwf,Face: 4
hLLMMkbceefgggajheaosc,gLLPQccdeffflbnedwf,Face: 3
hLLPAkccdeffggtnjpajew,gLLPQccdeffflbnedwf,Face: 2
hLLAPkbdedgfggevisvroo,gLLPQccdeffflbnedwf,Face: 1
hvLAQkcdfgefggwnldbudj,gLLPQcdefeffpcaaqqf,Face: 12
hLvAQkbefeggfghapuauco,gLLPQcdefeffpcaaqqf,Face: 11
hLLLQkcdegffgglcxhxvgn,gLLPQcdefeffpcaaqqf,Face: 10
hLLzQkcdfgefggtklxdosf,gLLPQcdefeffpcaaqqf,Face: 9
hvLAQkcdfegfggwnlgquqr,gLLPQcdefeffpcaaqqf,Face: 8
hLLLQkbdegffggxvlqdowo,gLLPQcdefeffpcaaqqf,Face: 7
hLwLQkacfegfggngworkro,gLLPQcdefeffpcaaqqf,Face: 6
hvLAQkcedgfgfgkvcpmauk,gLLPQcdefeffpcaaqqf,Face: 5
hvLAQkcdfeggfgwglbtaqk,gLLPQcdefeffpcaaqqf,Face: 4
hLLLQkbceffggglsudmggv,gLLPQcdefeffpcaaqqf,Face: 3
hLLLQkcefgefggapdmxlgs,gLLPQcdefeffpcaaqqf,Face: 2
hLLPPkcdefggfglcahanwk,gLLPQcdefeffpcaaqqf,Face: 1
fLLQcbcdeeetsreae,gvLQQcdeffefbrcqqbd,Edge: 8
hvLAQkcdegfgfgjrcaimib,gvLQQcdeffefbrcqqbd,Face: 12
hLLzQkcdegffgglfapdovb,gvLQQcdeffefbrcqqbd,Face: 11
hLvAQkcdefggfgdvuuhbkn,gvLQQcdeffefbrcqqbd,Face: 10
hvLAQkcdfgefggwnldbudj,gvLQQcdeffefbrcqqbd,Face: 9
hLLLQkcdeefgggtsaplvoo,gvLQQcdeffefbrcqqbd,Face: 8
hvLPQkcdegfgfggjfpuiuj,gvLQQcdeffefbrcqqbd,Face: 7
hLLzQkcdegffggavumhkos,gvLQQcdeffefbrcqqbd,Face: 6
hvLPQkcdefgfgggffqeqec,gvLQQcdeffefbrcqqbd,Face: 5
hLLLQkcdfefgggachqugkk,gvLQQcdeffefbrcqqbd,Face: 4
hLLzQkcdfegfggaodxxnss,gvLQQcdeffefbrcqqbd,Face: 3
hLLLQkcdefegggqwixlsbb,gvLQQcdeffefbrcqqbd,Face: 2
hLLLQkcdffegggafhaxgkk,gvLQQcdeffefbrcqqbd,Face: 1
fLLQcacdeeenkaisr,gLLMQbcdefffebbpuks,Edge: 8
