target,source,label
fLLQcbcedeelsasud,eLMkbcdddhhhdu,Face: 8
fLLQcbcedeelsajqa,eLMkbcdddhhhdu,Face: 7
fLLQcbcedeelsqsdl,eLMkbcdddhhhdu,Face: 2
gLLAQcddefffurvpqor,fLLQcbcedeelsasud,Face: 10
gLLMQbcdefffebbquro,fLLQcbcedeelsasud,Face: 9
gLLPQccdeffflbnexwf,fLLQcbcedeelsasud,Face: 8
gvLQQcdeffefbjcqqbd,fLLQcbcedeelsasud,Face: 7
gLLPQcdefeffpcatqqf,fLLQcbcedeelsasud,Face: 6
gvLQQcdefeffjgotjhu,fLLQcbcedeelsasud,Face: 5
gLLAQbcedfffajhjhrw,fLLQcbcedeelsasud,Face: 4
gLLAQcddefffacvqxoj,fLLQcbcedeelsasud,Face: 3
gLLAQbddeeffxwrqxwk,fLLQcbcedeelsasud,Face: 2
gLLAQbcedfffajhfhnc,fLLQcbcedeelsasud,Face: 1
gLLMQbcdefffebbtuwn,fLLQcbcedeelsajqa,Face: 10
gLLPQccdeffftnkumno,fLLQcbcedeelsajqa,Face: 9
gvLQQcdeffefbjcqqbd,fLLQcbcedeelsajqa,Face: 8
gLLMQbdeefffevampik,fLLQcbcedeelsajqa,Face: 7
gvLQQcdeffefbjcqqbd,fLLQcbcedeelsajqa,Face: 5
gLLAQbcedfffajhfhnc,fLLQcbcedeelsajqa,Face: 4
gLLAQcddefffacvxxbg,fLLQcbcedeelsajqa,Face: 3
gLLAQccdeeffhwvlqkw,fLLQcbcedeelsajqa,Face: 2
gLLAQbcedfffajhfhnc,fLLQcbcedeelsajqa,Face: 1
gvLQQcdeffefffjeuru,fLLQcbcedeelsqsdl,Face: 10
gLLPQccdeffftnkumno,fLLQcbcedeelsqsdl,Face: 9
gLLPQcdefeffpgaamuj,fLLQcbcedeelsqsdl,Face: 8
gLLMQbdeefffevampik,fLLQcbcedeelsqsdl,Face: 7
gLLAQcddefffacvqqjs,fLLQcbcedeelsqsdl,Face: 4
gLLAQbcedfffajhjqwg,fLLQcbcedeelsqsdl,Face: 3
gLLAQbddeeffhrrhagk,fLLQcbcedeelsqsdl,Face: 2
hLLLQkbdfgefggevapenvk,gLLAQcddefffurvpqor,Face: 12
hLLMMkcceffgggqfadxwkv,gLLAQcddefffurvpqor,Face: 11
hLLAAkcddeffggtrvalrqk,gLLAQcddefffurvpqor,Face: 10
hLvAQkbeffgeggdeddadww,gLLAQcddefffurvpqor,Face: 9
hLLLQkcedfgfgguafamkck,gLLAQcddefffurvpqor,Face: 8
hLvMQkbfegefggemmlmxkf,gLLAQcddefffurvpqor,Face: 7
hLLAPkcdeefgggugpdaggb,gLLAQcddefffurvpqor,Face: 6
hLvAQkbefeefgglalxixnk,gLLAQcddefffurvpqor,Face: 5
fLLQcacdeeenkadko,gLLMQbcdefffebbquro,Edge: 8
hLLAMkbdedffgglvdgaktj,gLLMQbcdefffebbquro,Face: 12
hLLAPkcddegfggpcvajcjg,gLLMQbcdefffebbquro,Face: 11
hLLMMkbceefgggebxiacvs,gLLMQbcdefffebbquro,Face: 10
hvLPQkcdefgfggkwflhpeb,gLLMQbcdefffebbquro,Face: 9
hLvAQkbefegfggexehaicg,gLLMQbcdefffebbquro,Face: 8
hLLLQkbddfggfgesftvnws,gLLMQbcdefffebbquro,Face: 7
hLLAAkccdeffggpkvqajmj,gLLMQbcdefffebbquro,Face: 6
hLLLQkbddfgfggarfpffnk,gLLMQbcdefffebbquro,Face: 5
hLLAPkccdegfggakvhbvnw,gLLMQbcdefffebbquro,Face: 4
hLLLQkceffegggapqaxlgn,gLLMQbcdefffebbquro,Face: 3
hLLAMkbdedfgggevxslduu,gLLMQbcdefffebbquro,Face: 2
hLLLQkbdfefgggxwmxxkko,gLLMQbcdefffebbquro,Face: 1
hLLAPkbdedfgggevxscfoo,gLLPQccdeffflbnexwf,Face: 12
hLLAPkccedfggglbannwjo,gLLPQccdeffflbnexwf,Face: 11
hLLPAkccdfefgglbnadnhj,gLLPQccdeffflbnexwf,Face: 10
hLLAPkbdedgfggdsavsvkv,gLLPQccdeffflbnexwf,Face: 9
hLLMMkbceefgggajheaksc,gLLPQccdeffflbnexwf,Face: 8
hLLLQkbcfgegfgtbputccc,gLLPQccdeffflbnexwf,Face: 7
fLLQcbcedeelsajqa,gvLQQcdeffefbjcqqbd,Edge: 8
hvLAQkcdegfgfgnrcaimib,gvLQQcdeffefbjcqqbd,Face: 12
hvLAQkcdfgefggwnldbuxj,gvLQQcdeffefbjcqqbd,Face: 11
hLvAQkcdefggfgqvpuiokw,gvLQQcdeffefbjcqqbd,Face: 10
hvLPQkcdefgfggvbfxlelf,gvLQQcdeffefbjcqqbd,Face: 9
hvLPQkcdefgfggvffqeqec,gvLQQcdeffefbjcqqbd,Face: 8
hLLLQkcdfefgggqsqpljjw,gvLQQcdeffefbjcqqbd,Face: 7
hLLLQkcdfefgggachqqgkk,gvLQQcdeffefbjcqqbd,Face: 6
hvLPQkcedfgfggjkcxlqlj,gvLQQcdeffefbjcqqbd,Face: 5
hLLzQkcdfgefggasdhtnss,gvLQQcdeffefbjcqqbd,Face: 4
hLLLQkcdeefgggqsiplsbb,gvLQQcdeffefbjcqqbd,Face: 3
hLLLQkcdffegggafhaigkk,gvLQQcdeffefbjcqqbd,Face: 2
hLLzQkcdfegfggakdxxnss,gvLQQcdeffefbjcqqbd,Face: 1
hLLzQkcdfegfgglwmdxcss,gLLPQcdefeffpcatqqf,Face: 12
hLLLQkcdeegfgglwhhlfwr,gLLPQcdefeffpcatqqf,Face: 11
hLLzQkcdfgefggpgmhlcbs,gLLPQcdefeffpcatqqf,Face: 10
hvLAQkcdfgefggwnldbuxj,gLLPQcdefeffpcatqqf,Face: 9
hvLAQkcdfegfggwnlgtuqr,gLLPQcdefeffpcatqqf,Face: 8
hLLLQkccefggfgqfmxxbfn,gLLPQcdefeffpcatqqf,Face: 7
hLwLQkacfegfggngwofkfc,gLLPQcdefeffpcatqqf,Face: 6
hvLAQkcedgfgfgkjkhhaho,gLLPQcdefeffpcatqqf,Face: 5
hvLAQkcdegffggvnopxqhw,gLLPQcdefeffpcatqqf,Face: 4
hLLLQkcdeefggglkiitgww,gLLPQcdefeffpcatqqf,Face: 3
hLLLQkceffgeggpaxqehgo,gLLPQcdefeffpcatqqf,Face: 2
hLLLQkbceffggglspdmnnv,gLLPQcdefeffpcatqqf,Face: 1
hvLPQkcdefgfggbbrhlpms,gvLQQcdefeffjgotjhu,Face: 12
hvLPQkcdefgfggkwflhpeb,gvLQQcdefeffjgotjhu,Face: 11
hvLAQkcdefgfggvrbxqhib,gvLQQcdefeffjgotjhu,Face: 10
hvLPQkcdefgfggvbfxlelf,gvLQQcdefeffjgotjhu,Face: 9
hLLzQkcdegfgfghsqilffw,gvLQQcdefeffjgotjhu,Face: 8
hvLAQkcdegfgfgnjoaeatc,gvLQQcdefeffjgotjhu,Face: 7
hLLLQkcdfegfggucexucsf,gvLQQcdefeffjgotjhu,Face: 6
hvLAQkcdegfgfgffjhmeqf,gvLQQcdefeffjgotjhu,Face: 5
hvLAQkcdegfgfgbfrxxhdv,gvLQQcdefeffjgotjhu,Face: 4
hLLLQkcdeefgggafeuuwjf,gvLQQcdefeffjgotjhu,Face: 3
hLLzQkcdegfgfgagpqxbfk,gvLQQcdefeffjgotjhu,Face: 2
hLLLQkcdfefgggafqphgkn,gvLQQcdefeffjgotjhu,Face: 1
hLLLQkbdfgefggevapenvk,gLLAQbcedfffajhjhrw,Face: 12
hLLLQkcddfgfggukfxfkfj,gLLAQbcedfffajhjhrw,Face: 11
hLLAPkbdedfgggevxscfoo,gLLAQbcedfffajhjhrw,Face: 10
hLLAPkbdedfgggevesvvjj,gLLAQbcedfffajhjhrw,Face: 9
hLLLQkcdeegfggagpmejwr,gLLAQbcedfffajhjhrw,Face: 8
hLLzQkcdegfgfghsqilffw,gLLAQbcedfffajhjhrw,Face: 7
hLLAMkbedeffggxxcearcv,gLLAQbcedfffajhjhrw,Face: 6
