id,oriented,tetrahedra
eLMkbcdddhhhdu,1,4
fLLQcbcedeelsasud,-1,5
fLLQcbcedeelsajqa,1,5
fLLQcbcedeelsqsdl,1,5
gLLAQcddefffurvpqor,-1,6
gLLMQbcdefffebbquro,-1,6
gLLPQccdeffflbnexwf,-1,6
gvLQQcdeffefbjcqqbd,-1,6
gLLPQcdefeffpcatqqf,-1,6
gvLQQcdefeffjgotjhu,-1,6
gLLAQbcedfffajhjhrw,-1,6
gLLAQcddefffacvqxoj,-1,6
gLLAQbddeeffxwrqxwk,-1,6
gLLAQbcedfffajhfhnc,-1,6
gLLMQbcdefffebbtuwn,-1,6
gLLPQccdeffftnkumno,1,6
gLLMQbdeefffevampik,1,6
gLLAQcddefffacvxxbg,-1,6
gLLAQccdeeffhwvlqkw,1,6
gvLQQcdeffefffjeuru,1,6
gLLPQcdefeffpgaamuj,0,6
gLLAQcddefffacvqqjs,-1,6
gLLAQbcedfffajhjqwg,-1,6
gLLAQbddeeffhrrhagk,1,6
hLLLQkbdfgefggevapenvk,-1,7
hLLMMkcceffgggqfadxwkv,-1,7
hLLAAkcddeffggtrvalrqk,-1,7
hLvAQkbeffgeggdeddadww,-1,7
hLLLQkcedfgfgguafamkck,-1,7
hLvMQkbfegefggemmlmxkf,-1,7
hLLAPkcdeefgggugpdaggb,-1,7
hLvAQkbefeefgglalxixnk,-1,7
fLLQcacdeeenkadko,1,5
hLLAMkbdedffgglvdgaktj,-1,7
hLLAPkcddegfggpcvajcjg,-1,7
hLLMMkbceefgggebxiacvs,-1,7
hvLPQkcdefgfggkwflhpeb,-1,7
hLvAQkbefegfggexehaicg,-1,7
hLLLQkbddfggfgesftvnws,-1,7
hLLAAkccdeffggpkvqajmj,-1,7
hLLLQkbddfgfggarfpffnk,-1,7
hLLAPkccdegfggakvhbvnw,-1,7
hLLLQkceffegggapqaxlgn,-1,7
hLLAMkbdedfgggevxslduu,-1,7
hLLLQkbdfefgggxwmxxkko,-1,7
hLLAPkbdedfgggevxscfoo,-1,7
hLLAPkccedfggglbannwjo,-1,7
hLLPAkccdfefgglbnadnhj,-1,7
hLLAPkbdedgfggdsavsvkv,-1,7
hLLMMkbceefgggajheaksc,-1,7
