target,source,label
fLLQcbcdeeehvrmpm,eLMkbcdddhhqxh,Face: 8
gLLMQbcdeffflsbhisb,fLLQcbcdeeehvrmpm,Face: 10
gLLMQbcdefffebbuurw,fLLQcbcdeeehvrmpm,Face: 9
gvLQQcdfeeffwctfntu,fLLQcbcdeeehvrmpm,Face: 7
gvLQQcdefeffbnrpfld,fLLQcbcdeeehvrmpm,Face: 6
gLLPQcdefeffpgaemxj,fLLQcbcdeeehvrmpm,Face: 5
gLLAQbcedfffajhjqoj,fLLQcbcdeeehvrmpm,Face: 4
gLLAQcddefffackxhcv,fLLQcbcdeeehvrmpm,Face: 3
gLLAQbcedeffhvefpvr,fLLQcbcdeeehvrmpm,Face: 2
gLLAQbcedfffajhfhjf,fLLQcbcdeeehvrmpm,Face: 1
hLLLQkbdgfefggevauicvw,gLLMQbcdeffflsbhisb,Face: 12
hLLLQkbdfefgggevqudwwo,gLLMQbcdeffflsbhisb,Face: 11
hLLAAkbdedffggevagajhn,gLLMQbcdeffflsbhisb,Face: 10
hLLLQkceffegggllqaqljn,gLLMQbcdeffflsbhisb,Face: 9
hLLAPkbdedfgggevlsfvrr,gLLMQbcdeffflsbhisb,Face: 8
hvLAQkcedgfgfgfwfuiaif,gLLMQbcdeffflsbhisb,Face: 7
hLLAMkbdedfggglrasliih,gLLMQbcdeffflsbhisb,Face: 6
hLvAQkbeffegggeeeaamvg,gLLMQbcdeffflsbhisb,Face: 5
hLLLQkcddfggfgukfikkfn,gLLMQbcdeffflsbhisb,Face: 4
hLLLQkbdefegggevmuikww,gLLMQbcdeffflsbhisb,Face: 3
hLLAPkceddgfgglawnnbgr,gLLMQbcdeffflsbhisb,Face: 2
hLLLQkbdeeffggevqqpjor,gLLMQbcdeffflsbhisb,Face: 1
fLLQcacdeeenkaakn,gLLMQbcdefffebbuurw,Edge: 8
hvLAQkcdfgefggwjlibeav,gLLMQbcdefffebbuurw,Face: 12
hLLLQkbdgefgfgevttmssg,gLLMQbcdefffebbuurw,Face: 11
hLLAPkbcdefggghjotwggv,gLLMQbcdefffebbuurw,Face: 10
hLLAPkbddegfggevoprbwk,gLLMQbcdefffebbuurw,Face: 9
hLvAQkbefegfggxxqhaabw,gLLMQbcdefffebbuurw,Face: 8
hLLLQkbdfgegfghgqlewvj,gLLMQbcdefffebbuurw,Face: 7
hLLAAkbcedffgghwafawmw,gLLMQbcdefffebbuurw,Face: 6
hLLLQkbddffgggarfpnknk,gLLMQbcdefffebbuurw,Face: 5
hLLAPkccdegfggakvhvvkn,gLLMQbcdefffebbuurw,Face: 4
hLLLQkcefefgggapqmhtgn,gLLMQbcdefffebbuurw,Face: 3
hLLAMkbdedfgggevlslhuu,gLLMQbcdefffebbuurw,Face: 2
hLLAPkceddgfgghavjwwcf,gLLMQbcdefffebbuurw,Face: 1
hvLAQkcdefggfgbgctamin,gvLQQcdfeeffwctfntu,Face: 12
hLvAQkcdefggfguvltqngv,gvLQQcdfeeffwctfntu,Face: 11
hvLPQkcdefggfgfjfxqaao,gvLQQcdfeeffwctfntu,Face: 8
