target,source,label
fLLQcbcedeehgmftu,eLPkbcddddcwjb,Face: 8
fLLQcccddeedwbker,eLPkbcddddcwjb,Face: 7
fLLQcbcdeeemgnhdp,eLPkbcddddcwjb,Face: 6
fLLQcbededempohfh,eLPkbcddddcwjb,Face: 5
fLLQcbcdeeexgrhau,eLPkbcddddcwjb,Face: 4
fvPQccdedeecojvfc,eLPkbcddddcwjb,Face: 3
fLLQcbcdeeedfbaxu,eLPkbcddddcwjb,Face: 2
fLLQcbcdeeedowaxu,eLPkbcddddcwjb,Face: 1
gLLAQbcdeeffhgrxxwn,fLLQcbcedeehgmftu,Face: 10
gLLAQbcedffftsafarg,fLLQcbcedeehgmftu,Face: 9
gLvQQbefdeffadafmuf,fLLQcbcedeehgmftu,Face: 8
gLLPQccdfeffhggaaof,fLLQcbcedeehgmftu,Face: 7
gLLAQbcedfffmktbdvv,fLLQcbcedeehgmftu,Face: 6
gLLAQbdedfffdwmfarj,fLLQcbcedeehgmftu,Face: 5
eLAkbccddmejdj,fLLQcccddeedwbker,Edge: 10
gLLAQaddefffneahvjj,fLLQcccddeedwbker,Face: 10
gLLAQccedeffdwavdkj,fLLQcccddeedwbker,Face: 9
gLvQQadefeffjapeofg,fLLQcccddeedwbker,Face: 8
gLLAQccedeffdwxkdfs,fLLQcccddeedwbker,Face: 7
gLLAQbcedeffabmfuwn,fLLQcccddeedwbker,Face: 6
gLLAQccdeeffhkvaqvj,fLLQcccddeedwbker,Face: 5
gLLAQbdeeffflvapttc,fLLQcccddeedwbker,Face: 4
gLLMQbdeefffmkuxaar,fLLQcccddeedwbker,Face: 3
gLLQPccddeffijbwear,fLLQcccddeedwbker,Face: 1
gvLQQcdeffeffwgeuba,fLLQcbcdeeemgnhdp,Face: 10
gLLAQbdeefffmkueean,fLLQcbcdeeemgnhdp,Face: 9
gLLAQbdeefffmkehman,fLLQcbcdeeemgnhdp,Face: 8
gLLPQcdeffefigpuamc,fLLQcbcdeeemgnhdp,Face: 7
gLLMQbddefffmfnmlbk,fLLQcbcdeeemgnhdp,Face: 6
gLLMQbdedfffmfuklbk,fLLQcbcdeeemgnhdp,Face: 5
gLLPQcdeffefdretatf,fLLQcbcdeeemgnhdp,Face: 4
gLLAQbcedfffmkufajr,fLLQcbcdeeemgnhdp,Face: 3
