id,oriented,tetrahedra
eLPkbcddddcwjb,1,4
fLLQcbcedeehgmftu,1,5
fLLQcccddeedwbker,-1,5
fLLQcbcdeeemgnhdp,1,5
fLLQcbededempohfh,-1,5
fLLQcbcdeeexgrhau,-1,5
fvPQccdedeecojvfc,-1,5
fLLQcbcdeeedfbaxu,1,5
fLLQcbcdeeedowaxu,1,5
gLLAQbcdeeffhgrxxwn,-1,6
gLLAQbcedffftsafarg,-1,6
gLvQQbefdeffadafmuf,-1,6
gLLPQccdfeffhggaaof,1,6
gLLAQbcedfffmktbdvv,-1,6
gLLAQbdedfffdwmfarj,1,6
eLAkbccddmejdj,1,4
gLLAQaddefffneahvjj,-1,6
gLLAQccedeffdwavdkj,-1,6
gLvQQadefeffjapeofg,-1,6
gLLAQccedeffdwxkdfs,-1,6
gLLAQbcedeffabmfuwn,-1,6
gLLAQccdeeffhkvaqvj,-1,6
gLLAQbdeeffflvapttc,-1,6
gLLMQbdeefffmkuxaar,-1,6
gLLQPccddeffijbwear,-1,6
gvLQQcdeffeffwgeuba,-1,6
gLLAQbdeefffmkueean,1,6
gLLAQbdeefffmkehman,1,6
gLLPQcdeffefigpuamc,1,6
gLLMQbddefffmfnmlbk,1,6
gLLMQbdedfffmfuklbk,1,6
gLLPQcdeffefdretatf,-1,6
gLLAQbcedfffmkufajr,-1,6
gLLAQbcedffflgtwinn,-1,6
gLLPQcdeffefarephhf,-1,6
gLLAQbddefffxvrxtrf,-1,6
gLLMQbddefffmkgqiwr,-1,6
gLLMQbcdefffmvftdgg,-1,6
gLLMQbcdefffpnfiqgg,-1,6
gLLAQccedffflnenang,-1,6
gLLAQbcdeeffxsrttfn,-1,6
gLLAQbcedffftsafxnk,-1,6
gLLPQccdfeffqffahnc,-1,6
gLLAQbddefffdwriaks,-1,6
gLLMQbcdeffftscligv,-1,6
gLLPQcdefeffpfxxedw,-1,6
gLLAQbcedffftsqfavn,-1,6
gLLPQcdfeeffakpmhmk,-1,6
gLLAQbcdefffpjgttgg,-1,6
gLLAQcdeefffdriaxxo,-1,6
gLLPQcdfefefioxadiw,-1,6
gvLQQcdefeffffolfad,-1,6
gLLPQcdeffefaoelidc,-1,6
gvLQQcefdeffjjarjhh,-1,6
gLLAQccdefffawvhdov,-1,6
gvLQQcdefeffkwfhcmh,1,6
gvLQQcdefeffjofdjdu,-1,6
gLLMQbceefffpnateeo,-1,6
gLLAQbdedfffdwqslff,-1,6
gLLMQbdeefffmvuxaqr,1,6
gLLMQbcefeffagtdxpk,-1,6
gLvQQbefdfefmexnaxs,1,6
gvLQQcdefeffkwfhkma,-1,6
gvLQQcdefeffjffdjuu,1,6
gLLMQbcdefffmsnthgc,-1,6
gLLMQbcdeffflvselww,-1,6
gLLMQbdeefffmvuxqqb,-1,6
gLLMQbdeefffmkuxaqb,1,6
gLLAQbddefffdwnqhff,-1,6
hLvAQkadfeggfgnamcvjrv,-1,7
hLLMAkccdfefggdgvxtglw,-1,7
hLLMMkbcdeffgglsfiinhw,-1,7
hLLLQkbedeffgghqftxnjk,-1,7
hLLAPkcdedgfggqsafvggj,-1,7
hLLAAkbcedefgghgmfuban,-1,7
hLLMAkccdfefgglnnqunig,-2,7
hLLMMkbceeffggtsataocv,-2,7
hLLLQkbddfggfgdwfdsrfo,-1,7
hLLLQkbdegefggdwaplvko,-1,7
hLLAMkbeedffggaxmkajcw,-1,7
hLLLQkcdegffggasmplcjv,-1,7
hLLAMkbcedfgggtsafhaaq,-1,7
hLLPMkccdfegggqffaqxee,-1,7
hLLLQkcddegfgglgfmwsoo,-1,7
hLLAMkbcedfgggtsxfahuu,-1,7
hLLPPkcdfegfggqstlarnv,-1,7
