target,source,label
fLLQcbcedeetsxfdl,eLPkbcddddjknw,Face: 8
fLLQcccddeepfnoun,eLPkbcddddjknw,Face: 7
fLLQcbcedeetsqfxq,eLPkbcddddjknw,Face: 6
fLLQcbeddeedtkvpu,eLPkbcddddjknw,Face: 5
fvPQccdedeejkrjfs,eLPkbcddddjknw,Face: 4
fLLQcbcedeeljhfda,eLPkbcddddjknw,Face: 3
fLLQcbedededloufu,eLPkbcddddjknw,Face: 2
fLLQcccddeeujnvur,eLPkbcddddjknw,Face: 1
gLLAQbdeefffdwdhaqg,fLLQcbcedeetsxfdl,Face: 10
gLLAQbcdeffftccdunn,fLLQcbcedeetsxfdl,Face: 9
gLvQQbefdeffadqfmlf,fLLQcbcedeetsxfdl,Face: 8
gLLPQccdfefflnkaaon,fLLQcbcedeetsxfdl,Face: 7
gLLPQccdfeffhwraaof,fLLQcbcedeetsxfdl,Face: 6
gLLMQbddeeffhwrhhgk,fLLQcbcedeetsxfdl,Face: 5
gLLAQbcedffftsafabw,fLLQcbcedeetsxfdl,Face: 4
eLPkaccddjbkaj,fLLQcccddeepfnoun,Edge: 7
gLLAQbddeeffajkthcw,fLLQcccddeepfnoun,Face: 10
gLLAQbddeeffxvrxqrk,fLLQcccddeepfnoun,Face: 9
gLvQQadefeffjahhrff,fLLQcccddeepfnoun,Face: 8
gLLAQcededfflavxjcw,fLLQcccddeepfnoun,Face: 7
gLLAQccdeeffawvhuvj,fLLQcccddeepfnoun,Face: 6
gLLAQaddefffjhaxvgk,fLLQcccddeepfnoun,Face: 5
gLLMQbdeeffflvaiqqr,fLLQcccddeepfnoun,Face: 4
gLLAQbdeeffflvuqxxo,fLLQcccddeepfnoun,Face: 3
gLLQPccddefflnnouar,fLLQcccddeepfnoun,Face: 1
gvLQQcdeffeffwbeubh,fLLQcbcedeetsqfxq,Face: 10
gLLAQbdeefffdwxtatc,fLLQcbcedeetsqfxq,Face: 9
gLLPQccdeffflnjpmbs,fLLQcbcedeetsqfxq,Face: 8
gLLPQcdefeffpfxxpdb,fLLQcbcedeetsqfxq,Face: 7
gLLAQbcedffftsafxvc,fLLQcbcedeetsqfxq,Face: 6
gLLAQbddeeffhcrlunj,fLLQcbcedeetsqfxq,Face: 5
gLLPQccdfeffqffahkv,fLLQcbcedeetsqfxq,Face: 4
gLLAQbcedffftsqfakc,fLLQcbcedeetsqfxq,Face: 3
gLLAQbcdeffflkbmlbb,fLLQcbcedeetsqfxq,Face: 2
gLLPQcdeffefakedxdk,fLLQcbcedeetsqfxq,Face: 1
gLLAQbddeeffxjrxqrj,fLLQcbeddeedtkvpu,Face: 10
gLLAQbddefffxvkxurw,fLLQcbeddeedtkvpu,Face: 9
gLLMQbdedfffhfanxof,fLLQcbeddeedtkvpu,Face: 8
gLLAQbddeeffxvrdtck,fLLQcbeddeedtkvpu,Face: 7
gLLMQccdefffpkveqvs,fLLQcbeddeedtkvpu,Face: 6
gLLPQcdfefeftrhuadr,fLLQcbeddeedtkvpu,Face: 5
gLLMQbcdeffftskpqnn,fLLQcbeddeedtkvpu,Face: 4
gLLMQccdefffajvihjk,fLLQcbeddeedtkvpu,Face: 3
gLLAQbeddfffdtjgekk,fLLQcbeddeedtkvpu,Face: 2
gLLAQccedffflnmnunb,fLLQcbeddeedtkvpu,Face: 1
gLvQQbefdfefdahfehr,fvPQccdedeejkrjfs,Face: 10
gLLAQcdeeffflcpuqmo,fvPQccdedeejkrjfs,Face: 9
gvLQQcdeffeffwbeubh,fvPQccdedeejkrjfs,Face: 8
gvLQQcdeffeffwbuubh,fvPQccdedeejkrjfs,Face: 7
gLvQQbefdfefdapfeps,fvPQccdedeejkrjfs,Face: 6
gvLQQcdefeffffkpcal,fvPQccdedeejkrjfs,Face: 5
gLLAQcdeeffflcuaqmv,fvPQccdedeejkrjfs,Face: 4
