target,source,label
fLLQcbcedeetsxfda,eLPkbcddddjwnw,Face: 8
fLLQccdcdeelgrfmw,eLPkbcddddjwnw,Face: 7
fLLQcbcedeetsdfmd,eLPkbcddddjwnw,Face: 6
fLLQcbedededtoufu,eLPkbcddddjwnw,Face: 5
fLLQcbcedeetjhfda,eLPkbcddddjwnw,Face: 3
gLLAQbcdeefftsreejn,fLLQcbcedeetsxfda,Face: 10
gLLAQbcedffftsafanw,fLLQcbcedeetsxfda,Face: 9
gLvQQbefdeffadufmlf,fLLQcbcedeetsxfda,Face: 8
gLLPQccdfefflnkaaof,fLLQcbcedeetsxfda,Face: 7
eLPkaccddjnkaj,fLLQccdcdeelgrfmw,Edge: 8
gLLAQccdeeffakveivn,fLLQccdcdeelgrfmw,Face: 10
gLLAQbddeeffxvrxlrk,fLLQccdcdeelgrfmw,Face: 9
gLvQQadefeffjahhrfc,fLLQccdcdeelgrfmw,Face: 8
gLLMQcededffahvewwj,fLLQccdcdeelgrfmw,Face: 7
gLLAQccdeeffawvhqvj,fLLQccdcdeelgrfmw,Face: 6
gLLAQbcdeeffpfreeok,fLLQccdcdeelgrfmw,Face: 5
gLLMQbdeeffflnaixxo,fLLQccdcdeelgrfmw,Face: 4
gLLMQbdeeffftvtummv,fLLQccdcdeelgrfmw,Face: 3
gLLQPccddefflnnruar,fLLQccdcdeelgrfmw,Face: 1
gvLQQcdeffefjjfthbq,fLLQcbcedeetsdfmd,Face: 10
gLLAQbdeefffdwmqatj,fLLQcbcedeetsdfmd,Face: 9
gLLPQccdfefflbnainw,fLLQcbcedeetsdfmd,Face: 8
gLLPQcdefeffuoueixj,fLLQcbcedeetsdfmd,Face: 7
gLLAQbcedffftsafmvc,fLLQcbcedeetsdfmd,Face: 6
gLLMQbddeeffxjrqqwk,fLLQcbcedeetsdfmd,Face: 5
gLLPQccdefffhkottof,fLLQcbcedeetsdfmd,Face: 4
gLLAQbcedffftstfawr,fLLQcbcedeetsdfmd,Face: 3
gLLAQbcdeffflkjmevv,fLLQcbcedeetsdfmd,Face: 2
gLLPQcdeffefaoedxdk,fLLQcbcedeetsdfmd,Face: 1
eLPkbcddddkokg,fLLQcbedededtoufu,Edge: 7
gLLAQbddeeffxvrxqrj,fLLQcbedededtoufu,Face: 10
gLLAQbddefffxvkxirw,fLLQcbedededtoufu,Face: 9
gLLMQbdedfffhganxof,fLLQcbedededtoufu,Face: 8
gLLAQbddeeffxvrxlrk,fLLQcbedededtoufu,Face: 7
gLLMQccdefffajvedor,fLLQcbedededtoufu,Face: 6
gLLAQbddefffdoklqkk,fLLQcbedededtoufu,Face: 5
gLLMQbcdeffftskuqgg,fLLQcbedededtoufu,Face: 4
gLLMQccdefffajvidjk,fLLQcbedededtoufu,Face: 3
gLLAQccedffflninanj,fLLQcbedededtoufu,Face: 2
gLLAQccedffflnmnanb,fLLQcbedededtoufu,Face: 1
gLvQQbefdeffadufmlf,fLLQcbcedeetjhfda,Face: 10
gLLAQbcdeffflrwilww,fLLQcbcedeetjhfda,Face: 9
gLLPQccdfeffhwgaxon,fLLQcbcedeetjhfda,Face: 8
gLLAQbcdeefftjgeejn,fLLQcbcedeetjhfda,Face: 7
gLvQQbefdeffadufmlf,fLLQcbcedeetjhfda,Face: 3
hLvAQkadfeggfgnaecvjko,gLLAQbcdeefftsreejn,Face: 12
hLLPAkccdeffggqffetwxk,gLLAQbcdeefftsreejn,Face: 11
hLwMMkaceeffggjgqkscxr,gLLAQbcdeefftsreejn,Face: 10
hLLMAkccdfefgglnvxtglw,gLLAQbcdeefftsreejn,Face: 9
hLLLQkbedeffggdqfpxcjk,gLLAQbcdeefftsreejn,Face: 6
