id,oriented,tetrahedra
eLPkbcddddrwjf,1,4
fLLQcbcedeetsqfti,1,5
fLLQcccddeeqjjshr,1,5
fvPQccdedeekskfww,1,5
fLLQcbededehhoafa,1,5
fLLQcbeddeeddgvua,0,5
gLLAQbddeeffxfrpioj,-1,6
gLLAQbcedffftsafxfo,1,6
gvLQQcdeffeffjcembl,1,6
gLLPQccdfeffhosaaof,-1,6
gLLPQcdefeffpfxxqdc,1,6
gLLAQbdeefffdwtlain,0,6
gLLPQccdeffflnfimcb,0,6
gLLAQbcedffftsqfajo,-1,6
gLLPQcdeffefakxputr,-1,6
gLLAQbedeffftaclhxn,-1,6
gLLAQbcdeefflsohtfn,0,6
gLLAQaddefffnuaevjs,1,6
gLLAQbcedeffhvefpcn,1,6
gLLAQbdeeffflvxquug,-1,6
gLLQPcdcdeffqckvaaw,-1,6
gLLAQcdeefffhfiaxao,1,6
gLLPQcdeffefhstlais,-1,6
gvLQQcdefefffffxoax,0,6
gvLQQcdefeffbfgpfll,1,6
gLvQQbefdfefmexfaxk,0,6
gvLQQcdefeffgjnuspl,-1,6
gLLPQcdefeffakxldaj,-1,6
gLLAQcdeeffflkhxxxc,-1,6
gLLPQcdeffefareqahg,-1,6
gLLAQbddefffxvgxurn,0,6
gLLAQbddefffxfrpdjj,-1,6
gLLAQccedffflnhnavk,-1,6
gLLMQbceffeftgxiqtb,0,6
gLLAQbdedfffdfacqsv,0,6
gLLMQbdedfffmfuktks,0,6
gLLPQcdeffefdramatk,-1,6
gLLAQbeddfffddjferr,-1,6
gLLAQbdedfffdwafdrr,0,6
gLLAQbedeeffminuihj,-1,6
gLLMQbcdeffflofqqss,-1,6
hLwLQkacegffggjgkookfc,-1,7
hLvAQkadefggfgnaefvjwr,-1,7
hLLLQkbdefffggevpuhjok,-1,7
hLLPAkccdeffgguvfeawxk,-1,7
hLvAQkadfeggfgnaacvjrw,-1,7
hLLLQkbdeeffgghsapmvok,-1,7
hLLLQkbedeffgghhfaxjjk,-1,7
hLLLQkbedeffggxqfaxojk,-1,7
hLLLQkcedgefgghtstqfgg,-1,7
hLLLQkbdfefgggxfiixwwo,-1,7
hLLAAkbddeefgghsripsaj,-1,7
hLLAPkbddefgggevjmfvkr,0,7
hLLLQkcddefgggpkrdrvkf,0,7
hLLLQkbddgffggdwfqvfnr,0,7
hLLLQkbdegefggdwlploko,0,7
hLLAMkbeedffggxqakavcw,-1,7
hLLLQkcdegffggqsahlcbs,-1,7
hLLAMkbcedfgggtsafhqei,-1,7
hLLPMkccdfegggqffaqxah,-1,7
hLLLQkcddegfgglgfmwskc,1,7
hLLAMkbcedfgggtsxfahit,-1,7
hLLLQkcdeefgggqsmmlbkk,-1,7
hLLAMkbddefggghsridmmm,-1,7
hLLLQkcdegfgfgasehlwwn,-1,7
hLLLQkcdegffggafmhdcjc,-1,7
hLLLQkcdfegfggpclepwww,-1,7
hvLAQkcdfegfggfjxoqaqf,1,7
hLLLQkcdefgfggawmxmjjr,-1,7
hvLAQkcdfegfggkwpkeaek,1,7
hvLPQkcdefggfgbscdpapv,-1,7
hvLAQkcdfegfggbjtstdiw,-1,7
hvLAQkcedgfgfgkvkhhahr,0,7
hLLLQkcdfefgggagqmhjkn,-1,7
hLLzQkcdegffggafuqdkok,-1,7
hLLLQkcdefegggareqhwnv,-1,7
hLLLQkccegfgfgqfmatcjw,-1,7
hLLAPkccedfgggqfefwjvb,-1,7
hLLMPkbdedfggghgafoovk,-1,7
hLLLQkbdeegfgghsappvss,-1,7
hLLMPkbddegfgghsrarbvv,-1,7
hLLAPkccedfggghoasvckw,-1,7
hvLAQkcdegfgfgffjhiaqf,0,7
hvLAQkcdegfgfgwcrdtqds,-1,7
hvLAQkcedfgfggkvcqxexn,-1,7
hvLAQkcdefgfggvgktimqk,-1,7
hLvAQkbefggffgpahpuqcv,0,7
hLLLQkcdegffggtklqtkww,-1,7
hLLzQkcdfegfggtkmducww,1,7
hLLLQkceffgegguaqqmhjw,-1,7
hLLLQkbcfefgggtsiitnnv,-1,7
hLLLQkcdeefgggtkmdtgww,-1,7
hLvMQkbefgfeggpaaealws,-1,7
hLLLQkbddfgfggevfdwbfo,-1,7
hLLLQkccfgegfgdwapukfn,-1,7
hLLAMkcedefgggplvtufjc,0,7
hLLAPkcedefgggplktuosn,0,7
hLLLQkbddfggfgdwfdssfo,0,7
hLLAPkbdeegfggdwxaicff,-1,7
hLLLQkbdeffgfgdwluhnkj,-1,7
hLLLQkbdgfegfgdwauuwgr,-1,7
hLLLQkbcgfefggtgditgow,0,7
hLLLQkbdegefggevdppskw,-1,7
hLLLQkbdeegfggmwlxifvb,-1,7
hLLLQkbdeefgggmrqqawov,0,7
hLLLQkbcgfefgglgddtgow,-1,7
hLLAPkccedfgggpoarvwoj,-1,7
hLLLQkbdegefggdwaplvkk,0,7
hLLPAkccdeffggporeawxj,-1,7
hLLMMkbcefegggasxmxksn,-1,7
hLLAMkbcedfgggtsafxait,-1,7
hLLAMkbeedffggaxxkakcw,-1,7
hLLLQkbeegefgghaahhhfo,-1,7
hLLLQkceffegggtadatlcr,-1,7
hLLMAkbddeffggdwjxeoug,-2,7
hLLMMkbceeffggtsquaccv,-2,7
hLLPPkcdfeggfghsatawkb,-1,7
hLLAMkbcedfgggtsqfaqii,-1,7
hLLLQkbedegfggaifmdroj,-1,7
hLLLQkcdfgfggfarhpqkjf,-1,7
hLLPMkcdeffgggagxhawgg,-1,7
hLLLQkbcefggfgagpupkgo,-1,7
hLLPMkcdeffgggafueasgg,-1,7
hLwLQkacefggfgbgcrfgkw,-2,7
hLwLQkacefggfgbgrgwbbs,-2,7
hLLzQkcdefgfggaoudxkon,-1,7
hLLAPkcdeegfggqsmlanvv,-1,7
hLLzQkcdfgefggakhiikwk,-1,7
hLLLQkbddfggfgawrdknkn,-1,7
hLLAMkcddefgggdrvamaed,-1,7
hLLLQkbedfgfggeajemkgj,-1,7
hLLLQkbeeefgggdaaeexko,-1,7
hLLMMkbddeffgghsoatkdf,-2,7
hLLMAkbddeffgghsolhoug,-2,7
hLLLQkbedegfggahfadwkw,-1,7
hLLAMkccdefggghovtamqq,-1,7
hLLPPkcdefgfggafxpprnj,-1,7
hLLAPkcddegfggagvtwfbc,-1,7
hLLAPkcddefgggafvtkfcb,-1,7
hLLAAkccedefggtnegdrar,-1,7
hLvAQkadffegggjaicwjrv,0,7
hLvAQkadfegfggjaqcfjkk,0,7
hLvAQkbeffgefgdahehhsw,0,7
hLvAQkadefgfggnamrvfbs,-1,7
hLLLQkbdefffgghgaqqgbk,-1,7
hLLMAkccdfefgganvddjxk,0,7
hLwMAkacdeffggnghcnvxs,-1,7
hLLMMkbceeffggajhmurjs,-1,7
hLLLQkadefgfggnuagfvgj,-1,7
hLLLQkceffegfglueaxlfr,0,7
hLLLQkbdgegfgfeviuivwj,0,7
hLvAQkaefegfggjlqvcffg,1,7
hLLAMkbdeefgggevumasfc,-1,7
hLLLQkbddfggfglvnhknwo,-1,7
hLLAMkbdeeffggxvahancw,1,7
hLLMPkbcdegffgxortfnkn,1,7
hLLAPkceddffgghavrwnbj,-1,7
hLLLQkcbgfefgganqipgcv,-1,7
hLLLQkbedeggfgahfxxsko,-1,7
hLLAAkbdedffggevagajaw,0,7
hLLLQkbdeeffggevqqpjjk,0,7
hLLLQkacfgegfgjkgfgffr,1,7
hLLLQkbdfgegfglvqhtwsn,-1,7
hLLAAkbcdeefgghvrmmcxk,1,7
hLLPPkcdfeffggakheircr,-1,7
hLLLQkbedeffggahfxxsok,-1,7
hLLAAkbcedffgghwafawdj,-1,7
hLLLQkbcefggfgaspuxosv,-1,7
hLvAQkbefegfggadlxaqwc,-1,7
hLLPPkceeffeggthqddukb,-2,7
hLLPAkceefefggthqxaxvv,-2,7
hLLLQkbddfggfgakftknkn,-1,7
hLLAPkbecdgfggaanfjjsj,-1,7
hLLAPkcddefgggaknxkkgb,-1,7
hLLLQkbddffgggasftnknk,-1,7
hLvPQkccgeffggasaedksr,-1,7
hLLAAkbddeefgghsripjas,-1,7
hLALPkaccegfggbgfgtpoj,-2,7
hLLLQkbdefffgghsammvbk,-1,7
hLALPkbcbegfggaakoxxsj,-1,7
hLLLQkbcffgggflstplkos,0,7
hLvAQkcdefggfguruqevnb,0,7
hLLLQkcdegffggqkamtjbj,-1,7
hLLLQkbcfgffgglspaewok,0,7
hLLzQkcdegffggqkaptjbc,-1,7
hLLLQkbdfgfggfxvhqxcvc,1,7
hLLAMkbdeefgggevdpaovk,-1,7
hLLLQkbedfgfggahfiirow,-1,7
hLLLQkbedfgfggaxfpxrrc,-1,7
hLLLQkbedfgfggaifiurco,-1,7
hvLAQkcdfgegfgwjlibhtj,-1,7
hLLLQkbcegffgglsmapgso,-1,7
hvLAQkcedgfgfgwbcdpqec,-1,7
hLLLQkbcfgefgglsqahgkb,-1,7
hLLzQkcdefggfghcmaiwfc,-1,7
hLLLQkbedfgfggxxfhdcvw,-1,7
hLvAQkbefeggfgxaxhaqbr,-1,7
hLLzQkcdefggfgqrlaenfk,-1,7
hLLLQkbcegffgghwmaqgrb,-1,7
hLLLQkcdegffggafxquwcc,-1,7
hLLLQkbedgffggahflmvgo,-1,7
hLLLQkcdefgfggaruamoow,-1,7
hLvMQkbfdgefggptfxucwf,0,7
hLLLQkcdffegggiceaakrf,0,7
hvLAQkcdegffggffrmamac,-1,7
hvLAQkcdfegfggjragmemo,0,7
hvLAQkcdefgfggjvglxaxj,0,7
hvLAQkcedfggfgkvceemlw,-1,7
hvLAQkcdegffggnvrammeb,0,7
hLLLQkcdfeggfglrlqlgbf,-1,7
hLLzQkcdefggfgpgahlosk,-1,7
hLLLQkcdegfgfgacpmabjb,-1,7
hLLLQkcdegffggavmixbjj,-1,7
hLLLQkcdefgfggavmaprjj,0,7
hvLAQkcdfeggfgnvaoiiho,1,7
hvLAQkcdegfgfgffjhuaub,0,7
hvLAQkcedfgfggfvchhlxo,-1,7
hvLAQkcdefggfgkvglhhmk,-1,7
hvLAQkcdefgfggvgntimac,-1,7
hLLzQkcdefggfgdfadlofs,0,7
hvLPQkcdegffgggkfhpulo,1,7
hLLLQkcdefggfgafeaawkw,-1,7
hLLLQkcdfgefggagqptwnn,-1,7
hLLLQkcdegfgfgavehuwsn,-1,7
hLLLQkcdffgggfdrlahgff,-1,7
hLvMQkbefefgggpalppqwg,-1,7
hLLzQkcdegfgfgufuldvff,-1,7
hLLLQkcdffgggfdrldhgvf,-1,7
hLLLQkccfegfggdwaeproo,0,7
hLLLQkcdegfgfgavphdbfn,0,7
hLLLQkbedfgfggmanimwsj,-1,7
hLvMQkbfdeggfgaefpqwwr,-1,7
hvLAQkcdefgfggnvnllees,-1,7
hvLAQkcdfegfggjjasaqxo,-1,7
hvLAQkcdegfgfgnoktqeak,-1,7
hvLAQkcefgefggnvquomef,-1,7
hvLAQkcdfgefggwwpdrdeo,-1,7
hLLLQkcdegfgfgirudivfs,-1,7
hLLzQkcdegfgfghratmobg,-1,7
hLLLQkcdegffggaruqeook,-1,7
hLLLQkcdefgfggarmamjjg,-1,7
hLLLQkcdefgfggaomdxkjn,-1,7
hLLLQkcdefgfggaclatswn,-1,7
hLLzQkcdfgfggfaoqxqjof,-1,7
hLLAMkcedefgggqpvqasbb,-1,7
hLLPMkcdeffgggacpdajco,-1,7
hLwLQkacegffggbgrbrggs,-2,7
hLwLQkacefggfgbgcgjbnw,-2,7
hLLLQkcdegffggaoxxlrck,-1,7
hLLLQkbedgffggaafeerjw,-1,7
hLLLQkcdegffggawuuajor,-1,7
hLLLQkbceeffggxkaaxkvw,-1,7
hLLLQkbdfgfggfxvhhhvvn,-1,7
hLLLQkbcfgffgglstatgks,-1,7
hLLLQkbcfgffgglsqapgvv,-1,7
hLLPAkceeffeggthqdatof,-2,7
hLLPAkcefefeggpqidaiof,-2,7
hLLLQkbedfgfggaxfmdjvv,-1,7
hLLLQkbedfggfgaafhuvvw,-1,7
hLLLQkbedfgfggaifturno,-1,7
hLLLQkbdegffggasxeinnk,-1,7
hLvAQkbefggfgfaeamaiwf,-1,7
hLvAQkbeffegggaxxmxujr,-1,7
hLwLQkacefgfggbgggvvsj,-2,7
hLwLQkacegffggbgnvnwgr,-2,7
hLLLQkcdefggfgasaamvgj,-1,7
hLLLQkbedgffggaafdpjns,-1,7
hLLLQkcdfgefggarhphcsk,-1,7
hLLAPkceddgfggaivjnrvo,-1,7
hLLAPkbcdefgggakfmwosc,-1,7
hLLLQkbdgfefggtvqatrro,0,7
hLvAQkbefgefgghaulihvw,-1,7
hLLAPkcddefgggarvmnjvo,-1,7
hLLAPkbcedfggglsxjvksr,-1,7
hLLAPkcddegfggacvxccgb,-1,7
hLLAPkbcedgfggajhfssof,0,7
hLLLQkbdeeffgghgutlgor,-1,7
hLLAPkceddgfggahvkkkgb,-1,7
hLLLQkcdefgfggafiaxnrr,-1,7
hLLLQkbcefgfggarattnrv,-1,7
hvLPQkcdefggfgwcfxplar,-1,7
hLLMMkbddeffggxfrtivac,-2,7
hLLMAkcdcfefgghsvhioug,-2,7
hLLLQkbdeffgggxfxxxrwo,-1,7
hLLPPkcdfeegggqctaaovv,-1,7
hLLMMkcedffgggaqvaxnvv,-1,7
hLLLQkbefgfeggaxieiank,-1,7
hLLAMkcddeffggqrjlajec,-2,7
hLLLQkbedegfgghhfadrww,-1,7
hLLAMkccedfgggqfafhaah,-1,7
hLLLQkcdgfeggfarhqhwrk,-1,7
hLLAPkcddefgggusvuvojn,0,7
hLLLQkcdffgggflclmlwsf,0,7
hLLLQkbdefgfggmvpiqroo,-1,7
hLLLQkcdefegggicmaafkr,-1,7
hLLAPkccdefgggdwrlrjkc,-1,7
hLLMAkbdedffggmvlwhftw,-1,7
hLLAPkcddefgggugfuvwww,-1,7
hLLAPkbcdegfggacbdbvgo,-1,7
hLLAPkcddefgggasvdwfnb,-1,7
hLLAPkcddegfgghsvekrog,0,7
hLLLQkcedgefggiiktxfgo,0,7
hLLLQkcdffgggflclmlgjf,0,7
hLLLQkbdegffggmkpairoo,-1,7
hLLLQkbdfeggfglvttmkkg,0,7
hLLAPkccdefgggdwjlbfkc,-1,7
hLLMAkbdedffggmklwxftw,-1,7
hLLAPkbcdefgggacfdbsog,-1,7
hLLAPkceddfgggalvgcfnb,-1,7
hLLAPkcddegfggasvekwjb,-1,7
hLLAPkcddefggghsvdrfcg,0,7
hLLPPkcdfeegggirlhubvo,0,7
hLLLQkccefggfgdkuupkok,0,7
hvLPQkcdefggfgkcfephhf,-1,7
hLLAPkcddegfgglsvanjvw,0,7
hLLAPkcddefgggpsvakosw,0,7
hLLMMkcedffgggatvupfgw,0,7
hLLPPkcdfeegggirluubvv,-1,7
hLLAPkceddfgggtavgnrwo,-1,7
hLLzQkcdegffggloauegvr,-1,7
hLLLQkcdefegggiruqugjs,-1,7
hLLAMkcedefgggduvxmnor,-1,7
hLLLQkcdegefggirudufjj,-1,7
hLLAPkcedegfggtavtunnf,-1,7
hLLLQkbedefgggmarmdsoj,-1,7
hLLLQkbedgffggmakeqrfo,-1,7
hLLAMkcddeffgguvnuhvpg,-2,7
hLLAMkcddeffgguvntmjec,-2,7
hLLLQkbedegfggppfedjss,-1,7
hLLAMkbeddfgggddgvpauu,-1,7
hLLAMkccedfggglnanimim,-1,7
hLLLQkbedegfggmmfidwss,-1,7
hLLLQkbddffgggdwfdgrrb,0,7
hLLLQkbdegefggdwallgww,0,7
hLLLQkbdeeffggdwulhgof,-2,7
hLLMAkbcdeffggtsfmlwxg,-2,7
hLLAPkcddegfggarjmwjvo,-1,7
hLLAPkbedegfggaaflunnf,0,7
hLLPPkcdeffgggpfaxdggk,-1,7
hLLPPkcdfeefggdwaplgwn,-1,7
hLLLQkbddfffggmvkqrvrr,-1,7
hLLAMkbdedffggevdfdndj,-1,7
hLLLQkbdeeffggdruuhgjj,-1,7
hLLLQkbdfgggfflvtmmsbk,-1,7
hLLAAkbedeefggmmnuihas,-1,7
hLLLQkbdfggffglvummgjc,-1,7
hLvAQkbeffgeggadlhahwn,-1,7
hLLLQkbcegfgfgasaaeksb,-1,7
hLLLQkbcegfgfgajpadrjs,-1,7
hLLAMkbdedffggenhfenhc,-2,7
hLLAMkbdedffggendfmnuo,-2,7
hLLAPkbcedfggglsxjrrvj,-1,7
hLLLQkcefgefgglaxxtmsr,-1,7
hLLAPkbedegfggaagldnkw,-1,7
hLLAPkceddfggglavnggro,-1,7
gLLPQcdcfeffaswahjf,-1,6
gLLAQbcedffftsasqff,-1,6
gLLMQbcdefffacbxqkc,-1,6
gLLAQbdedfffdwmfarr,0,6
gLLAQbcedfffloxsajj,-1,6
gLLAQbeddfffaafsxok,-1,6
gLLAQbcdeffflofqajj,-1,6
gLLAQbedefffaanlhxc,-1,6
gLLAQbeddfffhaokxff,-1,6
gLLAQbedefffaacthxn,-1,6
gLLAQbcedfffloashff,-1,6
gLLPQcdeffefhkaiutb,-1,6
gvLQQcdefeffojsxsaa,-1,6
gLLAQbeddfffahowafs,-1,6
gLLPQceeffefdlataqm,1,6
gLLAQbddefffxfrxqjj,-1,6
gLLAQbcdeffftsfxaoo,-1,6
gLLAQbeddfffaaokxfs,-1,6
gLLAQbcedffftsqsaoo,-1,6
gLLAQbcedeffhgabxbr,1,6
gLLAQcdeeeffifepear,1,6
hLLAAkccedefggtnegdwaw,-1,7
hLvPQkccefgfggawmhtkjw,-1,7
hLAvQkaccegfggbgvctegr,-2,7
hLALPkcbbegfgghawohhjs,-1,7
hLLLQkbddggffgevfmccor,-1,7
hLLLQkbdefegggdwuudvow,-1,7
hLLLQkcdegffggashtlcwc,-1,7
hLLPMkcdfeegggaslmpwcr,-1,7
hLLMAkccdfefgglnkmxglc,-2,7
hLLLQkbdegegfgdwupucfo,-2,7
hLLLQkbeegefgghaxxqxof,-1,7
hLLAMkbcedfgggtsqfhhpp,-1,7
hLLLQkbdffegggxfapdwvg,-1,7
hLvAQkbeffgegghaphmlwn,-1,7
hLLLQkbcefgfggabmuqssr,-1,7
hLLLQkcdegefggqcadajjj,-1,7
hLLMAkbdedffggxbenxvlo,-2,7
hLLLQkbdeeffgghsampgof,-2,7
hLLLQkbdegffgghsahpgbk,-1,7
hLLAPkcddefgggdrvebjkk,-1,7
hLLMMkbcdeffggasfiinhw,0,7
hLLAPkbcdefgggasfxjjvc,0,7
hLLMMkbcdeffggtsfmlwxg,-2,7
hLLMMkbcdeffggtsfiinhc,-2,7
hLLLQkcdggfefgasaqqnfs,-1,7
hLLLQkcdgeffggafaadrkk,-1,7
hLLAMkcddefgggqcvqaaaa,-1,7
hLLMAkcdceffggtkctlnig,-2,7
hLLMMkbceeffggloxmhknv,-2,7
hLLLQkbedefgggaarmdkoj,-1,7
hLLLQkbedfggfgaajuevno,-1,7
hLLAMkbeddfgggdagvpaqu,-1,7
hLLAMkbeddfgggaabculqm,-1,7
hLLPMkccdfefgghosqtftc,-2,7
hLLPMkccdfefgghosdufdg,-2,7
hLLAMkcddeffgguvnhegif,-2,7
hLLAAkcddeffgguvnuhvpg,-2,7
hLLAMkbedeffggaajqasok,-1,7
hLLLQkbedfggfgaabutkff,-1,7
hLLLQkbdfggffghgaxaggr,-1,7
hLLAAkbdedffggendfhsxo,-2,7
hLLAMkbdedffggentfmgab,-2,7
hLLAMkbeedfgggaaewxrvn,-1,7
hLLLQkbedgffggaajlewso,-1,7
hLLLQkbeeegfggaaedleow,-1,7
hLLLQkbdfgggffevapqsbb,-1,7
hLLAAkbdedffggxblwiftc,-2,7
hLLAAkbdedffggxbxwucib,-2,7
hLLLQkbdeeffgghkelewof,-2,7
hLLMAkbddeffggxfrxirio,-2,7
hLLLQkbedgfffghawxawwk,-1,7
hLLLQkcdgeffggasapebbs,-1,7
hLLPMkccdeffgglnctqfdg,-2,7
hLLMMkceceffggpqrqucjv,-2,7
hLLAMkccdefggghovtuaee,-1,7
hLLLQkbedfgfggaajemkkj,-1,7
hLLLQkbeeefgggaaeeexko,-1,7
hLLAMkcddefgggdrvemadd,-1,7
hLLMAkbdedffggxbenxnuo,-2,7
hLLLQkbdeeffgghsammvof,-2,7
hLLMAkcdcfefggqckaqfdg,-2,7
hLLMAkbddeffgghsoldnig,-2,7
hLLPMkcdfeegggaspmpkfk,-1,7
hLLAPkbdedfgggendosvrc,-1,7
hLLLQkbddgffggevfmgjjc,-1,7
hLLLQkcdfefgggastpargk,-1,7
hLLMAkbdedffggendjqoqo,-2,7
hLLLQkbdegegfgenpipffo,-2,7
hLLAMkcddefgggqcvhaaxa,-1,7
hLLLQkbedfgfggaxjexrrn,-1,7
hLLLQkbcegffgglsxxagrv,-1,7
hLLLQkbcgfefgglshltgjf,-1,7
hLLLQkcdfeggfgqoxeqgvr,-1,7
hLLAMkcedefgggiivdxncv,-1,7
hLLLQkcdegffggqfmadcsk,-1,7
hLLLQkbcefgfggxgtupwvo,-1,7
hvLAQkcdefggfgjvglxxqs,-1,7
hLLLQkbedfgfgghhjexrwk,-1,7
hLLLQkcdegfgfgqrueqvfc,-1,7
hLLLQkcdefggfgqruaivsv,-1,7
hLLLQkcdfgegfgdkqeagff,-1,7
hLLLQkbdeggffgdrueegoj,-1,7
hLLLQkbdeffgfgeniulsbg,-2,7
hLLAMkbeddfgggahnkhhah,-1,7
hLLLQkbedgfffgahwxhrwj,-1,7
hLLLQkcdegfgfgdgtmigfs,1,7
hLLAMkbdeeffggmkehpnsj,-1,7
hLLAMkbdeefgggmkehpgrf,1,7
hLLAMkbdeefgggmkuedofk,1,7
hLLAMkcedefgggdlkaaogk,1,7
hLLLQkbdeegfgghsapugcc,-1,7
hLvAQkbeffgegghaphpljo,-1,7
hLLLQkbcefgfggagederrc,-1,7
hLLAPkbedegfggalfhqgof,-1,7
hLLMAkbddeffggxfrxuvlo,-2,7
hLLLQkbdeeffgghkelpgof,-2,7
hLLLQkbdegffgghsahpgbo,-1,7
hLLAPkcdedfgggavlfvobc,-1,7
hLLLQkcdgegffgaoaixnwn,-1,7
hLLAMkbeedffggaaqsajor,-1,7
hLLPMkccdefgggqffaaahh,-1,7
hLLLQkbdeeggfgdwulevfo,-2,7
hLLMAkbcdeffggtsfixrdc,-2,7
hLLLQkbeegffggaaxiexbo,-1,7
hLLLQkbedgfffgaawxawrk,-1,7
hLLAMkccedfgggqfhfhaaa,-1,7
hLLPAkccdeffgglnctmktg,-2,7
hLLAAkcddeffggqrjlunhc,-2,7
hLLAMkbcedfgggtsqfxatt,-1,7
hLLLQkcdggegffasaqqsfn,-1,7
hLLLQkbeegefggaahhhhfo,-1,7
hLLLQkbdefefggdwuuuoof,-2,7
hLLMAkbddeffggdwjiqshf,-2,7
hLLAAkbcedffggpgmfpnxk,1,7
hLvPQkafegefggjtxgcjkk,-1,7
hLLAAkbcdeefgghgjuubxj,1,7
hLLLQkbddfffggmkvqrvrr,1,7
hLLLQkcbgfefggdnxqpgks,1,7
hLLLQkacfegfggnkgcjwfg,1,7
hLLAMkbdeeffggmkuednjs,1,7
gLLMQbdeefffdweepig,0,6
gLLPQccdefffanketwn,0,6
gLLAQccddfffhorsvrv,0,6
gLLMQbdeefffenaaipn,0,6
gLLAQbcdefffpjbphbg,1,6
gLLMQbcdefffmsniack,-1,6
gLLAQccddfffhorsvrr,0,6
hLLAMkcddeffgghrrahwxk,0,7
hLLLQkbddgfgfgdwfuknkn,0,7
hLLAPkccedgfgganxknnof,0,7
hLLLQkbcfggfgflsupukgk,0,7
hLLAMkcddeffggqrjpurtf,-2,7
hLLAAkcddeffggqrjqarqg,-2,7
hLLPAkccdfefggankaanhw,0,7
hLLMMkbceefgggasqdarsr,0,7
hLLLQkbcegfgfgasdatwow,0,7
hLLPAkccdeffgglncxqnhc,-2,7
hLLPAkccdeffgglnclmoaf,-2,7
hLLAPkcedeegggpqvqpfkk,0,7
hLwLQkbbefgfggadkrkokb,0,7
hLLAMkbedeeggghhoaarrk,0,7
hLLAMkcddeegggdrvetaae,0,7
hLAvQkaccegfggbgbnaxwg,-2,7
hLAzPkaccefgggbgjgqxkc,-2,7
hLAzPkaccefgggjgjjaqkc,0,7
hLLLQkbcefggfgasdexwsw,0,7
hLLAAkcddeffgghrrahwxk,0,7
hLLMMkcceffgggqfhppwrj,0,7
hLLLQkbcgfgfgflsmqqksk,0,7
hLLMMkceceffggthcaancv,-2,7
hLLPPkbcfeffggloheevjb,-2,7
hLLLQkbdfgegfgevtlebbw,1,7
hLLLQkcdfgfgfgdkqetgsb,-1,7
hLLLQkbdefegggevadewsw,1,7
hLLLQkcdegffgghslmlgog,0,7
hLLMPkbcdegfggpjbhowsw,-1,7
hLLLQkbdfgegfgevupewcs,-1,7
hLLAMkbddefgggmvnuhxet,-1,7
hLLAMkbddefgggmkcuhxet,1,7
hLLLQkbdfeggfgmvhuhfco,-1,7
hLLAMkbcdefgggxgbhqqaq,-1,7
hLLLQkbdfeggfgevthikbw,-1,7
hLLLQkbcfeggfgmreligrw,-1,7
hLLMPkbcdefggglsgagwvg,-1,7
hvLAQkcdefggfgwnkuuauo,-1,7
hLLPPkbcdfggfgmrfesbcn,-1,7
hLLLQkbdfgegfgmkhxufco,-1,7
hLLPPkbcdffggghofhfsoj,-1,7
hLLAPkcedeegggpqvqpffk,0,7
hLwLQkbbefgfggadggvjvb,0,7
hLLAMkbedeeggghhoaarkk,0,7
hLLAMkcddeegggdrveteae,0,7
hLAzPkaccefgggbgjjaqkc,-2,7
hLAvQkaccegfggbgbjqawg,-2,7
hLAzPkaccefgggjgjgqxkc,0,7
