target,source,label
fLLQcbcdeeehjrteq,eLPkbcddddwwjs,Face: 8
fLLQccdcdeeqckvaw,eLPkbcddddwwjs,Face: 7
fLLQcbcdeeehjntel,eLPkbcddddwwjs,Face: 6
fLLQcbededexxohfh,eLPkbcddddwwjs,Face: 5
fLLQcbcdeeedbcpxi,eLPkbcddddwwjs,Face: 2
gLLAQbcdeeffhvrmmcn,fLLQcbcdeeehjrteq,Face: 10
gLLAQbcedffftsafxjs,fLLQcbcdeeehjrteq,Face: 9
gvLQQcdeffeffwkeube,fLLQcbcdeeehjrteq,Face: 8
gLLPQccdfeffhfjaaof,fLLQcbcdeeehjrteq,Face: 7
gLLPQcdefeffpfxxadk,fLLQcbcdeeehjrteq,Face: 6
gLLMQbcdeffflskuikg,fLLQcbcdeeehjrteq,Face: 5
gLLAQbdedfffdwegawk,fLLQcbcdeeehjrteq,Face: 4
gLLAQbcedffftsqfasf,fLLQcbcdeeehjrteq,Face: 3
gLLPQcdfeeffakhelir,fLLQcbcdeeehjrteq,Face: 2
gLLAQbcedfffhwafawn,fLLQcbcdeeehjrteq,Face: 1
gLvQQadefeffjaedksr,fLLQccdcdeeqckvaw,Face: 10
gLLAQccedefftnegdrr,fLLQccdcdeeqckvaw,Face: 9
gLLAQbddeeffhsripjj,fLLQccdcdeeqckvaw,Face: 6
gLLMQbdeeffftvqammw,fLLQccdcdeeqckvaw,Face: 4
gLLQPccddeffqjjshar,fLLQccdcdeeqckvaw,Face: 1
gvLQQcdeffeffwkeube,fLLQcbcdeeehjntel,Face: 10
gLLAQbdeefffhgqhear,fLLQcbcdeeehjntel,Face: 9
gLLAQbcdeeffhvnmmcj,fLLQcbcdeeehjntel,Face: 8
gLLPQcdeffefhgaaaxw,fLLQcbcdeeehjntel,Face: 7
gLLAQbdedfffejagajv,fLLQcbcdeeehjntel,Face: 6
gLLMQbcdeffflskuujg,fLLQcbcdeeehjntel,Face: 5
gLLPQcdeffeflradapv,fLLQcbcdeeehjntel,Face: 4
gLLAQbcedfffhwlndkk,fLLQcbcdeeehjntel,Face: 3
gLLAQbcedfffljhjhff,fLLQcbcdeeehjntel,Face: 2
gLLPQcdeffefarehahr,fLLQcbcdeeehjntel,Face: 1
gLLMQbceffeflsaqapk,fLLQcbededexxohfh,Face: 10
gLLMQbcdefffhwkitjj,fLLQcbededexxohfh,Face: 6
gLLAQccedffflnxnank,fLLQcbededexxohfh,Face: 2
gvLQQcdfeeffgfxrkuu,fLLQcbcdeeedbcpxi,Face: 10
gLLAQccedefftnegdrr,fLLQcbcdeeedbcpxi,Face: 9
gLvQQbefdfefdadnehs,fLLQcbcdeeedbcpxi,Face: 8
gLLMQbceffeflsaqapk,fLLQcbcdeeedbcpxi,Face: 7
gLvQQbefdfefdahnehr,fLLQcbcdeeedbcpxi,Face: 6
gvLQQcdefeffkfrhfmi,fLLQcbcdeeedbcpxi,Face: 5
gLLMQbdeeffftfqaxxf,fLLQcbcdeeedbcpxi,Face: 4
gLLMQbcdfefftsjetnn,fLLQcbcdeeedbcpxi,Face: 3
gLLAQbcdeeffeccxqkw,fLLQcbcdeeedbcpxi,Face: 2
gLLMQbcdefffljsdlww,fLLQcbcdeeedbcpxi,Face: 1
hLvAQkadefggfgnaeovjwg,gLLAQbcdeeffhvrmmcn,Face: 12
hLwLQkacfgefggjgsonkfc,gLLAQbcdeeffhvrmmcn,Face: 11
hLLMMkbcdfefgglskmajew,gLLAQbcdeeffhvrmmcn,Face: 10
hLLMAkbcdeffgglsbhislj,gLLAQbcdeeffhvrmmcn,Face: 9
hLvAQkadfeggfgnaxcvjrg,gLLAQbcdeeffhvrmmcn,Face: 8
hLLMAkccdfefggqjvhtwmw,gLLAQbcdeeffhvrmmcn,Face: 7
hLLLQkbedeffgghhfqxsjk,gLLAQbcdeeffhvrmmcn,Face: 6
