id,oriented,tetrahedra
eLPkbcddddwwjs,1,4
fLLQcbcdeeehjrteq,1,5
fLLQccdcdeeqckvaw,1,5
fLLQcbcdeeehjntel,1,5
fLLQcbededexxohfh,1,5
fLLQcbcdeeedbcpxi,0,5
gLLAQbcdeeffhvrmmcn,-1,6
gLLAQbcedffftsafxjs,1,6
gvLQQcdeffeffwkeube,1,6
gLLPQccdfeffhfjaaof,-1,6
gLLPQcdefeffpfxxadk,1,6
gLLMQbcdeffflskuikg,0,6
gLLAQbdedfffdwegawk,0,6
gLLAQbcedffftsqfasf,-1,6
gLLPQcdfeeffakhelir,-1,6
gLLAQbcedfffhwafawn,-1,6
gLvQQadefeffjaedksr,1,6
gLLAQccedefftnegdrr,0,6
gLLAQbddeeffhsripjj,1,6
gLLMQbdeeffftvqammw,-1,6
gLLQPccddeffqjjshar,-1,6
gLLAQbdeefffhgqhear,1,6
gLLAQbcdeeffhvnmmcj,1,6
gLLPQcdeffefhgaaaxw,0,6
gLLAQbdedfffejagajv,0,6
gLLMQbcdeffflskuujg,0,6
gLLPQcdeffeflradapv,-1,6
gLLAQbcedfffhwlndkk,-1,6
gLLAQbcedfffljhjhff,-1,6
gLLPQcdeffefarehahr,-1,6
gLLMQbceffeflsaqapk,0,6
gLLMQbcdefffhwkitjj,-1,6
gLLAQccedffflnxnank,-1,6
gvLQQcdfeeffgfxrkuu,0,6
gLvQQbefdfefdadnehs,0,6
gLvQQbefdfefdahnehr,0,6
gvLQQcdefeffkfrhfmi,-1,6
gLLMQbdeeffftfqaxxf,-1,6
gLLMQbcdfefftsjetnn,0,6
gLLAQbcdeeffeccxqkw,-1,6
gLLMQbcdefffljsdlww,-1,6
hLvAQkadefggfgnaeovjwg,-1,7
hLwLQkacfgefggjgsonkfc,-1,7
hLLMMkbcdfefgglskmajew,-1,7
hLLMAkbcdeffgglsbhislj,-1,7
hLvAQkadfeggfgnaxcvjrg,-1,7
hLLMAkccdfefggqjvhtwmw,-1,7
hLLLQkbedeffgghhfqxsjk,-1,7
hLLLQkbedeffggxqfxxsjk,-1,7
hLLAPkcdedgfgghsacwwbv,-1,7
hLLAPkcdedgfggqsagvcrc,-1,7
hLLAAkbcedefgghvefpvan,-1,7
hLLLQkcddffgggpkrmrcon,0,7
hLLAPkbdedfgggdwtsowwv,0,7
hLLLQkbddfggfgdwfakocr,0,7
hLLAPkbddegfggevjmgkfk,0,7
hLLAMkbeedffggxqxkaccw,-1,7
hLLzQkcdegffggqshalcgo,-1,7
hLLAMkbcedfgggtsafhqtp,-1,7
hLLPMkccdfegggqffaqxqx,-1,7
hLLLQkcddegfgglgfmwsnv,1,7
hLLAMkbcedfgggtsxfahpe,-1,7
hLLLQkcdfefgggqsxpeggo,-1,7
hLLLQkbedegfggaifmugjf,-1,7
hLLzQkcdegfgfgaspqlbwk,-1,7
hLLLQkcdeefgggafmadjkc,-1,7
hLLLQkcdfegfggpclppbww,-1,7
hvLAQkcefefgggjjajqqho,1,7
hLLLQkcdefegggawmxujro,-1,7
hvLAQkcdegfgfgnfbtlulr,-1,7
hLLLQkcdfegfggurepubff,1,7
hvLAQkcdegfgfgwnkdxals,-1,7
hvLAQkcedgfgfgkvsqaaac,0,7
hLLLQkcdffegggawqhljkn,-1,7
hLLzQkcdegffggasuqlkok,-1,7
hLLLQkcdefegggareqhwkc,-1,7
hLLLQkccegffggqfdatsvr,-1,7
hLLAPkbcdefggglsbmwwvc,-1,7
hLLMMkbceefggghwlumboj,-1,7
hLLMPkccdfggfghfvxbbcv,-1,7
hLLMPkbceefggghvequrff,-1,7
hLLAPkccedfggghfajvckw,-1,7
hvLAQkceffgeggjfaxasxk,0,7
hvLAQkcedgfgfgkkclmeio,-1,7
hvLAQkcedgfgfgvrvaxahn,-1,7
hvLAQkcedgffggfvjlelac,-1,7
hLLLQkcdfeggfgtoehlsfw,0,7
hLLLQkbcfegfggeotqmkro,1,7
hLLLQkcdefeggglrhqdgsj,-1,7
hLLLQkcdeefgggtkultgww,-1,7
hLLAMkcedefggghavxmwbv,-1,7
hLLLQkcefefgggalqdhmkn,-1,7
hLLPPkcdefeggglcdepvvb,0,7
hLLLQkbdegefggevlppfkw,-1,7
hvLPQkcdefggfgkcwehdpr,-1,7
hLLMMkcedffgggplvlefcb,0,7
hLLPPkcdefegggtcqeubvb,-1,7
hLLLQkbdegefggdwxplckk,0,7
hLLAPkceddgfggtawnkrrg,-1,7
hLLMAkbdedffggdwdkpjmk,-1,7
