id,oriented,tetrahedra
eLPkbcdddlrkgw,1,4
fLLQcbcdeeehfgeap,-1,5
fLLQcbddeeehgcdut,-1,5
fvPQccdedeejokvfs,0,5
fLLQcbecdeehhrfmu,1,5
fLLQcbcdeeelsnuel,1,5
fLLQcbcdeeelsgiat,1,5
gLLMQbcdeffflsclebv,-1,6
gLLAQbddefffevrhafw,-1,6
gLvQQbefdeffmeifixb,-1,6
gLLMQbceffefektmaef,-1,6
gLLPQcdefeffhoxxiqn,-1,6
gLLAQbddefffmvndafj,-1,6
gLLAQbddefffmkcdafj,-1,6
gLLAQbcdefffdjntlnn,-1,6
gLLAQbcdefffxgrhqoo,-1,6
gLLPQcdeffefavpqaqr,-1,6
gLLMQbdeefffxvammmk,-1,6
gvLQQcdefeffjojtftp,-1,6
gLLMQbcefeffhnaxlxo,-1,6
gLLPQccdeffflnnptof,-1,6
eLPkbcdddhrrcv,1,4
gLLPQcdfefefaoqmhus,-1,6
gLLAQcedefffhavulmb,0,6
gvLQQcdefefffffejpp,-1,6
gLLPQcdeffeflrahaln,-1,6
gvLQQcdefeffkjsxsep,0,6
gLLPQcdeffefdfamalg,0,6
gLLPQcdeffefafxqain,-1,6
gLvQQbefdfefapufquf,0,6
gLLAQcdeefffqkalaun,-1,6
gLLPQcdeffefasuhaus,-1,6
gLLAQbcedefflsajlsw,1,6
gLLMQaedfeffjlaqcrc,-1,6
gLLAQaedefffnxahrvw,-1,6
gLLPQbddeeffevsaevw,1,6
gLLQPcdcdeffhssnpaw,-1,6
gLLAQbeddfffhhjktcc,-1,6
gvLQQcdfeeffjrawwii,-1,6
gLLAQbdedffflkawxrr,-1,6
gLLPQcdeffeflkaxals,1,6
gLLPQcdeffefdvalaer,1,6
gLLAQbdeefffdraheeg,-1,6
gLLMQbceefffasxaalw,-1,6
gLLPQbddeeffdroedwj,1,6
hLLLQkbcfgefgglsxdtgnk,-1,7
hLLLQkcdfegfgglotdlcgc,-1,7
hLLAPkbdedgfggevlvvbbj,-1,7
hLLAPkbdedgfggevdvkbbj,-1,7
hLLLQkcdfefgggdkixtgcc,-1,7
hLLMMkbceefggglsxahofs,-1,7
hLvAQkbefgefggmxlapxkn,-1,7
hvLPQkcdefgfggvbfxeuef,-1,7
hLLAPkcdedgfggigakffof,-1,7
hLLMPkbcefgfggmsxmabsf,-1,7
hLLMAkbcdeffggpnbhunik,-1,7
hLLMMkbcefegggajhdiggj,-1,7
hLLLQkbcgeffgglsmixrnv,-1,7
hvLPQkcdefgfgggssdmqdf,-1,7
hLLLQkcddegfggirsmwjvo,-1,7
hLLLQkcddegfggigfmwjvo,-1,7
hLLLQkcdfgefggiceeuoff,-1,7
hLLLQkbddffgggevfxvkno,-1,7
hLLAMkbddefgggmvndhuet,-1,7
hLLLQkcdfeggfglcealrfw,-1,7
hLLMPkbcefggfgasxedfrg,-1,7
hLLMPkbcdegfggpjgaowww,-1,7
hLLAPkcdedgfggdranvwos,-1,7
hLLMMkbcdeffggmrwmiwpr,-1,7
hLLzQkcdfgefggavlhxnsf,-1,7
hLLzQkcdegfgfgasxplcoo,-1,7
hLLLQkccfgefggdwaphowr,-1,7
hLLLQkccfeggfgdwahpwwr,-1,7
hLLMPkcedegfggdhvadojj,-1,7
hLvMQkbefgfeggpealaarv,-1,7
hLvMQkbefgfeggmuuduibv,-1,7
hLLzQkcdefgfggifpapnkj,-1,7
hLvAQkbeffgggfmlxaatfb,-1,7
hLLLQkbcefggfgekdauwkf,-1,7
hLLAPkbcedfgggdwuffcbj,-1,7
hLLAPkbcedfgggdwlfocbj,-1,7
hLLAPkccdegfgghkvafvco,-1,7
hvLAQkcedfgfggovcuqtif,-1,7
hLLAMkcdceffggiokmpoak,-1,7
hLLAPkbcedfgggdvafrcon,-1,7
hLLAPkbddegfggxvopcwnf,-1,7
hLvAQkbefeggfgaqlaaifn,-1,7
hLLLQkbedefgggamfdtckj,-1,7
hLLAPkceddgfgghavkbjvg,-1,7
hvLAQkcdefgfggjvgdiain,-1,7
hLLzQkcdefggfgdraaxowj,-1,7
hLLLQkcdegffggqkpmakoo,-1,7
hvLAQkcedgffggovclellc,-1,7
hLLLQkbdegffgghgxhugcv,-1,7
hLLLQkbedgffgghhfhdgkb,-1,7
hvLAQkcedfggfgvvcqpatr,-1,7
hLLPPkcdfegfgghspaajwv,-1,7
