id,oriented,tetrahedra
eLPkbcdddlwnnv,1,4
fvPQccdedeejjnjbc,1,5
fLLQcbdeedehgahvi,1,5
fLLQcbcdeeepfgeap,0,5
fLLQcbecdeehhnfmu,1,5
fLLQcbcdeeelogpal,1,5
fLLQcbcdeeelsnueq,1,5
gLLPQcdeffefdvaallo,0,6
gvLQQcdefefffwfejpp,1,6
gLLAQcedefffhqvtpdk,1,6
gLLPQcdeffeftrahaln,-1,6
gLLPQcdeffefdvamalg,0,6
gvLQQcdefefforwawpx,1,6
gLLPQcdeffefugutaeg,0,6
gLLAQcdeefffqkalpun,-1,6
gLLPQcdfeeffawdaxaj,-1,6
gLLPQcdeffefasphapg,-1,6
gLLPQcdeffefdvaeplk,0,6
gLLAQbdeefffevdmtek,1,6
gLLPQcdfeeffqoiiieo,1,6
gLLPQccdefffqffmunf,1,6
gLLAQbdeefffevdmttn,-1,6
gLLMQbcdefffhngainn,-1,6
gLLPQccdeffflnntpnk,-1,6
gLLAQbddefffmkbhafw,0,6
gLvQQbefdeffmeifieb,0,6
gLLAQbddefffmvrhafw,0,6
gLLMQbceffefdgmmadc,-1,6
gLLPQcdefeffioddiqn,-1,6
gLLAQbddefffmvndafw,0,6
gLLAQbddefffmkcdafw,0,6
gLLAQbcdefffxgrhloo,-1,6
gLLAQbcdefffegnhloo,-1,6
gLLPQcdeffefavuqatf,0,6
gLLAQaedefffjxahrvw,-1,6
gLLPQbddeeffevsaevj,1,6
gLLMQaedfeffnlaqcrc,-1,6
gLLAQbcedefflsajlss,1,6
gLLQPcdcdeffhssnpaj,-1,6
gLLAQbeddfffhhgktcc,-1,6
gLLPQcdeffefdvalalr,0,6
gLLPQcdeffefloaxals,1,6
gLLAQbdeefffendmeek,-1,6
gLLMQbceefffasxaatw,-1,6
gLLPQbddeeffenoaevj,1,6
gLLAQbdedffflkawxrj,0,6
gvLQQcdeffefgwkptrt,-1,6
gLLAQbdedffftkawxrr,-1,6
gLLMQbdeefffxvaimmk,-1,6
gLLAQbcedefftsajlsw,1,6
hLLLQkbcegfgfgpwpaifwb,0,7
hLLAPkcedegfggidvlinnf,0,7
hvLAQkcedfgfggovbthxaj,0,7
hLvAQkbefgefggpaulxxvb,-1,7
hLLLQkbdefgfggmvlaefrb,0,7
hvLAQkcedfgfggovbxhtar,-1,7
