target,source,label
fLLQcbcedeemktfam,eLPkbdcddhgggb,Face: 8
fLLQcbcdeeelsfxet,eLPkbdcddhgggb,Face: 7
eLPkbdcddmgogo,fLLQcbcedeemktfam,Edge: 10
gLvQQbefdeffamtfeuf,fLLQcbcedeemktfam,Face: 10
gLLAQbcdefffmgohloo,fLLQcbcedeemktfam,Face: 9
gLLAQbddefffmkfpafw,fLLQcbcedeemktfam,Face: 8
gLLAQbddefffmvopafw,fLLQcbcedeemktfam,Face: 7
gLLAQbcedfffhgafasg,fLLQcbcedeemktfam,Face: 3
gLvQQbefdeffaqafaqf,fLLQcbcedeemktfam,Face: 2
eLMkbcddddedae,fLLQcbcdeeelsfxet,Edge: 10
gLLAQbcdefffakfmpnw,fLLQcbcdeeelsfxet,Face: 10
gLLAQcddefffarvmerj,fLLQcbcdeeelsfxet,Face: 9
gvLQQcdeffefjvgllvi,fLLQcbcdeeelsfxet,Face: 8
gLLPQccdfefflnnptwf,fLLQcbcdeeelsfxet,Face: 7
gLLMQbcefeffajhddlg,fLLQcbcdeeelsfxet,Face: 4
gLLMQbdeefffhgahaag,fLLQcbcdeeelsfxet,Face: 3
gLLMQbdedeffxvesenr,fLLQcbcdeeelsfxet,Face: 2
fLLQcbdeedemkamrl,eLPkbdcddmgogo,Face: 8
fLLQcbdeedemkamvq,eLPkbdcddmgogo,Face: 6
fvPQccdedeecckcjf,eLPkbdcddmgogo,Face: 5
hLLzQkcdefgfggavmpdfjb,gLvQQbefdeffamtfeuf,Face: 12
hLLMPkcedegfggddvaaogg,gLvQQbefdeffamtfeuf,Face: 11
hLLzQkcdefggfgavmadjfk,gLvQQbefdeffamtfeuf,Face: 10
hLLLQkcdefggfgavuauofn,gLvQQbefdeffamtfeuf,Face: 9
hLwLQkacefgfggbgogsggf,gLvQQbefdeffamtfeuf,Face: 5
hLLMMkbcdeffggmgoaagto,gLLAQbcdefffmgohloo,Face: 12
hLLMMkbcdeffggmgoimglc,gLLAQbcdefffmgohloo,Face: 11
hLLLQkbddffgggmkflvkwo,gLLAQbcdefffmgohloo,Face: 10
hLLLQkbddffgggmvfmvkwo,gLLAQbcdefffmgohloo,Face: 9
hLLLQkbedegfggmafhxsro,gLLAQbcdefffmgohloo,Face: 8
hLLzQkcdfgefggavllxrbf,gLLAQbcdefffmgohloo,Face: 7
hLLLQkcdgegffgikahekfw,gLLAQbcdefffmgohloo,Face: 6
hLLLQkbedfggfgpajehcwc,gLLAQbcdefffmgohloo,Face: 5
hLLLQkbddfggfgmvnhbbnb,gLLAQbcdefffmgohloo,Face: 4
hLLLQkbedegfggaefxdgsv,gLLAQbcdefffmgohloo,Face: 3
hLLAMkbcedfgggmktfaiaa,gLLAQbcdefffmgohloo,Face: 2
hLLPPkcdfegfggafpeifwk,gLLAQbcdefffmgohloo,Face: 1
hLLzQkcdegfgfgdcaiaofw,gLLAQbddefffmkfpafw,Face: 12
hLLLQkbddffgggmkflvkwo,gLLAQbddefffmkfpafw,Face: 11
hLLLQkcddegfggivfajvvw,gLLAQbddefffmkfpafw,Face: 10
hLLLQkcddefgggivfxcjvw,gLLAQbddefffmkfpafw,Face: 9
hvLPQkcdefgfggoofqqaqf,gLLAQbddefffmkfpafw,Face: 8
hLLMPkbceefggghgmtafsc,gLLAQbddefffmkfpafw,Face: 7
hLLMMkcedffgggiivdhnrn,gLLAQbddefffmkfpafw,Face: 6
hLLLQkcdegfgfgdgqtiffg,gLLAQbddefffmkfpafw,Face: 5
hLLMPkbceefgggmktaqgff,gLLAQbddefffmkfpafw,Face: 4
hLLAPkcdedgfggdvagvwvs,gLLAQbddefffmkfpafw,Face: 3
hLLAPkcdedfgggdvxgwcvs,gLLAQbddefffmkfpafw,Face: 2
hLLMPkbcefgfggpwlqafvf,gLLAQbddefffmkfpafw,Face: 1
hLLzQkcdegfgfgdcataofg,gLLAQbddefffmvopafw,Face: 12
hLLLQkbddffgggmvfmvkwo,gLLAQbddefffmvopafw,Face: 11
hLLLQkcddefgggivfxcjvw,gLLAQbddefffmvopafw,Face: 10
hLLLQkcddefgggicsxcjvw,gLLAQbddefffmvopafw,Face: 9
hvLPQkcdefgfggfffqqaqf,gLLAQbddefffmvopafw,Face: 8
hLLMMkbcefegggxvpamoro,gLLAQbddefffmvopafw,Face: 7
hLLwQkcedfggfgiivhxknk,gLLAQbddefffmvopafw,Face: 6
hLLLQkcdegfgfgdgqiiffw,gLLAQbddefffmvopafw,Face: 5
hLLMPkbceefgggagtmhcsc,gLLAQbddefffmvopafw,Face: 4
hLLAPkcdedgfggdcarvwvs,gLLAQbddefffmvopafw,Face: 3
hLLAPkcdedfgggdcxrwcvs,gLLAQbddefffmvopafw,Face: 2
hLLMPkbcefgfggpgmqafvf,gLLAQbddefffmvopafw,Face: 1
hLLzQkcdefgfggavmpdfjb,gLLAQbcedfffhgafasg,Face: 12
hLLAMkbdedfgggevtfdame,gLLAQbcedfffhgafasg,Face: 11
hLLAMkbcedfgggmktbaiea,gLLAQbcedfffhgafasg,Face: 10
hLLAMkbdedfgggevdfalpp,gLLAQbcedfffhgafasg,Face: 9
hLLLQkcddegfgghogiovbb,gLLAQbcedfffhgafasg,Face: 8
hLLMPkbceefggghgmtafsc,gLLAQbcedfffhgafasg,Face: 7
hLLMMkbcefegggxvpamoro,gLLAQbcedfffhgafasg,Face: 6
hLLMAkccdeffgghgbaaghg,gLLAQbcedfffhgafasg,Face: 5
hLLMMkbceeffgghgatakcv,gLLAQbcedfffhgafasg,Face: 4
hLLPPkcdfegfggdvlaarsv,gLLAQbcedfffhgafasg,Face: 3
hLLAMkbcedfgggmktfmaaa,gLLAQbcedfffhgafasg,Face: 2
hLLLQkbedegfggahftdgcj,gLLAQbcedfffhgafasg,Face: 1
hLLMPkcedegfggddvaaogg,gLvQQbefdeffaqafaqf,Face: 12
hLLzQkcdfgefggavllxrbf,gLvQQbefdeffaqafaqf,Face: 11
hLvMQkbefgfeggattetakj,gLvQQbefdeffaqafaqf,Face: 10
hLvMQkbefgfeggaqplppfb,gLvQQbefdeffaqafaqf,Face: 9
hLLzQkcdfgefggavllxrbf,gLvQQbefdeffaqafaqf,Face: 8
hLwLQkacefgfggbgrgkjgw,gLvQQbefdeffaqafaqf,Face: 5
hLLzQkcdfgefggavllxrbf,gLvQQbefdeffaqafaqf,Face: 3
hLLMPkcedegfggddvaaogg,gLvQQbefdeffaqafaqf,Face: 2
hLLzQkcdfgefggavllxrbf,gLvQQbefdeffaqafaqf,Face: 1
fLLQcbdeedemkamrl,eLMkbcddddedae,Face: 8
fLLQccdcdeepvbbxw,eLMkbcddddedae,Face: 6
fLLQcbdeedemkamnx,eLMkbcddddedae,Face: 5
fLLQcbdeedemkamrl,eLMkbcddddedae,Face: 4
hLLAMkbedeffggpubpaocv,gLLAQbcdefffakfmpnw,Face: 12
hLLAMkbeedffggddafafgb,gLLAQbcdefffakfmpnw,Face: 11
hLLLQkbefgfeggmiqtqioo,gLLAQbcdefffakfmpnw,Face: 10
hLLzQkcdfgefggdwaplgco,gLLAQbcdefffakfmpnw,Face: 9
hLLLQkbedegfggmafhxsro,gLLAQbcdefffakfmpnw,Face: 8
hLLLQkbdfgegfgxvaeuvbs,gLLAQbcdefffakfmpnw,Face: 7
hLLMAkccdfefggajvuughj,gLLAQbcdefffakfmpnw,Face: 6
hLLLQkbddfggfgmvnhbbnb,gLLAQbcdefffakfmpnw,Face: 5
hLLLQkbddfggfgmknxbbnb,gLLAQbcdefffakfmpnw,Face: 4
hLLAMkccdefgggqfbepalq,gLLAQbcdefffakfmpnw,Face: 3
hLLAMkbdedfgggevdfdamm,gLLAQbcdefffakfmpnw,Face: 2
hLLLQkcdffegggpvmpxggo,gLLAQbcdefffakfmpnw,Face: 1
hLLLQkcddfggfguvfpkkfv,gLLAQcddefffarvmerj,Face: 12
hLLMMkcceffgggqfapubbj,gLLAQcddefffarvmerj,Face: 11
hLLLQkcdefgggfarxqxgck,gLLAQcddefffarvmerj,Face: 10
hLvAQkbeffgeggamqpaqjj,gLLAQcddefffarvmerj,Face: 9
hLLAMkcdeeffgguoppaocv,gLLAQcddefffarvmerj,Face: 6
hvLAQkcdegfgfgbrcaemic,gvLQQcdeffefjvgllvi,Face: 12
hLLzQkcdfgefggdwaplgco,gvLQQcdeffefjvgllvi,Face: 11
