target,source,label
gLLAQcceeeffpviedxj,fLAMcaccdeejnbqqn,Face: 9
gLALQbcbeeffxxjgbqw,fLAMcaccdeejnbqqn,Face: 7
gLLAQacdeeffjkudwij,fLAMcaccdeejnbqqn,Face: 6
gLLAQacdefefjbxahkj,fLAMcaccdeejnbqqn,Face: 5
gLAPPcbceeffudbgsxk,fLAMcaccdeejnbqqn,Face: 3
hLLAAkbddeefggxwrxxbqn,gLLAQcceeeffpviedxj,Face: 12
hLLLQkbdegeggflviutssj,gLLAQcceeeffpviedxj,Face: 11
hLLLQkbefegggftuquhxwn,gLLAQcceeeffpviedxj,Face: 10
hLLAMkbdedfgfgewdvphjs,gLLAQcceeeffpviedxj,Face: 9
hLALPkbccfggfgdigdadqw,gLLAQcceeeffpviedxj,Face: 8
hLLMMkbcdeffgglrohtrhr,gLLAQcceeeffpviedxj,Face: 6
hLLAAkceddefggtavkdcqn,gLLAQcceeeffpviedxj,Face: 4
hLLMAkbddeefggajkphkhs,gLLAQcceeeffpviedxj,Face: 3
hLLAAkbecdefggairfqsxr,gLLAQcceeeffpviedxj,Face: 2
hLLLQkbdfegggfxvqmhvjn,gLLAQcceeeffpviedxj,Face: 1
hLALPkbcbffgggxxjdttab,gLALQbcbeeffxxjgbqw,Face: 11
hLALAkacceffggjsjslqsj,gLALQbcbeeffxxjgbqw,Face: 9
hLAwAkbccdffggdigdgbxr,gLALQbcbeeffxxjgbqw,Face: 8
hLLMAkaddeefggjapxwbqn,gLALQbcbeeffxxjgbqw,Face: 4
hLAMzkaccdefggjnbaaqqn,gLALQbcbeeffxxjgbqw,Face: 3
hLALAkbcbeefggxxjskqqn,gLALQbcbeeffxxjgbqw,Face: 2
hLLLQkbdegeggflviutssj,gLLAQacdeeffjkudwij,Face: 11
hLLMAkbcdeffggdfbmifmw,gLLAQacdeeffjkudwij,Face: 10
hLLAAkacdeefggnkadouqj,gLLAQacdeeffjkudwij,Face: 9
hLvQAkaefdefggjhqhffxr,gLLAQacdeeffjkudwij,Face: 8
hLLAMkcedefgfgqpvthwwj,gLLAQacdeeffjkudwij,Face: 7
hLLAMkbdedffgglvdgakis,gLLAQacdeeffjkudwij,Face: 5
hLLAAkbdedffgglvagukij,gLLAQacdeeffjkudwij,Face: 4
hLLPAkacefefggnbxscsij,gLLAQacdeeffjkudwij,Face: 3
hLLAMkaedeffggnaaqcwqj,gLLAQacdeeffjkudwij,Face: 2
hLLAAkcedcffgghavnustj,gLLAQacdeeffjkudwij,Face: 1
hLLAAkaddeefggjmapcfhn,gLLAQacdefefjbxahkj,Face: 11
hLLMAkcbedffggpjakmodr,gLLAQacdefefjbxahkj,Face: 9
hLALPkbccegffgdignuukr,gLLAQacdefefjbxahkj,Face: 8
hLLLQkcedffeggthfeenrj,gLLAQacdefefjbxahkj,Face: 4
hLLPMkcdcfegfgqcnqaajw,gLLAQacdefefjbxahkj,Face: 3
hLALPkbccfggfgdigdadqw,gLAPPcbceeffudbgsxk,Face: 11
hLALPkbccfggfgdigdadqw,gLAPPcbceeffudbgsxk,Face: 10
hLAwAkbccdffggdigdgbxr,gLAPPcbceeffudbgsxk,Face: 9
hLLPAkcdeffegglwaddlir,gLAPPcbceeffudbgsxk,Face: 8
hLALPkbccegffgdignuukr,gLAPPcbceeffudbgsxk,Face: 7
hLAwAkcbcdffggaakhcshr,gLAPPcbceeffudbgsxk,Face: 5
hLALMkaccfefggjnbabqrn,gLAPPcbceeffudbgsxk,Face: 4
hLAvQkaccfgfggjnbamqlr,gLAPPcbceeffudbgsxk,Face: 3
gLLAQacdeeffjkudwij,hLLLQkbdegeggflviutssj,Edge: 11
gLAPPcbceeffudbgsxk,hLALPkbccfggfgdigdadqw,Edge: 10
gLAPPcbceeffudbgsxk,hLAwAkbccdffggdigdgbxr,Edge: 11
gLAPPcbceeffudbgsxk,hLALPkbccegffgdignuukr,Edge: 11
