target,source,label
gLLAQbceeefftcadixj,fLAMcaccdeejsjaxr,Face: 9
gLLAQccedfeftnxkxjj,fLAMcaccdeejsjaxr,Face: 7
gLLAQaedeeffniueffk,fLAMcaccdeejsjaxr,Face: 6
gLALQbcbeeffhhjrvas,fLAMcaccdeejsjaxr,Face: 5
gLALQaccfeffjsjebpa,fLAMcaccdeejsjaxr,Face: 3
hLvPQkccefggfgqnxqxbcn,gLLAQbceeefftcadixj,Face: 12
hLLAPkacedfgggnktelugv,gLLAQbceeefftcadixj,Face: 11
hLLAAkcddeefgglgwamnhj,gLLAQbceeefftcadixj,Face: 10
hLLAMkbdedfgfgevlslqkn,gLLAQbceeefftcadixj,Face: 9
hLLLQkbdeegggfdkiimssj,gLLAQbceeefftcadixj,Face: 8
hLALPkbccffgggdigdxdxb,gLLAQbceeefftcadixj,Face: 7
hLLLQkbdfegggfanquuwrn,gLLAQbceeefftcadixj,Face: 4
hLLMAkbdedefggasqfxjhk,gLLAQbceeefftcadixj,Face: 3
hLLAAkbecdefggamrfufhs,gLLAQbceeefftcadixj,Face: 2
hLLLQkbdfgeggfhghlewkk,gLLAQbceeefftcadixj,Face: 1
hLALAkbcceefggdiggnmqn,gLLAQccedfeftnxkxjj,Face: 11
hLLMAkaceeefggnktjkkqw,gLLAQccedfeftnxkxjj,Face: 9
hLALAkbcceefggdignwmqn,gLLAQccedfeftnxkxjj,Face: 7
hLLMAkacefeeggnktrrrqw,gLLAQccedfeftnxkxjj,Face: 4
hLALAkbcbeefgghajofhhk,gLLAQccedfeftnxkxjj,Face: 2
hLLPAkcdcfeeggqcnhashj,gLLAQccedfeftnxkxjj,Face: 1
hLLAPkacedfgggnktelugv,gLLAQaedeeffniueffk,Face: 11
hLLLQkadegefggjixvcbvj,gLLAQaedeeffniueffk,Face: 10
hLLMPkacdefgfgnkanoikk,gLLAQaedeeffniueffk,Face: 9
hLLLQkacefefggnkbrwkkk,gLLAQaedeeffniueffk,Face: 8
hLvAQkadfefgfgnaqwnwbk,gLLAQaedeeffniueffk,Face: 7
hLLAPkbdedggfglvaggcnn,gLLAQaedeeffniueffk,Face: 6
hLLLQkadgfegfgjimscbbv,gLLAQaedeeffniueffk,Face: 4
hLLAPkaedeffggnaaqrwaw,gLLAQaedeeffniueffk,Face: 3
hLLAAkbecdefgglankdkqw,gLLAQaedeeffniueffk,Face: 2
hLLLQkcbdgfgfgajjxjvsv,gLLAQaedeeffniueffk,Face: 1
hLALPkbcbfgfgghhjlaelj,gLALQbcbeeffhhjrvas,Face: 11
hLALAkaccfefggjnbebpfr,gLALQbcbeeffhhjrvas,Face: 9
hLAwAkcbcdffgglegegnaj,gLALQbcbeeffhhjrvas,Face: 7
hLAMzkaccdefggjsjxaxxr,gLALQbcbeeffhhjrvas,Face: 4
hLLAAkaedefeggnaperrqw,gLALQbcbeeffhhjrvas,Face: 3
hLALPkbcbefgfgxxjsxxkr,gLALQbcbeeffhhjrvas,Face: 2
hLALPkbccffgggdigdxdxb,gLALQaccfeffjsjebpa,Face: 11
hLALPkbccffgggdigdxdxb,gLALQaccfeffjsjebpa,Face: 10
hLALAkbcceefggdignwmqn,gLALQaccfeffjsjebpa,Face: 9
hLLzQkcdegegfglwaaljjf,gLALQaccfeffjsjebpa,Face: 8
hLAwAkcbcdffgglegegnaj,gLALQaccfeffjsjebpa,Face: 7
hLALPkaccfgfggjsjxaeav,gLALQaccfeffjsjebpa,Face: 5
hLALMkacceffggjsjsaafr,gLALQaccfeffjsjebpa,Face: 4
hLAwAkbccdffggaasxrwar,gLALQaccfeffjsjebpa,Face: 1
gLLAQaedeeffniueffk,hLLAPkacedfgggnktelugv,Edge: 11
gLLAQbecefefxxsxxhr,hLLAMkbdedfgfgevlslqkn,Edge: 9
gLALQaccfeffjsjebpa,hLALPkbccffgggdigdxdxb,Edge: 10
gLLAQbecefefxxsxxhr,hLLLQkbdfgeggfhghlewkk,Edge: 12
gLALQaccfeffjsjebpa,hLALAkbcceefggdignwmqn,Edge: 11
gLALQaccfeffjsjebpa,hLAwAkcbcdffgglegegnaj,Edge: 11
hLLMMkcbdfefgghnjiujdw,gLLAQbecefefxxsxxhr,Face: 12
hLALPkbccffgfgdigqluur,gLLAQbecefefxxsxxhr,Face: 10
hLLLQkbdfgeggfhghlewkk,gLLAQbecefefxxsxxhr,Face: 7
hLLLQkbdfgeggfhghlewkk,gLLAQbecefefxxsxxhr,Face: 6
hLLAAkaddeefggjpupcfhn,gLLAQbecefefxxsxxhr,Face: 3
