target,source,label
gLLAQcceeeffpvmadxj,fLAMcaccdeejsjqqn,Face: 9
gLLAQccedfeftnxchjn,fLAMcaccdeejsjqqn,Face: 7
gLLAQacedeffnktlrhk,fLAMcaccdeejsjqqn,Face: 6
gLALQbcbeeffhxjsban,fLAMcaccdeejsjqqn,Face: 5
gLAPPcbceeffudbknxk,fLAMcaccdeejsjqqn,Face: 3
hLvPQkccgeffgghnqxxbfj,gLLAQcceeeffpvmadxj,Face: 12
hLLMMkbcdeffggdfbhtraw,gLLAQcceeeffpvmadxj,Face: 11
hLLAAkcddeefgglgwamkxr,gLLAQcceeeffpvmadxj,Face: 10
hLLAMkbdedfgfgevdslhks,gLLAQcceeeffpvmadxj,Face: 9
hLALPkbccfggfgdigeihuw,gLLAQcceeeffpvmadxj,Face: 8
hLLMMkbcdeffggtcbhqctr,gLLAQcceeeffpvmadxj,Face: 6
hLLLQkcedfgeggaqrmdnjs,gLLAQcceeeffpvmadxj,Face: 4
hLLMAkbdedefggasqfxsqw,gLLAQcceeeffpvmadxj,Face: 3
hLLAAkbecdefggamrfusxr,gLLAQcceeeffpvmadxj,Face: 2
hLLLQkbdfegggfxvqmpvrn,gLLAQcceeeffpvmadxj,Face: 1
hLALAkbcceefggdiggnuhs,gLLAQccedfeftnxchjn,Face: 11
hLLAAkacedefggnktaklqn,gLLAQccedfeftnxchjn,Face: 9
hLAPzkcbceefggudbjgxhs,gLLAQccedfeftnxchjn,Face: 8
hLLMAkacefeeggnktgrrxj,gLLAQccedfeftnxchjn,Face: 4
hLALAkbcbeefgghajofxqw,gLLAQccedfeftnxchjn,Face: 2
hLLPMkcdcfegfgqrnqaqkn,gLLAQccedfeftnxchjn,Face: 1
hLLMMkbcdeffggdfbhtraw,gLLAQacedeffnktlrhk,Face: 11
hLLMAkbcdeffggdfbhqfmw,gLLAQacedeffnktlrhk,Face: 10
hLLAAkacdeefggnkexniqj,gLLAQacedeffnktlrhk,Face: 9
hLLPMkaceeffggjvxwrrhr,gLLAQacedeffnktlrhk,Face: 8
hLvQAkadfeefggnmqxjfxn,gLLAQacedeffnktlrhk,Face: 7
hLLAMkbdedffgglvxgafhn,gLLAQacedeffnktlrhk,Face: 5
hLLAAkbdedffgglvaghfmj,gLLAQacedeffnktlrhk,Face: 4
hLLMMkcbeeffggajxqxckk,gLLAQacedeffnktlrhk,Face: 3
hLLAMkaedeffggnauqgwdk,gLLAQacedeffnktlrhk,Face: 2
hLLAAkcedcffgghavnhrmj,gLLAQacedeffnktlrhk,Face: 1
hLALPkbcbffggghxjutuak,gLALQbcbeeffhxjsban,Face: 11
hLALMkaccfefggjnbpbqgr,gLALQbcbeeffhxjsban,Face: 9
hLAwAkcbcdffgglegpscaw,gLALQbcbeeffhxjsban,Face: 8
hLAMzkaccdefggjsjxahqn,gLALQbcbeeffhxjsban,Face: 4
hLLAAkaedefeggnapegrxj,gLALQbcbeeffhxjsban,Face: 3
hLALPkbcbegffgxhjrqqjk,gLALQbcbeeffhxjsban,Face: 2
hLALPkbccfggfgdigeihuw,gLAPPcbceeffudbknxk,Face: 11
hLALPkbccfggfgdigeihuw,gLAPPcbceeffudbknxk,Face: 10
hLAPzkcbceefggudbjgxhs,gLAPPcbceeffudbknxk,Face: 9
hLLPAkcdeffegglwapalmr,gLAPPcbceeffudbknxk,Face: 8
hLAwAkcbcdffgglegpscaw,gLAPPcbceeffudbknxk,Face: 7
hLAwAkcbcdffggaakhwrhr,gLAPPcbceeffudbknxk,Face: 5
hLALMkaccfefggjsjabqrn,gLAPPcbceeffudbknxk,Face: 4
hLAvQkaccfgfggjsjamqlr,gLAPPcbceeffudbknxk,Face: 3
gLLAQacedeffnktlrhk,hLLMMkbcdeffggdfbhtraw,Edge: 11
gLLAQbeecfefhhajqaw,hLLAMkbdedfgfgevdslhks,Edge: 9
gLAPPcbceeffudbknxk,hLALPkbccfggfgdigeihuw,Edge: 10
gLLAQbeecfefhhajqaw,hLLLQkbdfegggfxvqmpvrn,Edge: 12
gLAPPcbceeffudbknxk,hLAPzkcbceefggudbjgxhs,Edge: 11
gLAPPcbceeffudbknxk,hLAwAkcbcdffgglegpscaw,Edge: 11
hLLLQkcddegffghsgpgjjj,gLLAQbeecfefhhajqaw,Face: 12
hLALPkbccffgfgtugqittr,gLLAQbeecfefhhajqaw,Face: 11
