target,source,label
gLLAQcceeeffubiqdxj,fLAMcaccdeennbqqn,Face: 9
gLALQbcbeeffxxjgbqj,fLAMcaccdeennbqqn,Face: 7
gLLAQacdeeffnkudwij,fLAMcaccdeennbqqn,Face: 6
gLLAQacdefefnbxahkj,fLAMcaccdeennbqqn,Face: 5
gLAPPcbceeffudbgsxr,fLAMcaccdeennbqqn,Face: 3
hLLAAkbddeefggxwnxxbqn,gLLAQcceeeffubiqdxj,Face: 12
hLLLQkbdegeggftviutssj,gLLAQcceeeffubiqdxj,Face: 11
hLLLQkbefegggfluquhxwn,gLLAQcceeeffubiqdxj,Face: 10
hLLAMkbdedfgfgdsavpxjr,gLLAQcceeeffubiqdxj,Face: 9
hLALPkbccfggfgdigdedqw,gLLAQcceeeffubiqdxj,Face: 8
hLLMMkbcdeffgglrwhtrhr,gLLAQcceeeffubiqdxj,Face: 6
hLLAAkceddefggtavkhcqn,gLLAQcceeeffubiqdxj,Face: 4
hLLMAkbddeefgganrpukhs,gLLAQcceeeffubiqdxj,Face: 3
hLLAAkbecdefggainfqsxr,gLLAQcceeeffubiqdxj,Face: 2
hLLAAkcdeefegglkheaphj,gLLAQcceeeffubiqdxj,Face: 1
hLALPkbcbffgggxxjehtac,gLALQbcbeeffxxjgbqj,Face: 11
hLALAkacceffggnsjslqsj,gLALQbcbeeffxxjgbqj,Face: 9
hLAwAkbccdffggdigdgbxn,gLALQbcbeeffxxjgbqj,Face: 8
hLLMAkaddeefggnapxwbqn,gLALQbcbeeffxxjgbqj,Face: 4
hLAMzkaccdefggnnbaaqqn,gLALQbcbeeffxxjgbqj,Face: 3
hLALAkbcbeefggxxjskqqj,gLALQbcbeeffxxjgbqj,Face: 2
hLLLQkbdegeggftviutssj,gLLAQacdeeffnkudwij,Face: 11
hLLMMkbcdeffggebbtibtj,gLLAQacdeeffnkudwij,Face: 10
hLLAAkacdeefggnkadouqw,gLLAQacdeeffnkudwij,Face: 9
hLvQAkaefdefggnhqhffxr,gLLAQacdeeffnkudwij,Face: 8
hLLAMkcedefgfgqpvthwjj,gLLAQacdeeffnkudwij,Face: 7
hLLAMkbdedffgglvdgakiw,gLLAQacdeeffnkudwij,Face: 5
hLLAAkbdedffgglvagukiw,gLLAQacdeeffnkudwij,Face: 4
hLLPAkacefefggjbxscsij,gLLAQacdeeffnkudwij,Face: 3
hLLAMkaedeffggnaaqcwqk,gLLAQacdeeffnkudwij,Face: 2
hLLAAkcedcffgghavnustk,gLLAQacdeeffnkudwij,Face: 1
hLLAAkaddeefggjiapcfhn,gLLAQacdefefnbxahkj,Face: 11
hLLMAkcbedffggpjajmodr,gLLAQacdefefnbxahkj,Face: 9
hLALPkbccegffgdignuurr,gLLAQacdefefnbxahkj,Face: 8
hLLLQkcedffeggthfeenrn,gLLAQacdefefnbxahkj,Face: 4
hLLPMkcdcfegfgqcnqaakw,gLLAQacdefefnbxahkj,Face: 3
hLALPkbccfggfgdigdedqw,gLAPPcbceeffudbgsxr,Face: 11
hLALPkbccfggfgdigdedqw,gLAPPcbceeffudbgsxr,Face: 10
hLAwAkbccdffggdigdgbxn,gLAPPcbceeffudbgsxr,Face: 9
hLLPAkcdeffegglwaddlin,gLAPPcbceeffudbgsxr,Face: 8
hLALPkbccegffgdignuurr,gLAPPcbceeffudbgsxr,Face: 7
hLAwAkcbcdffggaakhcshn,gLAPPcbceeffudbgsxr,Face: 5
hLALMkaccfefggnnbabqrn,gLAPPcbceeffudbgsxr,Face: 4
hLAvQkaccfgfggnnbamqlr,gLAPPcbceeffudbgsxr,Face: 3
gLLAQacdeeffnkudwij,hLLLQkbdegeggftviutssj,Edge: 11
gLAPPcbceeffudbgsxr,hLALPkbccfggfgdigdedqw,Edge: 10
gLAPPcbceeffudbgsxr,hLAwAkbccdffggdigdgbxn,Edge: 11
gLAPPcbceeffudbgsxr,hLALPkbccegffgdignuurr,Edge: 11
