target,source,label
gLLAQcceeeffubiudxj,fLAMcaccdeennjqqn,Face: 9
gLLAQccedfefqfxjhnn,fLAMcaccdeennjqqn,Face: 7
gLLAQacdeeffnkuxjqj,fLAMcaccdeennjqqn,Face: 6
gLLAQacdefefnbxahjj,fLAMcaccdeennjqqn,Face: 5
gLAPPcbceeffudbgnxr,fLAMcaccdeennjqqn,Face: 3
hLvPQkccgeffgghnexxfkn,gLLAQcceeeffubiudxj,Face: 12
hLLMAkbcdeffggebbmxjqj,gLLAQcceeeffubiudxj,Face: 11
hLLLQkbefegggflpqphxcn,gLLAQcceeeffubiudxj,Face: 10
hLLAMkbdedfgfgdwaslxjr,gLLAQcceeeffubiudxj,Face: 9
hLALPkbccfggfgdigdlhqs,gLLAQcceeeffubiudxj,Face: 8
hLLMMkbcdeffgglcchqctr,gLLAQcceeeffubiudxj,Face: 6
hLLAAkceddefgglavkhcqn,gLLAQcceeeffubiudxj,Face: 4
hLLAAkcdceefggawriabxr,gLLAQcceeeffubiudxj,Face: 3
hLLAAkbecdefggainfusxr,gLLAQcceeeffubiudxj,Face: 2
hLLAAkbdeeefggxvtxmlxr,gLLAQcceeeffubiudxj,Face: 1
hLALAkbcceefggdmggwuhs,gLLAQccedfefqfxjhnn,Face: 11
hLLPAkcdcfefggqsjadrps,gLLAQccedfefqfxjhnn,Face: 9
hLAPzkcbceefggudbjsxhw,gLLAQccedfefqfxjhnn,Face: 8
hLLMAkaceeefggjktkknxj,gLLAQccedfefqfxjhnn,Face: 4
hLALAkbcbeefgghawowxqw,gLLAQccedfefqfxjhnn,Face: 2
hLALAkbcbeefggxxjsbqqj,gLLAQccedfefqfxjhnn,Face: 1
hLLMAkbcdeffggebbmxjqj,gLLAQacdeeffnkuxjqj,Face: 11
hLLMMkbcdeffggebbmibtj,gLLAQacdeeffnkuxjqj,Face: 10
hLLAAkacdeefggnkedouqw,gLLAQacdeeffnkuxjqj,Face: 9
hLLPMkaceeffggjrxwrrhn,gLLAQacdeeffnkuxjqj,Face: 8
hLLAMkcedefgfglhvaxcjs,gLLAQacdeeffnkuxjqj,Face: 7
hLLAMkbdedffgglvegakiw,gLLAQacdeeffnkuxjqj,Face: 5
hLLAAkbdedffgglvagpkiw,gLLAQacdeeffnkuxjqj,Face: 4
hLLPAkacefefggjkxscsij,gLLAQacdeeffnkuxjqj,Face: 3
hLLAMkaedeffggnauqjwdr,gLLAQacdeeffnkuxjqj,Face: 2
hLLAAkcedcffgghavnprmk,gLLAQacdeeffnkuxjqj,Face: 1
hLLAAkaddeefggniapcfhn,gLLAQacdefefnbxahjj,Face: 11
hLLMAkcbedffggpnajmodr,gLLAQacdefefnbxahjj,Face: 9
hLALPkbccegffgdignuurn,gLLAQacdefefnbxahjj,Face: 8
hLLLQkcedffegglhfeenrn,gLLAQacdefefnbxahjj,Face: 4
hLLPMkcdcfegfgqcnqaakj,gLLAQacdefefnbxahjj,Face: 3
hLALPkbccfggfgdigdlhqs,gLAPPcbceeffudbgnxr,Face: 11
hLALPkbccfggfgdigdlhqs,gLAPPcbceeffudbgnxr,Face: 10
hLAPzkcbceefggudbjsxhw,gLAPPcbceeffudbgnxr,Face: 9
hLLPAkcdeffegglwadilin,gLAPPcbceeffudbgnxr,Face: 8
hLALPkbccegffgdignuurn,gLAPPcbceeffudbgnxr,Face: 7
hLAwAkcbcdffggaakhcrhn,gLAPPcbceeffudbgnxr,Face: 5
hLALMkaccfefggnnjabqrn,gLAPPcbceeffudbgnxr,Face: 4
hLAvQkaccfgfggnnjamqlr,gLAPPcbceeffudbgnxr,Face: 3
gLLAQacdeeffnkuxjqj,hLLMAkbcdeffggebbmxjqj,Edge: 11
gLAPPcbceeffudbgnxr,hLALPkbccfggfgdigdlhqs,Edge: 10
gLAPPcbceeffudbgnxr,hLAPzkcbceefggudbjsxhw,Edge: 11
gLAPPcbceeffudbgnxr,hLALPkbccegffgdignuurn,Edge: 11
