target,source,label
gLLAQcceeeffubmudxj,fLAMcaccdeensjqqn,Face: 9
gLLAQccedfeftnxchnn,fLAMcaccdeensjqqn,Face: 7
gLLAQacedeffnktlrhr,fLAMcaccdeensjqqn,Face: 6
gLALQbcbeeffhxjsbaj,fLAMcaccdeensjqqn,Face: 5
gLAPPcbceeffudbknxr,fLAMcaccdeensjqqn,Face: 3
hLvPQkccgeffgghnexxbkn,gLLAQcceeeffubmudxj,Face: 12
hLLMAkbcdeffggebbmtndj,gLLAQcceeeffubmudxj,Face: 11
hLLAAkcddeefggtgwamkxr,gLLAQcceeeffubmudxj,Face: 10
hLLAMkbdedfgfgdwaslxkr,gLLAQcceeeffubmudxj,Face: 9
hLALPkbccfggfgdigelhuw,gLLAQcceeeffubmudxj,Face: 8
hLLMMkbcdeffggtcchqctr,gLLAQcceeeffubmudxj,Face: 6
hLLLQkcedfgeggahnahnwr,gLLAQcceeeffubmudxj,Face: 4
hLLAAkcdceefggawritbxr,gLLAQcceeeffubmudxj,Face: 3
hLLAAkbecdefggamnfusxr,gLLAQcceeeffubmudxj,Face: 2
hLLAAkbdeeefggxvuxmlxr,gLLAQcceeeffubmudxj,Face: 1
hLALAkbcceefggdmggnuhs,gLLAQccedfeftnxchnn,Face: 11
hLLAAkacedefggnktaklqj,gLLAQccedfeftnxchnn,Face: 9
hLAPzkcbceefggudbjgxhw,gLLAQccedfeftnxchnn,Face: 8
hLLMAkacefeeggjktgrrxj,gLLAQccedfeftnxchnn,Face: 4
hLALAkbcbeefgghawofxqw,gLLAQccedfeftnxchnn,Face: 2
hLLPMkcdcfegfgqrjqaqkn,gLLAQccedfeftnxchnn,Face: 1
hLLMAkbcdeffggebbmtndj,gLLAQacedeffnktlrhr,Face: 11
hLLMMkbcdeffggebbmqbtj,gLLAQacedeffnktlrhr,Face: 10
hLLAAkacdeefggnkexniqw,gLLAQacedeffnktlrhr,Face: 9
hLLPMkaceeffggjvxwrrhn,gLLAQacedeffnktlrhr,Face: 8
hLvQAkadfeefggnmqxjfxr,gLLAQacedeffnktlrhr,Face: 7
hLLAMkbdedffgglvxgafhj,gLLAQacedeffnktlrhr,Face: 5
hLLAAkbdedffgglvaghfmw,gLLAQacedeffnktlrhr,Face: 4
hLLMMkcbeeffggajxqxckj,gLLAQacedeffnktlrhr,Face: 3
hLLAMkaedeffggnauqgwdr,gLLAQacedeffnktlrhr,Face: 2
hLLAAkcedcffgghavnhrmk,gLLAQacedeffnktlrhr,Face: 1
hLALPkbcbffggghxjutpak,gLALQbcbeeffhxjsbaj,Face: 11
hLALMkaccfefggnnbpbqgr,gLALQbcbeeffhxjsbaj,Face: 9
hLAwAkcbcdffgglegpscaj,gLALQbcbeeffhxjsbaj,Face: 8
hLAMzkaccdefggnsjxahqn,gLALQbcbeeffhxjsbaj,Face: 4
hLLAAkaedefeggjapegrxj,gLALQbcbeeffhxjsbaj,Face: 3
hLALPkbcbegffgxhjrqqnk,gLALQbcbeeffhxjsbaj,Face: 2
hLALPkbccfggfgdigelhuw,gLAPPcbceeffudbknxr,Face: 11
hLALPkbccfggfgdigelhuw,gLAPPcbceeffudbknxr,Face: 10
hLAPzkcbceefggudbjgxhw,gLAPPcbceeffudbknxr,Face: 9
hLLPAkcdeffegglwapalmn,gLAPPcbceeffudbknxr,Face: 8
hLAwAkcbcdffgglegpscaj,gLAPPcbceeffudbknxr,Face: 7
hLAwAkcbcdffggaakhwrhn,gLAPPcbceeffudbknxr,Face: 5
hLALMkaccfefggnsjabqrn,gLAPPcbceeffudbknxr,Face: 4
hLAvQkaccfgfggnsjamqlr,gLAPPcbceeffudbknxr,Face: 3
gLLAQacedeffnktlrhr,hLLMAkbcdeffggebbmtndj,Edge: 11
gLAPPcbceeffudbknxr,hLALPkbccfggfgdigelhuw,Edge: 10
gLAPPcbceeffudbknxr,hLAPzkcbceefggudbjgxhw,Edge: 11
gLAPPcbceeffudbknxr,hLAwAkcbcdffgglegpscaj,Edge: 11
