id,oriented,tetrahedra
fLAMcbbcdeedhrhhn,1,5
gLALQbcbeeffxxjgsan,1,6
gLALQbcbeeffhhjsjhr,1,6
gLLPQcdcefffhsnptjr,1,6
gLAMPbbcdeffdhgqhhs,1,6
gLLAQacddfffnkamtpx,-1,6
gLALQbbcefffhewspph,-1,6
hLALMkaccfefggjgnpbqbw,-1,7
hLLAAkaedeefggnmaeknhj,1,7
hLAwAkbccdffggdigdnbaj,-1,7
hLALPkbcbffgggxxjatxir,-1,7
hLALAkbcbeefggxxjnkqaw,-1,7
hLALPkbcbegffghhjchasn,1,7
hLALMkacceffggngbsddwj,-1,7
hLLMAkaddeefggnuadjvxj,1,7
hLAwAkcbcdffgglegesjxn,-1,7
hLALPkbcbfgfgghhjpeieo,-1,7
hLALAkbcbeefgghhjcraaw,-1,7
hLAMzkaccdefggnsnxxxxj,-1,7
hLLAAkcddeefgglcvatkqw,1,7
hLLAAkcedefeggthvahahn,1,7
hLLPAkcdcfefgghsniqvpj,1,7
hLvPQkccgfefgghnhhqsrb,-1,7
hLLAAkbddeffggdsouivew,-1,7
hLALPkcbcegfggudbspesg,-1,7
hLLAAkbdedffggerxgacpr,1,7
hLLAAkcedeefggahvdiqqn,-1,7
hLALMkbcbfeggghhjavlco,-1,7
hLLAAkbdeeefggdguumhqn,-1,7
hLALAkbbceffggdhgnixnk,-1,7
hLLAAkceedefgglumnmxqw,-1,7
hLAMLkbccdegggdigdxnof,-1,7
hLALPkbcbegfggxxjnuxkk,-1,7
hLAMLkbcbdeggghhjqagnb,-1,7
hLAMzkaccdefggjgnxhqqw,-1,7
hLAMzkaccdefggngbqqxxj,1,7
hLLLQkacfeggfgnkgskbsw,-1,7
hLLLQkadefggfgjixgsncj,-1,7
hLLAPkceedfggguphvawgv,-1,7
hLLAMkbcdeegggebbleqxp,-1,7
hLLAAkceedefggahukeqqn,-1,7
hLLAPkcddeegggacvxrkgn,-1,7
hLMLPkbbdegffgeidvlbkn,-1,7
hLALAkbbceffggdhroahsn,-1,7
hLAMLkbccdegggaajhhwrv,-1,7
hLALPkbbcfggfgdhrhhhlg,-1,7
