target,source,label
gLALQbcbeeffhxwgsan,fLAMcbbcdeedhrhqj,Face: 10
gLALQbcbeeffxhnsjhr,fLAMcbbcdeedhrhqj,Face: 9
gLLPQcdcefffqsjptjr,fLAMcbbcdeedhrhqj,Face: 8
gLAMPbbcdeffdhgqhxn,fLAMcbbcdeedhrhqj,Face: 7
gLLAQaceefffjktxhep,fLAMcbbcdeedhrhqj,Face: 5
gLALQbbcefffhewsimq,fLAMcbbcdeedhrhqj,Face: 3
hLALMkaccfefggjgnpbqgk,gLALQbcbeeffhxwgsan,Face: 12
hLLAAkaedeefggnmaeknxn,gLALQbcbeeffhxwgsan,Face: 11
hLAwAkcbcdffggpigdnbaj,gLALQbcbeeffhxwgsan,Face: 8
hLALPkbcbffggghxwatxir,gLALQbcbeeffhxwgsan,Face: 5
hLALAkbcbeefgghxwnkqaw,gLALQbcbeeffhxwgsan,Face: 4
hLALPkbcbegffgxhnchasn,gLALQbcbeeffhxwgsan,Face: 3
hLALMkacceffggngbsddgw,gLALQbcbeeffxhnsjhr,Face: 12
hLLMAkaddeefggnuadjvhw,gLALQbcbeeffxhnsjhr,Face: 11
hLAwAkbccdffggeikiwrqj,gLALQbcbeeffxhnsjhr,Face: 8
hLALPkbcbfgfgghxwplxlv,gLALQbcbeeffxhnsjhr,Face: 5
hLALAkbcbeefggxhncraaw,gLALQbcbeeffxhnsjhr,Face: 2
hLAMzkaccdefggnsnxxxhw,gLALQbcbeeffxhnsjhr,Face: 1
hLLAAkcddeefgglcvatkxk,gLLPQcdcefffqsjptjr,Face: 12
hLLAAkcedefeggthvahaqj,gLLPQcdcefffqsjptjr,Face: 11
hLLPAkcdcfefggqsjiqvpj,gLLPQcdcefffqsjptjr,Face: 10
hLvPQkccgfefgghrqhqrfj,gLLPQcdcefffqsjptjr,Face: 9
hLLAAkbddeffggdsouivin,gLLPQcdcefffqsjptjr,Face: 8
hLAvQkbccefggglugchawo,gLLPQcdcefffqsjptjr,Face: 7
hLAvQkbccefggglugcmlkr,gLLPQcdcefffqsjptjr,Face: 6
hLLAAkbdedffggerxgacts,gLLPQcdcefffqsjptjr,Face: 5
hLLAAkcedeefggahvdiqhr,gLLPQcdcefffqsjptjr,Face: 3
hLALMkbcbfeggghxwabdnw,gLLPQcdcefffqsjptjr,Face: 2
hLLAAkbdeeefggdguumhhr,gLLPQcdcefffqsjptjr,Face: 1
hLALAkbbceffggdhgnixkj,gLAMPbbcdeffdhgqhxn,Face: 12
hLLAAkceedefgglumnmxxk,gLAMPbbcdeffdhgqhxn,Face: 11
hLAMLkbccdegggdmguxkgb,gLAMPbbcdeffdhgqhxn,Face: 8
hLALPkbcbegfgghxwnuxkk,gLAMPbbcdeffdhgqhxn,Face: 5
hLAMLkbcbdeggghxwqavcr,gLAMPbbcdeffdhgqhxn,Face: 3
hLAMzkaccdefggjgnxhqxk,gLAMPbbcdeffdhgqhxn,Face: 2
hLAMzkaccdefggngbqqxhw,gLAMPbbcdeffdhgqhxn,Face: 1
hLALMkaccfefggjgnpbqgk,gLLAQaceefffjktxhep,Face: 12
hLALMkacceffggngbsddgw,gLLAQaceefffjktxhep,Face: 11
hLLLQkacefggfgjkjskjbr,gLLAQaceefffjktxhep,Face: 10
hLALAkbbceffggdhgnixkj,gLLAQaceefffjktxhep,Face: 9
hLLLQkadegfgfgnpxrnrbj,gLLAQaceefffjktxhep,Face: 8
hLLPMkbddeegggtvgeepdu,gLLAQaceefffjktxhep,Face: 6
hLLAMkcdeeegggpgiambrk,gLLAQaceefffjktxhep,Face: 5
hLLAAkceedefggahukeqhr,gLLAQaceefffjktxhep,Face: 4
hLLAPkcddeegggacvqskgn,gLLAQaceefffjktxhep,Face: 3
hLLPMkacedegggnkxsculp,gLLAQaceefffjktxhep,Face: 2
hLALAkbbceffggdhroahfj,gLLAQaceefffjktxhep,Face: 1
hLAwAkcbcdffggpigdnbaj,gLALQbbcefffhewsimq,Face: 12
hLAwAkbccdffggeikiwrqj,gLALQbbcefffhewsimq,Face: 11
hLAvQkbccefggglugchawo,gLALQbbcefffhewsimq,Face: 10
hLAMLkbccdegggdmguxkgb,gLALQbbcefffhewsimq,Face: 9
hLAvQkbccefggglugcmlkr,gLALQbbcefffhewsimq,Face: 8
hLLAMkbcdeeggglbbmthai,gLALQbbcefffhewsimq,Face: 7
hLLAMkbcdeegggtsbmthai,gLALQbbcefffhewsimq,Face: 6
hLAMLkbccdegggapkmxgnk,gLALQbbcefffhewsimq,Face: 5
hLALAkbbceffggxmknaxvw,gLALQbbcefffhewsimq,Face: 4
hLALPkbbcegfggdhrwhhof,gLALQbbcefffhewsimq,Face: 3
hLALPkbbcffgggdhrqqhhf,gLALQbbcefffhewsimq,Face: 2
hLALAkbbceffggxmknmxvs,gLALQbbcefffhewsimq,Face: 1
gLLAQaceefffjktxhep,hLALMkaccfefggjgnpbqgk,Edge: 11
gLALQbbcefffhewsimq,hLAwAkcbcdffggpigdnbaj,Edge: 10
gLLAQaceefffjktxhep,hLALMkacceffggngbsddgw,Edge: 11
gLALQbbcefffhewsimq,hLAwAkbccdffggeikiwrqj,Edge: 10
gLALQbbcefffhewsimq,hLAvQkbccefggglugchawo,Edge: 11
gLALQbbcefffhewsimq,hLAvQkbccefggglugcmlkr,Edge: 11
gLLAQaceefffjktxhep,hLALAkbbceffggdhgnixkj,Edge: 11
gLALQbbcefffhewsimq,hLAMLkbccdegggdmguxkgb,Edge: 10
