id,oriented,tetrahedra
fLAMcbbcdeedhrhqj,1,5
gLALQbcbeeffhxwgsan,1,6
gLALQbcbeeffxhnsjhr,1,6
gLLPQcdcefffqsjptjr,1,6
gLAMPbbcdeffdhgqhxn,1,6
gLLAQaceefffjktxhep,-1,6
gLALQbbcefffhewsimq,-1,6
hLALMkaccfefggjgnpbqgk,-1,7
hLLAAkaedeefggnmaeknxn,1,7
hLAwAkcbcdffggpigdnbaj,-1,7
hLALPkbcbffggghxwatxir,-1,7
hLALAkbcbeefgghxwnkqaw,-1,7
hLALPkbcbegffgxhnchasn,1,7
hLALMkacceffggngbsddgw,-1,7
hLLMAkaddeefggnuadjvhw,1,7
hLAwAkbccdffggeikiwrqj,-1,7
hLALPkbcbfgfgghxwplxlv,-1,7
hLALAkbcbeefggxhncraaw,-1,7
hLAMzkaccdefggnsnxxxhw,-1,7
hLLAAkcddeefgglcvatkxk,1,7
hLLAAkcedefeggthvahaqj,1,7
hLLPAkcdcfefggqsjiqvpj,1,7
hLvPQkccgfefgghrqhqrfj,-1,7
hLLAAkbddeffggdsouivin,-1,7
hLAvQkbccefggglugchawo,-1,7
hLAvQkbccefggglugcmlkr,-1,7
hLLAAkbdedffggerxgacts,1,7
hLLAAkcedeefggahvdiqhr,-1,7
hLALMkbcbfeggghxwabdnw,-1,7
hLLAAkbdeeefggdguumhhr,-1,7
hLALAkbbceffggdhgnixkj,-1,7
hLLAAkceedefgglumnmxxk,-1,7
hLAMLkbccdegggdmguxkgb,-1,7
hLALPkbcbegfgghxwnuxkk,-1,7
hLAMLkbcbdeggghxwqavcr,-1,7
hLAMzkaccdefggjgnxhqxk,-1,7
hLAMzkaccdefggngbqqxhw,1,7
hLLLQkacefggfgjkjskjbr,-1,7
hLLLQkadegfgfgnpxrnrbj,-1,7
hLLPMkbddeegggtvgeepdu,-1,7
hLLAMkcdeeegggpgiambrk,-1,7
hLLAAkceedefggahukeqhr,-1,7
hLLAPkcddeegggacvqskgn,-1,7
hLLPMkacedegggnkxsculp,-1,7
hLALAkbbceffggdhroahfj,-1,7
hLLAMkbcdeeggglbbmthai,-1,7
hLLAMkbcdeegggtsbmthai,-1,7
hLAMLkbccdegggapkmxgnk,-1,7
hLALAkbbceffggxmknaxvw,-1,7
hLALPkbbcegfggdhrwhhof,-1,7
hLALPkbbcffgggdhrqqhhf,-1,7
hLALAkbbceffggxmknmxvs,-1,7
