target,source,label
gLALQbcbeeffhxjgsan,fLAMcbbcdeedhrhqn,Face: 10
gLALQbcbeeffxhjsjhr,fLAMcbbcdeedhrhqn,Face: 9
gLLPQcdcefffqsnptjr,fLAMcbbcdeedhrhqn,Face: 8
gLAMPbbcdeffdhgqhxj,fLAMcbbcdeedhrhqn,Face: 7
gLLAQaceefffnktxhep,fLAMcbbcdeedhrhqn,Face: 5
gLALQbbcefffhewsipq,fLAMcbbcdeedhrhqn,Face: 3
hLALMkaccfefggjgnpbqgr,gLALQbcbeeffhxjgsan,Face: 12
hLLAAkaedeefggnmaeknxj,gLALQbcbeeffhxjgsan,Face: 11
hLAwAkcbcdffgglegpvsaw,gLALQbcbeeffhxjgsan,Face: 8
hLALPkbcbffggghxjatxir,gLALQbcbeeffhxjgsan,Face: 5
hLALAkbcbeefgghxjnkqaw,gLALQbcbeeffhxjgsan,Face: 4
hLALPkbcbegffgxhjchasn,gLALQbcbeeffhxjgsan,Face: 3
hLALMkacceffggngbsddgs,gLALQbcbeeffxhjsjhr,Face: 12
hLLMAkaddeefggnuadjvhs,gLALQbcbeeffxhjsjhr,Face: 11
hLAwAkbccdffggtugesjxn,gLALQbcbeeffxhjsjhr,Face: 8
hLALPkbcbfgfgghxjplxlv,gLALQbcbeeffxhjsjhr,Face: 5
hLALAkbcbeefggxhjcraaw,gLALQbcbeeffxhjsjhr,Face: 2
hLAMzkaccdefggnsnxxxhs,gLALQbcbeeffxhjsjhr,Face: 1
hLLAAkcddeefgglcvatkxr,gLLPQcdcefffqsnptjr,Face: 12
hLLAAkcedefeggthvahaqn,gLLPQcdcefffqsnptjr,Face: 11
hLLPAkcdcfefggqsniqvpj,gLLPQcdcefffqsnptjr,Face: 10
hLvPQkccgfefgghnqhqrfj,gLLPQcdcefffqsnptjr,Face: 9
hLLAAkbddeffggdsouivir,gLLPQcdcefffqsnptjr,Face: 8
hLAvQkbccefgggtugchawo,gLLPQcdcefffqsnptjr,Face: 7
hLLAAkbdedffggerxgactw,gLLPQcdcefffqsnptjr,Face: 5
hLLAAkcedeefggahvdiqhn,gLLPQcdcefffqsnptjr,Face: 3
hLALMkbcbfeggghxjabdnw,gLLPQcdcefffqsnptjr,Face: 2
hLLAAkbdeeefggdguumhhn,gLLPQcdcefffqsnptjr,Face: 1
hLALAkbbceffggdhgnixkk,gLAMPbbcdeffdhgqhxj,Face: 12
hLLAAkceedefgglumnmxxr,gLAMPbbcdeffdhgqhxj,Face: 11
hLAMLkbccdegggdiguxkgb,gLAMPbbcdeffdhgqhxj,Face: 8
hLALPkbcbegfgghxjnuxkk,gLAMPbbcdeffdhgqhxj,Face: 5
hLAMLkbcbdeggghxjqavcr,gLAMPbbcdeffdhgqhxj,Face: 3
hLAMzkaccdefggjgnxhqxr,gLAMPbbcdeffdhgqhxj,Face: 2
hLAMzkaccdefggngbqqxhs,gLAMPbbcdeffdhgqhxj,Face: 1
hLALMkaccfefggjgnpbqgr,gLLAQaceefffnktxhep,Face: 12
hLALMkacceffggngbsddgs,gLLAQaceefffnktxhep,Face: 11
hLLLQkacefggfgnkjskjbr,gLLAQaceefffnktxhep,Face: 10
hLALAkbbceffggdhgnixkk,gLLAQaceefffnktxhep,Face: 9
hLLLQkadegfgfgjpxrnrbj,gLLAQaceefffnktxhep,Face: 8
hLLPMkbddeeggglvgeepdu,gLLAQaceefffnktxhep,Face: 6
hLLAMkcdeeegggpgmambrk,gLLAQaceefffnktxhep,Face: 5
hLLAAkceedefggahukeqhn,gLLAQaceefffnktxhep,Face: 4
hLLAPkcddeegggacvqwkgn,gLLAQaceefffnktxhep,Face: 3
hLLPMkacedegggjkxsculp,gLLAQaceefffnktxhep,Face: 2
hLALAkbbceffggdhroahfk,gLLAQaceefffnktxhep,Face: 1
hLAwAkcbcdffgglegpvsaw,gLALQbbcefffhewsipq,Face: 12
hLAwAkbccdffggtugesjxn,gLALQbbcefffhewsipq,Face: 11
hLAvQkbccefgggtugchawo,gLALQbbcefffhewsipq,Face: 10
hLAMLkbccdegggdiguxkgb,gLALQbbcefffhewsipq,Face: 9
hLAvQkbccefgggtugchawo,gLALQbbcefffhewsipq,Face: 8
hLLAMkbcdeegggtbbmthai,gLALQbbcefffhewsipq,Face: 7
hLAMLkbccdegggaajhxgnk,gLALQbbcefffhewsipq,Face: 5
hLALAkbbceffggxmknaxvs,gLALQbbcefffhewsipq,Face: 4
hLALPkbbcffgggdhrqphhf,gLALQbbcefffhewsipq,Face: 3
gLLAQaceefffnktxhep,hLALMkaccfefggjgnpbqgr,Edge: 11
gLALQbbcefffhewsipq,hLAwAkcbcdffgglegpvsaw,Edge: 10
gLLAQaceefffnktxhep,hLALMkacceffggngbsddgs,Edge: 11
gLALQbbcefffhewsipq,hLAwAkbccdffggtugesjxn,Edge: 10
gLALQbbcefffhewsipq,hLAvQkbccefgggtugchawo,Edge: 11
gLLAQaceefffnktxhep,hLALAkbbceffggdhgnixkk,Edge: 11
gLALQbbcefffhewsipq,hLAMLkbccdegggdiguxkgb,Edge: 10
