target,source,label
gLALQbcbeeffxhncras,fLAMcbbcdeedhrxqs,Face: 10
gLALQbcbeeffhxwnkqj,fLAMcbbcdeedhrxqs,Face: 9
gLLPQcdcefffqsjmlkj,fLAMcbbcdeedhrxqs,Face: 8
gLAMPbbcdeffdhgqqxk,fLAMcbbcdeedhrxqs,Face: 7
gLLAQaceefffjktxeix,fLAMcbbcdeedhrxqs,Face: 5
gLALQbbcefffeivsimq,fLAMcbbcdeedhrxqs,Face: 3
hLALAkaccfefggjgnebpjs,gLALQbcbeeffxhncras,Face: 12
hLLAAkaedeefggnmaekkxk,gLALQbcbeeffxhncras,Face: 11
hLAwAkbccdffggeikivsaw,gLALQbcbeeffxhncras,Face: 8
hLALPkbcbfgfgghxwaqlmw,gLALQbcbeeffxhncras,Face: 5
hLALAkbcbeefggxhnsjhak,gLALQbcbeeffxhncras,Face: 4
hLALPkbcbefgfghxwgaqnw,gLALQbcbeeffxhncras,Face: 3
hLALAkacceffggngbslqjk,gLALQbcbeeffhxwnkqj,Face: 12
hLLMAkaddeefggnuadjnhr,gLALQbcbeeffhxwnkqj,Face: 11
hLAwAkcbcdffggpigdsjxn,gLALQbcbeeffhxwnkqj,Face: 8
hLALPkbcbffggghxweittc,gLALQbcbeeffhxwnkqj,Face: 5
hLALAkbcbeefgghxwgsaaj,gLALQbcbeeffhxwnkqj,Face: 2
hLAMzkaccdefggnsnxxqhr,gLALQbcbeeffhxwnkqj,Face: 1
hLLAAkcddeefgglcvatnxn,gLLPQcdcefffqsjmlkj,Face: 12
hLLAAkcedefeggthvaxaqj,gLLPQcdcefffqsjmlkj,Face: 11
hLLPAkcdcfefggqsjaislk,gLLPQcdcefffqsjmlkj,Face: 10
hLvPQkccgfefgghraqqcwn,gLLPQcdcefffqsjmlkj,Face: 9
hLAvQkbccefggglugcqarj,gLLPQcdcefffqsjmlkj,Face: 8
hLAvQkbccefggglugcmuwc,gLLPQcdcefffqsjmlkj,Face: 7
hLLAMkbdedffggdkugaoxn,gLLPQcdcefffqsjmlkj,Face: 6
hLLMMkbcdeffgglrwdmrmj,gLLPQcdcefffqsjmlkj,Face: 5
hLLAAkcedeefggahvdixhw,gLLPQcdcefffqsjmlkj,Face: 3
hLALMkbcbfeggghxwabugc,gLLPQcdcefffqsjmlkj,Face: 2
hLLAAkbdeeefggdguumahw,gLLPQcdcefffqsjmlkj,Face: 1
hLALAkbbceffggxmvsppck,gLAMPbbcdeffdhgqqxk,Face: 12
hLLAAkceedefgglumnmaxn,gLAMPbbcdeffdhgqqxk,Face: 11
hLAMLkbccdegggdmguhcrv,gLAMPbbcdeffdhgqqxk,Face: 8
hLALPkbcbefgggxhnspqnn,gLAMPbbcdeffdhgqqxk,Face: 5
hLAMLkbcbdeggghxwxafow,gLAMPbbcdeffdhgqqxk,Face: 3
hLAMzkaccdefggjgnxhhxn,gLAMPbbcdeffdhgqqxk,Face: 2
hLAMzkaccdefggngbqqqhr,gLAMPbbcdeffdhgqqxk,Face: 1
hLALAkaccfefggjgnebpjs,gLLAQaceefffjktxeix,Face: 12
hLALAkacceffggngbslqjk,gLLAQaceefffjktxeix,Face: 11
hLLLQkadegfgfgnpxrsrgn,gLLAQaceefffjktxeix,Face: 10
hLALAkbbceffggxmvsppck,gLLAQaceefffjktxeix,Face: 9
hLLLQkacefggfgjkjrkjkj,gLLAQaceefffjktxeix,Face: 8
hLLAMkcdeeegggpgiamfks,gLLAQaceefffjktxeix,Face: 7
hLLPMkbddeegggtvgeeaph,gLLAQaceefffjktxeix,Face: 5
hLLAPkcddeegggacvqsgsj,gLLAQaceefffjktxeix,Face: 4
hLLAAkceedefggalxnxhqj,gLLAQaceefffjktxeix,Face: 3
hLLPMkacedegggnkxscpax,gLLAQaceefffjktxeix,Face: 2
hLALAkbbceffggldooahfj,gLLAQaceefffjktxeix,Face: 1
hLAwAkbccdffggeikivsaw,gLALQbbcefffeivsimq,Face: 12
hLAwAkcbcdffggpigdsjxn,gLALQbbcefffeivsimq,Face: 11
hLAvQkbccefggglugcqarj,gLALQbbcefffeivsimq,Face: 10
hLAMLkbccdegggdmguhcrv,gLALQbbcefffeivsimq,Face: 9
hLAvQkbccefggglugcmuwc,gLALQbbcefffeivsimq,Face: 8
hLLAMkbcdeegggtsbmtilm,gLALQbbcefffeivsimq,Face: 7
hLLAMkbcdeeggglbbmtilm,gLALQbbcefffeivsimq,Face: 6
hLALPkbbcffgggldoqqhhf,gLALQbbcefffeivsimq,Face: 5
hLAMLkbccdegggapkmxjgs,gLALQbbcefffeivsimq,Face: 4
hLALAkbbceffggtqjnmxvs,gLALQbbcefffeivsimq,Face: 3
hLALAkbbceffggtqjnaxvw,gLALQbbcefffeivsimq,Face: 2
hLALPkbbcegfggdhrkxxof,gLALQbbcefffeivsimq,Face: 1
gLLAQaceefffjktxeix,hLALAkaccfefggjgnebpjs,Edge: 11
gLALQbbcefffeivsimq,hLAwAkbccdffggeikivsaw,Edge: 10
gLLAQaceefffjktxeix,hLALAkacceffggngbslqjk,Edge: 11
gLALQbbcefffeivsimq,hLAwAkcbcdffggpigdsjxn,Edge: 10
gLALQbbcefffeivsimq,hLAvQkbccefggglugcqarj,Edge: 11
gLALQbbcefffeivsimq,hLAvQkbccefggglugcmuwc,Edge: 11
gLLAQaceefffjktxeix,hLALAkbbceffggxmvsppck,Edge: 11
gLALQbbcefffeivsimq,hLAMLkbccdegggdmguhcrv,Edge: 10
