id,oriented,tetrahedra
fLAMcbbcdeedhrxqs,1,5
gLALQbcbeeffxhncras,1,6
gLALQbcbeeffhxwnkqj,1,6
gLLPQcdcefffqsjmlkj,1,6
gLAMPbbcdeffdhgqqxk,1,6
gLLAQaceefffjktxeix,-1,6
gLALQbbcefffeivsimq,-1,6
hLALAkaccfefggjgnebpjs,-1,7
hLLAAkaedeefggnmaekkxk,1,7
hLAwAkbccdffggeikivsaw,-1,7
hLALPkbcbfgfgghxwaqlmw,-1,7
hLALAkbcbeefggxhnsjhak,-1,7
hLALPkbcbefgfghxwgaqnw,1,7
hLALAkacceffggngbslqjk,-1,7
hLLMAkaddeefggnuadjnhr,1,7
hLAwAkcbcdffggpigdsjxn,-1,7
hLALPkbcbffggghxweittc,-1,7
hLALAkbcbeefgghxwgsaaj,-1,7
hLAMzkaccdefggnsnxxqhr,-1,7
hLLAAkcddeefgglcvatnxn,1,7
hLLAAkcedefeggthvaxaqj,1,7
hLLPAkcdcfefggqsjaislk,1,7
hLvPQkccgfefgghraqqcwn,-1,7
hLAvQkbccefggglugcqarj,-1,7
hLAvQkbccefggglugcmuwc,-1,7
hLLAMkbdedffggdkugaoxn,-1,7
hLLMMkbcdeffgglrwdmrmj,-1,7
hLLAAkcedeefggahvdixhw,-1,7
hLALMkbcbfeggghxwabugc,-1,7
hLLAAkbdeeefggdguumahw,-1,7
hLALAkbbceffggxmvsppck,-1,7
hLLAAkceedefgglumnmaxn,-1,7
hLAMLkbccdegggdmguhcrv,-1,7
hLALPkbcbefgggxhnspqnn,-1,7
hLAMLkbcbdeggghxwxafow,-1,7
hLAMzkaccdefggjgnxhhxn,-1,7
hLAMzkaccdefggngbqqqhr,1,7
hLLLQkadegfgfgnpxrsrgn,-1,7
hLLLQkacefggfgjkjrkjkj,-1,7
hLLAMkcdeeegggpgiamfks,-1,7
hLLPMkbddeegggtvgeeaph,-1,7
hLLAPkcddeegggacvqsgsj,-1,7
hLLAAkceedefggalxnxhqj,-1,7
hLLPMkacedegggnkxscpax,-1,7
hLALAkbbceffggldooahfj,-1,7
hLLAMkbcdeegggtsbmtilm,-1,7
hLLAMkbcdeeggglbbmtilm,-1,7
hLALPkbbcffgggldoqqhhf,-1,7
hLAMLkbccdegggapkmxjgs,-1,7
hLALAkbbceffggtqjnmxvs,-1,7
hLALAkbbceffggtqjnaxvw,-1,7
hLALPkbbcegfggdhrkxxof,-1,7
