target,source,label
gLALQbcbeeffxhjcras,fLAMcbbcdeedhrxqw,Face: 10
gLALQbcbeeffhxjnkqj,fLAMcbbcdeedhrxqw,Face: 9
gLLPQcdcefffqsnmlkj,fLAMcbbcdeedhrxqw,Face: 8
gLAMPbbcdeffdhgqqxr,fLAMcbbcdeedhrxqw,Face: 7
gLLAQaceefffnktxeix,fLAMcbbcdeedhrxqw,Face: 5
gLALQbbcefffeivsipq,fLAMcbbcdeedhrxqw,Face: 3
hLALAkaccfefggjgnebpjw,gLALQbcbeeffxhjcras,Face: 12
hLLAAkaedeefggnmaekkxr,gLALQbcbeeffxhjcras,Face: 11
hLAwAkbccdffggtugenbaj,gLALQbcbeeffxhjcras,Face: 8
hLALPkbcbfgfgghxjaqlmw,gLALQbcbeeffxhjcras,Face: 5
hLALAkbcbeefggxhjsjhak,gLALQbcbeeffxhjcras,Face: 4
hLALPkbcbefgfghxjgaqnw,gLALQbcbeeffxhjcras,Face: 3
hLALAkacceffggngbslqjj,gLALQbcbeeffhxjnkqj,Face: 12
hLLMAkaddeefggnuadjnhk,gLALQbcbeeffhxjnkqj,Face: 11
hLAwAkcbcdffgglegpwrqj,gLALQbcbeeffhxjnkqj,Face: 8
hLALPkbcbffggghxjeittc,gLALQbcbeeffhxjnkqj,Face: 5
hLALAkbcbeefgghxjgsaaj,gLALQbcbeeffhxjnkqj,Face: 2
hLAMzkaccdefggnsnxxqhk,gLALQbcbeeffhxjnkqj,Face: 1
hLLAAkcddeefgglcvatnxj,gLLPQcdcefffqsnmlkj,Face: 12
hLLAAkcedefeggthvaxaqw,gLLPQcdcefffqsnmlkj,Face: 11
hLLPAkcdcfefggqsnaislk,gLLPQcdcefffqsnmlkj,Face: 10
hLvPQkccgfefgghnaqqcwn,gLLPQcdcefffqsnmlkj,Face: 9
hLAvQkbccefgggtugcmuwc,gLLPQcdcefffqsnmlkj,Face: 8
hLLAMkbdedffggdkugaoxj,gLLPQcdcefffqsnmlkj,Face: 6
hLLMMkbcdeffgglrwdmrmn,gLLPQcdcefffqsnmlkj,Face: 5
hLLAAkcedeefggahvdixhj,gLLPQcdcefffqsnmlkj,Face: 3
hLALMkbcbfeggghxjabugc,gLLPQcdcefffqsnmlkj,Face: 2
hLLAAkbdeeefggdguumahj,gLLPQcdcefffqsnmlkj,Face: 1
hLALAkbbceffggxmvsppcj,gLAMPbbcdeffdhgqqxr,Face: 12
hLLAAkceedefgglumnmaxj,gLAMPbbcdeffdhgqqxr,Face: 11
hLAMLkbccdegggdiguhcrv,gLAMPbbcdeffdhgqqxr,Face: 8
hLALPkbcbefgggxhjspqnn,gLAMPbbcdeffdhgqqxr,Face: 5
hLAMLkbcbdeggghxjxafow,gLAMPbbcdeffdhgqqxr,Face: 3
hLAMzkaccdefggjgnxhhxj,gLAMPbbcdeffdhgqqxr,Face: 2
hLAMzkaccdefggngbqqqhk,gLAMPbbcdeffdhgqqxr,Face: 1
hLALAkaccfefggjgnebpjw,gLLAQaceefffnktxeix,Face: 12
hLALAkacceffggngbslqjj,gLLAQaceefffnktxeix,Face: 11
hLLLQkadegfgfgjpxrsrgn,gLLAQaceefffnktxeix,Face: 10
hLALAkbbceffggxmvsppcj,gLLAQaceefffnktxeix,Face: 9
hLLLQkacefggfgnkjrkjkj,gLLAQaceefffnktxeix,Face: 8
hLLAMkcdeeegggpgmamfks,gLLAQaceefffnktxeix,Face: 7
hLLPMkbddeeggglvgeeaph,gLLAQaceefffnktxeix,Face: 5
hLLAPkcddeegggacvqwgsj,gLLAQaceefffnktxeix,Face: 4
hLLAAkceedefggalxnxhqn,gLLAQaceefffnktxeix,Face: 3
hLLPMkacedegggjkxscpax,gLLAQaceefffnktxeix,Face: 2
hLALAkbbceffggldooahfk,gLLAQaceefffnktxeix,Face: 1
hLAwAkbccdffggtugenbaj,gLALQbbcefffeivsipq,Face: 12
hLAwAkcbcdffgglegpwrqj,gLALQbbcefffeivsipq,Face: 11
hLAvQkbccefgggtugcmuwc,gLALQbbcefffeivsipq,Face: 10
hLAMLkbccdegggdiguhcrv,gLALQbbcefffeivsipq,Face: 9
hLAvQkbccefgggtugcmuwc,gLALQbbcefffeivsipq,Face: 8
hLLAMkbcdeegggtbbmtilm,gLALQbbcefffeivsipq,Face: 7
hLALPkbbcffgggldoqphhf,gLALQbbcefffeivsipq,Face: 5
hLAMLkbccdegggaajhxjgs,gLALQbbcefffeivsipq,Face: 4
hLALAkbbceffggtqjnaxvs,gLALQbbcefffeivsipq,Face: 3
gLLAQaceefffnktxeix,hLALAkaccfefggjgnebpjw,Edge: 11
gLALQbbcefffeivsipq,hLAwAkbccdffggtugenbaj,Edge: 10
gLLAQaceefffnktxeix,hLALAkacceffggngbslqjj,Edge: 11
gLALQbbcefffeivsipq,hLAwAkcbcdffgglegpwrqj,Edge: 10
gLALQbbcefffeivsipq,hLAvQkbccefgggtugcmuwc,Edge: 11
gLLAQaceefffnktxeix,hLALAkbbceffggxmvsppcj,Edge: 11
gLALQbbcefffeivsipq,hLAMLkbccdegggdiguhcrv,Edge: 10
