id,oriented,tetrahedra
fLAMcbbcdeedhrxqw,1,5
gLALQbcbeeffxhjcras,1,6
gLALQbcbeeffhxjnkqj,1,6
gLLPQcdcefffqsnmlkj,1,6
gLAMPbbcdeffdhgqqxr,1,6
gLLAQaceefffnktxeix,-1,6
gLALQbbcefffeivsipq,-1,6
hLALAkaccfefggjgnebpjw,-1,7
hLLAAkaedeefggnmaekkxr,1,7
hLAwAkbccdffggtugenbaj,-1,7
hLALPkbcbfgfgghxjaqlmw,-1,7
hLALAkbcbeefggxhjsjhak,-1,7
hLALPkbcbefgfghxjgaqnw,1,7
hLALAkacceffggngbslqjj,-1,7
hLLMAkaddeefggnuadjnhk,1,7
hLAwAkcbcdffgglegpwrqj,-1,7
hLALPkbcbffggghxjeittc,-1,7
hLALAkbcbeefgghxjgsaaj,-1,7
hLAMzkaccdefggnsnxxqhk,-1,7
hLLAAkcddeefgglcvatnxj,1,7
hLLAAkcedefeggthvaxaqw,1,7
hLLPAkcdcfefggqsnaislk,1,7
hLvPQkccgfefgghnaqqcwn,-1,7
hLAvQkbccefgggtugcmuwc,-1,7
hLLAMkbdedffggdkugaoxj,-1,7
hLLMMkbcdeffgglrwdmrmn,-1,7
hLLAAkcedeefggahvdixhj,-1,7
hLALMkbcbfeggghxjabugc,-1,7
hLLAAkbdeeefggdguumahj,-1,7
hLALAkbbceffggxmvsppcj,-1,7
hLLAAkceedefgglumnmaxj,-1,7
hLAMLkbccdegggdiguhcrv,-1,7
hLALPkbcbefgggxhjspqnn,-1,7
hLAMLkbcbdeggghxjxafow,-1,7
hLAMzkaccdefggjgnxhhxj,-1,7
hLAMzkaccdefggngbqqqhk,1,7
hLLLQkadegfgfgjpxrsrgn,-1,7
hLLLQkacefggfgnkjrkjkj,-1,7
hLLAMkcdeeegggpgmamfks,-1,7
hLLPMkbddeeggglvgeeaph,-1,7
hLLAPkcddeegggacvqwgsj,-1,7
hLLAAkceedefggalxnxhqn,-1,7
hLLPMkacedegggjkxscpax,-1,7
hLALAkbbceffggldooahfk,-1,7
hLLAMkbcdeegggtbbmtilm,-1,7
hLALPkbbcffgggldoqphhf,-1,7
hLAMLkbccdegggaajhxjgs,-1,7
hLALAkbbceffggtqjnaxvs,-1,7
