id,oriented,tetrahedra
fLAMcbbcdeedhrxxk,1,5
gLALQbcbeeffhhwcras,1,6
gLALQbcbeeffxxnnkqj,1,6
gLLPQcdcefffhsrmlkj,1,6
gLAMPbbcdeffdhgqqqs,1,6
gLLAQacddfffjkamxul,-1,6
gLALQbbcefffeivsppd,-1,6
hLALAkaccfefggjgnebpfn,-1,7
hLLAAkaedeefggnmaekkqj,1,7
hLAwAkbccdffggeikefkar,-1,7
hLALPkbcbfgfgghhwaieqn,-1,7
hLALAkbcbeefgghhwsjhak,-1,7
hLALPkbcbefgfgxxngaqnw,1,7
hLALAkacceffggngbslqsw,-1,7
hLLMAkaddeefggnuadjnqj,1,7
hLAwAkbccdffggdmgdsjxn,-1,7
hLALPkbcbffgggxxneittc,-1,7
hLALAkbcbeefggxxngsaaj,-1,7
hLAMzkaccdefggnsnxxqqj,-1,7
hLLAAkcddeefgglcvatnhw,1,7
hLLAAkcedefeggthvaxaxk,1,7
hLLPAkcdcfefgghsraislk,1,7
hLvPQkccgfefgghrahhvvo,-1,7
hLALPkbccefgggeikbhxsc,-1,7
hLALPkbccefgggeikbldjr,-1,7
hLLAMkbdedffggdkugaohw,-1,7
hLLMMkbcdeffgglrwdmrlr,-1,7
hLLAAkcedeefggahvdixxn,-1,7
hLALMkbcbfeggghhwavusk,-1,7
hLLAAkbdeeefggdguumaxn,-1,7
hLALAkbbceffggxmvsppnw,-1,7
hLLAAkceedefgglumnmahw,-1,7
hLAMLkbccdegggdmgdqscv,-1,7
hLALPkbcbefggghhwspqnn,-1,7
hLAMLkbcbdeggghhwhakof,-1,7
hLAMzkaccdefggjgnxhhhw,-1,7
hLAMzkaccdefggngbqqqqj,1,7
hLLLQkadefggfgnixgkkcr,-1,7
hLLLQkacfeggfgjkgrkfkw,-1,7
hLLAPkceedfgggptpoucon,-1,7
hLLAMkbcdeegggdfbxdlhx,-1,7
hLLAPkcddeegggacvxngsj,-1,7
hLLAAkceedefggalxnxhhr,-1,7
hLMLPkbbdfefggdharjbqj,-1,7
hLALAkbbceffggldooahsr,-1,7
hLLAMkbcdeegggebbthqpt,-1,7
hLAMLkbccdegggapkmhvsj,-1,7
hLALPkbbcefgggtqjgxxcv,-1,7
hLALPkbbcfggfgdhraqhxn,-1,7
hLALAkbbceffggldooulgn,-1,7
gLLAQacddfffnkaixul,-1,6
hLALAkaccfefggjgndblcr,-1,7
hLALAkacceffggngbstqsj,-1,7
hLLLQkacfeggfgnkgjkkwr,-1,7
hLALAkbbceffggxmvsuugs,-1,7
hLLLQkadefggfgjmxgkkcr,-1,7
hLLPPkccdfgggfqffqwrvk,-1,7
hLLAAkceedefggtlxnxhhn,-1,7
