target,source,label
gLALQbcbeeffhhjsjhn,fLAMcbbcdeeemkxxj,Face: 10
gLAMPaccdeffjgbqhhj,fLAMcbbcdeeemkxxj,Face: 9
gLLPQcdcefffhsnalwn,fLAMcbbcdeeemkxxj,Face: 8
gLALQbcbeeffxxjgban,fLAMcbbcdeeemkxxj,Face: 7
gLLAQacddfffnkamupx,fLAMcbbcdeeemkxxj,Face: 5
gLALQbbceffftdjneqe,fLAMcbbcdeeemkxxj,Face: 3
hLALMkacceffggjgbsddwj,gLALQbcbeeffhhjsjhn,Face: 12
hLLMAkaddeefggjuadjvxj,gLALQbcbeeffhhjsjhn,Face: 10
hLAwAkcbcdffgglegesjxr,gLALQbcbeeffhhjsjhn,Face: 8
hLALPkbcbfgfgghhjuelev,gLALQbcbeeffhhjsjhn,Face: 5
hLALAkbcbeefgghhjcraaj,gLALQbcbeeffhhjsjhn,Face: 4
hLAMzkaccdefggjsnxxxxj,gLALQbcbeeffhhjsjhn,Face: 3
hLAzAkacceffggjgbktxkn,gLAMPaccdeffjgbqhhj,Face: 12
hLLAAkacdeefggjkadjdqn,gLAMPaccdeffjgbqhhj,Face: 10
hLAwAkcbcdffggpmgurwxk,gLAMPaccdeffjgbqhhj,Face: 8
hLALPkcbbfggfghhklmmxf,gLAMPaccdeffjgbqhhj,Face: 5
hLAPzkbcbeefgghhjjchar,gLAMPaccdeffjgbqhhj,Face: 2
hLAMzkaccdefggjsnxhqqw,gLAMPaccdeffjgbqhhj,Face: 1
hLLPAkcdcfefgghsndtnhw,gLLPQcdcefffhsnalwn,Face: 12
hLLAAkcedefegglhvahahn,gLLPQcdcefffhsnalwn,Face: 11
hLLAAkbcedefggtsafaoqn,gLLPQcdcefffhsnalwn,Face: 10
hLLAAkccedefggqfmfajxr,gLLPQcdcefffhsnalwn,Face: 9
hLALPkcbcegfggudbsadnj,gLLPQcdcefffhsnalwn,Face: 8
hLLAAkbdedffggerdgasqj,gLLPQcdcefffhsnalwn,Face: 7
hLLAAkbddeffggdwgumvew,gLLPQcdcefffhsnalwn,Face: 5
hLLAAkcedeefggatvuhxxj,gLLPQcdcefffhsnalwn,Face: 3
hLLAAkcedeefggapvdiqqn,gLLPQcdcefffhsnalwn,Face: 2
hLALMkbcbfeggghhjavtco,gLLPQcdcefffhsnalwn,Face: 1
fLAMcaccdeejsnqhn,gLALQbcbeeffxxjgban,Edge: 9
hLALMkaccfefggjgbpbqbw,gLALQbcbeeffxxjgban,Face: 12
hLLAAkaedeefggnaaeknhj,gLALQbcbeeffxxjgban,Face: 10
hLAwAkbccdffggdigdgbaj,gLALQbcbeeffxxjgban,Face: 8
hLALPkbcbffgggxxjatuak,gLALQbcbeeffxxjgban,Face: 5
hLALAkbcbeefggxxjskqaw,gLALQbcbeeffxxjgban,Face: 4
hLAMzkaccdefggjsnxahhk,gLALQbcbeeffxxjgban,Face: 3
hLALMkacceffggjgbsddwj,gLLAQacddfffnkamupx,Face: 12
hLAzAkacceffggjgbktxkn,gLLAQacddfffnkamupx,Face: 11
hLLLQkadefggfgjixgbocw,gLLAQacddfffnkamupx,Face: 10
hLALMkaccfefggjgbpbqbw,gLLAQacddfffnkamupx,Face: 9
hLLLQkacfeggfgnkgskcsw,gLLAQacddfffnkamupx,Face: 8
hLLAPkceedfggguuivajgv,gLLAQacddfffnkamupx,Face: 6
hLLAMkbcdeegggebblemxp,gLLAQacddfffnkamupx,Face: 5
hLLAPkcddeegggacvxrjgn,gLLAQacddfffnkamupx,Face: 4
hLALAkbbceffggemnoahsn,gLLAQacddfffnkamupx,Face: 3
hLMLPkbbdegffgemdvlbkn,gLLAQacddfffnkamupx,Face: 2
hLLAAkceedefggalpkxqqn,gLLAQacddfffnkamupx,Face: 1
hLAwAkcbcdffgglegesjxr,gLALQbbceffftdjneqe,Face: 12
hLAwAkcbcdffggpmgurwxk,gLALQbbceffftdjneqe,Face: 11
hLALPkcbcegfggudbsadnj,gLALQbbceffftdjneqe,Face: 10
hLAwAkbccdffggdigdgbaj,gLALQbbceffftdjneqe,Face: 9
hLALPkcbcegfggudbsadnj,gLALQbbceffftdjneqe,Face: 8
hLLAMkbcdeegggebblemxp,gLALQbbceffftdjneqe,Face: 7
hLLAMkbcdeegggebblemxp,gLALQbbceffftdjneqe,Face: 6
hLAMLkbccdegggaajhhsrv,gLALQbbceffftdjneqe,Face: 5
hLALAkbbceffggemnoahsn,gLALQbbceffftdjneqe,Face: 4
hLALPkbbcfggfgemnhhhlg,gLALQbbceffftdjneqe,Face: 3
hLALAkbbceffggemnoahsn,gLALQbbceffftdjneqe,Face: 1
gLLAQacddfffnkamupx,hLALMkacceffggjgbsddwj,Edge: 11
gLALQbbceffftdjneqe,hLAwAkcbcdffgglegesjxr,Edge: 10
gLLAQacddfffnkamupx,hLAzAkacceffggjgbktxkn,Edge: 11
gLALQbbceffftdjneqe,hLAwAkcbcdffggpmgurwxk,Edge: 10
gLLAQcceeefflnmqmxj,hLLAAkccedefggqfmfajxr,Edge: 9
gLALQbbceffftdjneqe,hLALPkcbcegfggudbsadnj,Edge: 11
gLAPPcbceeffudbgsqs,fLAMcaccdeejsnqhn,Face: 10
gLLQPacdeeffjkdlcpw,fLAMcaccdeejsnqhn,Face: 9
gLLAQcceeefflnmqmxj,fLAMcaccdeejsnqhn,Face: 5
gLLAQcceeefflnmqmxj,fLAMcaccdeejsnqhn,Face: 4
gLLQPacdedffjsxanqw,fLAMcaccdeejsnqhn,Face: 1
gLLAQacddfffnkamupx,hLALMkaccfefggjgbpbqbw,Edge: 11
gLAPPcbceeffudbgsqs,hLAwAkbccdffggdigdgbaj,Edge: 11
gLALQbbceffftdjneqe,hLAwAkbccdffggdigdgbaj,Edge: 10
gLALQbbceffftdjneqe,hLLAMkbcdeegggebblemxp,Edge: 10
gLALQbbceffftdjneqe,hLALAkbbceffggemnoahsn,Edge: 10
fLAMcaccdeejsnqhn,gLLAQcceeefflnmqmxj,Edge: 8
hLALPkbccfggfgdiguidev,gLLAQcceeefflnmqmxj,Face: 12
hLLMMkbcdeffggdfbltklj,gLLAQcceeefflnmqmxj,Face: 11
hLLMMkbceeffggtsdxawnk,gLLAQcceeefflnmqmxj,Face: 9
hLLAAkbddeefggasklxcqn,gLLAQcceeefflnmqmxj,Face: 7
hLLAAkbecdefggamrfisqw,gLLAQcceeefflnmqmxj,Face: 6
hLLLQkbdfegggfxvhmdvrk,gLLAQcceeefflnmqmxj,Face: 5
hLLPAkbddeefggdwsmlwqn,gLLAQcceeefflnmqmxj,Face: 4
hLLAAkceddefggtavnecqn,gLLAQcceeefflnmqmxj,Face: 3
hLLAMkbdedfgfgesdwxxkj,gLLAQcceeefflnmqmxj,Face: 1
hLALPkbccfggfgdiguidev,gLAPPcbceeffudbgsqs,Face: 12
hLALPkbccfggfgdiguidev,gLAPPcbceeffudbgsqs,Face: 11
hLAwAkbccdffggdigdgbaj,gLAPPcbceeffudbgsqs,Face: 9
hLALPkbccegffgdignumjr,gLAPPcbceeffudbgsqs,Face: 8
hLLPAkcdeffegglwaddlpj,gLAPPcbceeffudbgsqs,Face: 7
hLAwAkcbcdffggaakhcsqj,gLAPPcbceeffudbgsqs,Face: 5
hLALAkacceffggjsnsaqon,gLAPPcbceeffudbgsqs,Face: 4
hLALPkaccfgfggjsnaeqtj,gLAPPcbceeffudbgsqs,Face: 3
hLLAMkbdedffgglvdgakek,gLLQPacdeeffjkdlcpw,Face: 11
hLLAAkbdedffgglvaguken,gLLQPacdeeffjkdlcpw,Face: 10
hLLMAkbcdeffggdfbtqfur,gLLQPacdeeffjkdlcpw,Face: 9
hLLMMkbcdeffggdfbltklj,gLLQPacdeeffjkdlcpw,Face: 8
hLvQAkaefdefggjhqhbwaj,gLLQPacdeeffjkdlcpw,Face: 6
hLLAMkcedefgfgqpvtxwkj,gLLQPacdeeffjkdlcpw,Face: 5
hLLAAkacdeefggnkadouxk,gLLQPacdeeffjkdlcpw,Face: 4
hLLPMkaddeffggnaqdfnmj,gLLQPacdeeffjkdlcpw,Face: 3
hLLAMkaedeffggnaaqcwhr,gLLQPacdeeffjkdlcpw,Face: 2
hLLAAkcedcffgghavnuser,gLLQPacdeeffjkdlcpw,Face: 1
hLALPkbccegffgdignumjr,gLLQPacdedffjsxanqw,Face: 12
hLLLQkaeedffggnlisrrjj,gLLQPacdedffjsxanqw,Face: 11
hLALPkbccegffgdignumjr,gLLQPacdedffjsxanqw,Face: 10
hLLAMkbddefgfgtvnuaxrr,gLLQPacdedffjsxanqw,Face: 7
hLLLQkcedffeggthfeengr,gLLQPacdedffjsxanqw,Face: 4
hLLAMkacdefgfgnsxxahks,gLLQPacdedffjsxanqw,Face: 3
gLAPPcbceeffudbgsqs,hLALPkbccfggfgdiguidev,Edge: 14
gLLQPacdeeffjkdlcpw,hLLMMkbcdeffggdfbltklj,Edge: 11
gLLQPacdedffjsxanqw,hLALPkbccegffgdignumjr,Edge: 11
gLLQPacdedffjsxanqw,hLALPkbccegffgdignumjr,Edge: 10
