id,oriented,tetrahedra
fLAMcbccdeehhnxhs,1,5
gLLPQcdcfeffqsneqcs,0,6
gLLAQcceeeffljiadxj,0,6
gLLAQbcdeeffhvbmtwn,1,6
gLALQbcbfeffhhjdvdq,-1,6
gLALQbccefffxxgodqm,-1,6
hLLMAkbcdfefgglskmqrhr,0,7
hLALPkcbbegfgghqnomxgf,0,7
hLLAAkccdeefggqgvuqchj,-1,7
hLLAAkccdeefggifveukhk,-1,7
hLAvQkbccegfggtugcqpgn,-1,7
hLLAMkbdedffggdoarxvew,-1,7
hLLAAkcedeefgghavthxhk,-1,7
hLLAAkccedefggqfakdnhs,-1,7
hLLPAkcdceffggqsnpunhj,-1,7
hLLAAkbcedefggasxfashn,0,7
hLLMMkbcdeffgglsbhtrhr,0,7
hLLMAkbdedefggpgafmgqw,-1,7
hLLAAkccedefggqgifqsxr,0,7
hLLMMkbcdefgfgebbuuqwn,0,7
hLALPkbccfggfgdigdidqv,-1,7
hLLMMkbcdeffggtkbhxkiw,0,7
hLLAAkbcedefggajhfajxr,0,7
hLLAAkceddefggahvklcqn,-1,7
hLLLQkbefegggfdaquhxwn,-1,7
hLLAMkbddefgfgtvnuhqjw,-1,7
hLvAQkaefgefggnhqonfjk,-1,7
hLLLQkacefggfgnkfjkofw,1,7
hLLMMkccdfefggqjvhinpr,1,7
hLvAQkadfeggfgnaqnwbcw,-1,7
hLLLQkbdgfegfgtvxxtscb,-1,7
hLLAPkbdedgfgglvaggnvk,-1,7
hLLAPkaedegfggnaaqqwxh,-1,7
hLLLQkbdfefgfgxrahxnkr,-1,7
hLLAAkccedefgghfandkqw,-1,7
hLALPkbcbefgggxxjneabk,-1,7
hLALPkbcbefgggxxjvtabk,-1,7
hLAwMkbccdfgggdigdgddx,-1,7
hLALAkbccfefggmejejxkk,-1,7
hLLMAkbedeefggmafdhxhk,-1,7
hLAMzkbccdefgghhnqahhj,-1,7
hLLLQkcdfgffgghsixlkfw,-1,7
hLAwMkbccdfgggaasxrxhq,-1,7
hLALPkbccfgfgghhnadxmk,-1,7
hLALAkbcceffgghhnnaxvs,-1,7
gLAPPbcbeeffhxjknak,1,6
gLLQPacdedffjsaajxr,1,6
hLAwAkbccdffggdigurwar,-1,7
hLLAAkbddcffggevjjgrpj,-1,7
hLAwMkbcbdffggxhjqkbqs,-1,7
hLAPzkbcbeefgghxjgsxxj,-1,7
hLALPkbccegffgdigsmmww,-1,7
hLLLQkaeefdfggjtxgjcjj,1,7
hLLAMkacdefgfgnsxxxxjj,-1,7
