target,source,label
gLLPQcdcfeffqsjeqcs,fLAMcbccdeehhnxhw,Face: 10
gLLAQcceeeffljiadxn,fLAMcbccdeehhnxhw,Face: 8
gLLAQbcdeeffhvbmtwr,fLAMcbccdeehhnxhw,Face: 6
gLALQbcbfeffhhwdvdq,fLAMcbccdeehhnxhw,Face: 5
gLALQbccefffeikbxpi,fLAMcbccdeehhnxhw,Face: 3
hLLMAkbcdfefgglskmqrhn,gLLPQcdcfeffqsjeqcs,Face: 12
hLALPkcbbegfgghqjomxgf,gLLPQcdcfeffqsjeqcs,Face: 11
hLLAAkccdeefggqgvuqchw,gLLPQcdcfeffqsjeqcs,Face: 10
hLLAAkccdeefggifveukhr,gLLPQcdcfeffqsjeqcs,Face: 9
hLAvQkbccefgggtpksuegn,gLLPQcdcfeffqsjeqcs,Face: 8
hLAvQkbccefgggtpksuawo,gLLPQcdcfeffqsjeqcs,Face: 7
hLLAMkbdedffggdoarxves,gLLPQcdcfeffqsjeqcs,Face: 6
hLLAAkcedeefgghavthxhr,gLLPQcdcfeffqsjeqcs,Face: 4
hLLAAkccedefggqfakdnhw,gLLPQcdcfeffqsjeqcs,Face: 3
hLLPAkcdceffggqsjpunhj,gLLPQcdcfeffqsjeqcs,Face: 2
hLLAAkbcedefggasxfashr,gLLPQcdcfeffqsjeqcs,Face: 1
hLLMMkbcdeffgglsbhtrhk,gLLAQcceeeffljiadxn,Face: 12
hLLMAkbdedefggpgafmgqj,gLLAQcceeeffljiadxn,Face: 11
hLLAAkccedefggqgifqsxk,gLLAQcceeeffljiadxn,Face: 10
hLLMMkbcdefgfgebbuuqwj,gLLAQcceeeffljiadxn,Face: 9
hLALPkbccfggfgdmgdidqv,gLLAQcceeeffljiadxn,Face: 8
hLALPkbccffgggtpkdueqg,gLLAQcceeeffljiadxn,Face: 7
hLLMMkbcdeffggtkbhxkis,gLLAQcceeeffljiadxn,Face: 6
hLLAAkbcedefggajhfajxk,gLLAQcceeeffljiadxn,Face: 4
hLLAAkceddefggahvklcqj,gLLAQcceeeffljiadxn,Face: 3
hLLLQkbefegggfdaquhxwj,gLLAQcceeeffljiadxn,Face: 2
hLLAMkbddefgfgtvnuhqjs,gLLAQcceeeffljiadxn,Face: 1
hLLMAkbcdfefgglskmqrhn,gLLAQbcdeeffhvbmtwr,Face: 12
hLvAQkaefgefggjhqonfjk,gLLAQbcdeeffhvbmtwr,Face: 11
hLLMMkbcdeffgglsbhtrhk,gLLAQbcdeeffhvbmtwr,Face: 10
hLLLQkacefggfgjkfjkofw,gLLAQbcdeeffhvbmtwr,Face: 9
hLLMMkccdfefggqjvhinpk,gLLAQbcdeeffhvbmtwr,Face: 8
hLvAQkadfeggfgjaqnwbcw,gLLAQbcdeeffhvbmtwr,Face: 7
hLLLQkbdgfegfglvxxtscb,gLLAQbcdeeffhvbmtwr,Face: 6
hLLAPkbdedgfggtvaggnvk,gLLAQbcdeeffhvbmtwr,Face: 4
hLLAPkaedegfggjaaqqwxh,gLLAQbcdeeffhvbmtwr,Face: 3
hLLLQkbdfefgfgxrahxnkk,gLLAQbcdeeffhvbmtwr,Face: 2
hLLAAkccedefgghfandkqs,gLLAQbcdeeffhvbmtwr,Face: 1
hLALPkbcbefgggxxnneabk,gLALQbcbfeffhhwdvdq,Face: 12
hLALPkbcbefgggxxnvtabk,gLALQbcbfeffhhwdvdq,Face: 10
hLAwMkbccdfgggdmgdgddx,gLALQbcbfeffhhwdvdq,Face: 8
hLALAkbccfefggmejejxkj,gLALQbcbfeffhhwdvdq,Face: 7
hLLMAkbedeefggmafdhxhr,gLALQbcbfeffhhwdvdq,Face: 3
hLAMzkbccdefgghhnqahhw,gLALQbcbfeffhhwdvdq,Face: 2
hLAvQkbccefgggtpksuegn,gLALQbccefffeikbxpi,Face: 12
hLAvQkbccefgggtpksuawo,gLALQbccefffeikbxpi,Face: 11
hLALPkbccfggfgdmgdidqv,gLALQbccefffeikbxpi,Face: 10
hLALPkbccffgggtpkdueqg,gLALQbccefffeikbxpi,Face: 9
hLLLQkcdffggfguwxxujso,gLALQbccefffeikbxpi,Face: 8
hLAwMkbccdfgggdmgdgddx,gLALQbccefffeikbxpi,Face: 7
hLLLQkcdfgffgghsixlkfn,gLALQbccefffeikbxpi,Face: 6
hLAwMkbccdfgggaurirxhq,gLALQbccefffeikbxpi,Face: 5
hLALPkbccfgfgghhnahxar,gLALQbccefffeikbxpi,Face: 4
hLALAkbcceffgghhnnmxvs,gLALQbccefffeikbxpi,Face: 3
hLALAkbcceffgghhnnaxvw,gLALQbccefffeikbxpi,Face: 2
hLALPkcbcefgggqqgbxxfo,gLALQbccefffeikbxpi,Face: 1
gLLAQbcdeeffhvbmtwr,hLLMAkbcdfefgglskmqrhn,Edge: 11
gLAPPbcbeeffhxwknak,hLALPkcbbegfgghqjomxgf,Edge: 9
gLALQbccefffeikbxpi,hLAvQkbccefgggtpksuegn,Edge: 10
gLALQbccefffeikbxpi,hLAvQkbccefgggtpksuawo,Edge: 10
gLAPPbcbeeffhxwknak,hLLPAkcdceffggqsjpunhj,Edge: 11
gLLAQbcdeeffhvbmtwr,hLLMMkbcdeffgglsbhtrhk,Edge: 11
gLLQPacdedffjsaajxk,hLLMMkbcdefgfgebbuuqwj,Edge: 9
gLALQbccefffeikbxpi,hLALPkbccfggfgdmgdidqv,Edge: 10
gLALQbccefffeikbxpi,hLALPkbccffgggtpkdueqg,Edge: 10
gLLQPacdedffjsaajxk,hLLAMkbddefgfgtvnuhqjs,Edge: 11
gLALQbccefffeikbxpi,hLAwMkbccdfgggdmgdgddx,Edge: 11
hLAwAkbccdffggdmgurwar,gLAPPbcbeeffhxwknak,Face: 12
hLLAAkbddcffggevjngrpj,gLAPPbcbeeffhxwknak,Face: 11
