target,source,label
gLLPQcdcfeffqsnedjg,fLAMcbccdeehhsxhs,Face: 10
gLLAQcceeefftjiadxj,fLAMcbccdeehhsxhs,Face: 8
gLLAQbcdeeffxordhwr,fLAMcbccdeehhsxhs,Face: 6
gLLQPccddeffqjvshhj,fLAMcbccdeehhsxhs,Face: 5
gLALQbccefffxxfodqm,fLAMcbccdeehhsxhs,Face: 3
hLLLQkbdeegggfevxqmrsj,gLLPQcdcfeffqsnedjg,Face: 12
hLALPkcbbegfgghqnomlgf,gLLPQcdcfeffqsnedjg,Face: 11
hLvPQkccefgfggqnxhxjob,gLLPQcdcfeffqsnedjg,Face: 10
hLLAAkccdeefgghwvlukhk,gLLPQcdcfeffqsnedjg,Face: 9
hLAvQkbccegfggtugcqdgn,gLLPQcdcfeffqsnedjg,Face: 8
hLLAMkbdedffggdkarxvew,gLLPQcdcfeffqsnedjg,Face: 6
hLLAAkcedeefgghavxhxhk,gLLPQcdcfeffqsnedjg,Face: 4
hLLAAkccedefggqfanqjqn,gLLPQcdcfeffqsnedjg,Face: 3
hLLPAkcdceffggqsnpqnhj,gLLPQcdcfeffqsnedjg,Face: 2
hLLAAkbcedefggasxflshn,gLLPQcdcfeffqsnedjg,Face: 1
hLLMMkbcdeffgglsbhxker,gLLAQcceeefftjiadxj,Face: 12
hLLAAkbcedefggtjhftjqw,gLLAQcceeefftjiadxj,Face: 11
hLLLQkbefegggfeihihxvk,gLLAQcceeefftjiadxj,Face: 10
hLLMMkbcdefgfgebbuuqjn,gLLAQcceeefftjiadxj,Face: 9
hLALPkbccfggfgdigdixqv,gLLAQcceeefftjiadxj,Face: 8
hLLMMkbcdeffgglkbhxkiw,gLLAQcceeefftjiadxj,Face: 6
hLLAAkbcedefggajhftjxr,gLLAQcceeefftjiadxj,Face: 4
hLLAAkceddefggahvkacqn,gLLAQcceeefftjiadxj,Face: 3
hLLLQkbefegggfeaqihxvn,gLLAQcceeefftjiadxj,Face: 2
hLLAMkbddefgfglvnuhqjw,gLLAQcceeefftjiadxj,Face: 1
hLLLQkbdeegggfevxqmrsj,gLLAQbcdeeffxordhwr,Face: 12
hLvAQkaefgefggnlqonfjk,gLLAQbcdeeffxordhwr,Face: 11
hLLMMkbcdeffgglsbhxker,gLLAQbcdeeffxordhwr,Face: 10
