target,source,label
gLLPQcdcfeffhsnedjg,fLAMcbccdeehhsxxj,Face: 10
gLLAQcceeefftjiadhj,fLAMcbccdeehhsxxj,Face: 8
gLLAQbcdeeffxordhrw,fLAMcbccdeehhsxxj,Face: 6
gLLQPccddeffqjvshxj,fLAMcbccdeehhsxxj,Face: 5
gLALQbccefffxxfolxm,fLAMcbccdeehhsxxj,Face: 3
hLLLQkbdeeggfgevxqmrjj,gLLPQcdcfeffhsnedjg,Face: 12
hLALPkcbbegfgghhkomlgf,gLLPQcdcfeffhsnedjg,Face: 11
hLvPQkccefgfgghnxhxjob,gLLPQcdcfeffhsnedjg,Face: 10
hLLAAkccdeefgghwvlukqn,gLLPQcdcfeffhsnedjg,Face: 9
hLALPkcbcefgggudbsimvj,gLLPQcdcfeffhsnedjg,Face: 8
hLLAMkbdedffggdkarxvir,gLLPQcdcfeffhsnedjg,Face: 6
hLLAAkcedeefgghavxhxqn,gLLPQcdcfeffhsnedjg,Face: 4
hLLAAkccedefggqfanqjhn,gLLPQcdcfeffhsnedjg,Face: 3
hLLPAkcdceffgghsnpqnhj,gLLPQcdcfeffhsnedjg,Face: 2
hLLAAkbcedefggasxflsqn,gLLPQcdcfeffhsnedjg,Face: 1
hLLMMkbcdeffgglsbhxkiw,gLLAQcceeefftjiadhj,Face: 12
hLLAAkbcedefggtjhftjxr,gLLAQcceeefftjiadhj,Face: 11
hLLLQkbefegggfeiqihxvn,gLLAQcceeefftjiadhj,Face: 10
hLLMMkbcdefgfgebbuuhjk,gLLAQcceeefftjiadhj,Face: 9
hLALPkbccfggfgdigdixqj,gLLAQcceeefftjiadhj,Face: 8
hLLMMkbcdeffgglkbhxker,gLLAQcceeefftjiadhj,Face: 6
hLLAAkbcedefggajhftjqw,gLLAQcceeefftjiadhj,Face: 4
hLLAAkceddefggahvkachn,gLLAQcceeefftjiadhj,Face: 3
hLLLQkbefegggfeahihxvk,gLLAQcceeefftjiadhj,Face: 2
hLLAMkbddefgfglvnuhxjr,gLLAQcceeefftjiadhj,Face: 1
hLLLQkbdeeggfgevxqmrjj,gLLAQbcdeeffxordhrw,Face: 12
hLvAQkaefefgggnuqkvwfw,gLLAQbcdeeffxordhrw,Face: 11
hLLMMkbcdeffgglsbhxkiw,gLLAQbcdeeffxordhrw,Face: 10
hLLLQkacefggfgnkbrvckw,gLLAQbcdeeffxordhrw,Face: 9
hLLMMkccdfefggqjvhuntw,gLLAQbcdeeffxordhrw,Face: 8
hLLPMkcdeffgfgqkhuubkk,gLLAQbcdeeffxordhrw,Face: 7
hLLLQkcddffgggtgfajrbj,gLLAQbcdeeffxordhrw,Face: 5
hLLAPkbdedfggglvagkcjo,gLLAQbcdeeffxordhrw,Face: 4
hLLLQkbeffgefgxxamlhbj,gLLAQbcdeeffxordhrw,Face: 3
hLLLQkaeefgfggjaxgwbrf,gLLAQbcdeeffxordhrw,Face: 2
hLLAAkcecdefggqackqkhk,gLLAQbcdeeffxordhrw,Face: 1
hLLAAkbcdeefgglsohhfqw,gLLQPccddeffqjvshxj,Face: 12
hLLAAkbcedefgghvafpcqw,gLLQPccddeffqjvshxj,Face: 10
hLALPkbccegfggdignuunk,gLLQPccddeffqjvshxj,Face: 8
hLLAAkcddeffggpknamodr,gLLQPccddeffqjvshxj,Face: 7
hLLMAkbeedfeggahxfaqhs,gLLQPccddeffqjvshxj,Face: 3
hLLMAkbcefeeggxoudmmhs,gLLQPccddeffqjvshxj,Face: 2
hLALPkcbcefgggudbsimvj,gLALQbccefffxxfolxm,Face: 12
hLALPkcbcefgggudbsimvj,gLALQbccefffxxfolxm,Face: 11
hLALPkbccfggfgdigdixqj,gLALQbccefffxxfolxm,Face: 10
hLALPkbccfggfgdigdixqj,gLALQbccefffxxfolxm,Face: 9
hLLLQkcdfgfggfhsqxlgfn,gLALQbccefffxxfolxm,Face: 8
hLALPkbccegfggdignuunk,gLALQbccefffxxfolxm,Face: 7
hLAwMkbccdfgggaajhfxhq,gLALQbccefffxxfolxm,Face: 5
hLALAkcbceffggqqvoaxsk,gLALQbccefffxxfolxm,Face: 4
hLALPkbccfgfggxxfalqun,gLALQbccefffxxfolxm,Face: 3
gLLAQbcdeeffxordhrw,hLLLQkbdeeggfgevxqmrjj,Edge: 11
gLAPPbcbeeffhhjcraw,hLALPkcbbegfgghhkomlgf,Edge: 9
gLALQbccefffxxfolxm,hLALPkcbcefgggudbsimvj,Edge: 10
gLAPPbcbeeffhhjcraw,hLLPAkcdceffgghsnpqnhj,Edge: 11
gLLAQbcdeeffxordhrw,hLLMMkbcdeffgglsbhxkiw,Edge: 11
gLLQPacdedffnkaajxr,hLLMMkbcdefgfgebbuuhjk,Edge: 9
gLALQbccefffxxfolxm,hLALPkbccfggfgdigdixqj,Edge: 10
gLLQPacdedffnkaajxr,hLLAMkbddefgfglvnuhxjr,Edge: 11
gLALQbccefffxxfolxm,hLALPkbccegfggdignuunk,Edge: 10
hLAwAkcbcdffggpmguowar,gLAPPbcbeeffhhjcraw,Face: 12
hLLAAkbdcdffggevsskrpj,gLAPPbcbeeffhhjcraw,Face: 11
hLLPAkcdceffgghsnpqnhj,gLAPPbcbeeffhhjcraw,Face: 6
hLALPkcbbegffghhkwxhsj,gLAPPbcbeeffhhjcraw,Face: 5
hLAPzkbcbeefgghhjjshhj,gLAPPbcbeeffhhjcraw,Face: 4
hLLPAkcdceffgghsnpqnhj,gLAPPbcbeeffhhjcraw,Face: 3
hLALPkbccegffgdignmmwj,gLLQPacdedffnkaajxr,Face: 12
hLLLQkaeefdfggjlignrjj,gLLQPacdedffnkaajxr,Face: 11
hLLAMkbddefgfglvnuhxjr,gLLQPacdedffnkaajxr,Face: 7
hLLAMkbddefgfglvnuhxjr,gLLQPacdedffnkaajxr,Face: 6
hLLAMkacdefgfgjsxxxhjs,gLLQPacdedffnkaajxr,Face: 3
