target,source,label
gLLPQcdcfeffhsrlqgj,fLAMcbccdeemejlhw,Face: 10
gLLPQcdcfeffhoruqgj,fLAMcbccdeemejlhw,Face: 9
gLALQbcbfeffhxwxbhq,fLAMcbccdeemejlhw,Face: 6
gLLAQbcdeeffmvfxucj,fLAMcbccdeemejlhw,Face: 5
gLALQbccefffmejvldq,fLAMcbccdeemejlhw,Face: 3
hLLAAkccdeefgghkvaqcxn,gLLPQcdcfeffhsrlqgj,Face: 12
hLLMAkbddeffggmkfxarew,gLLPQcdcfeffhsrlqgj,Face: 11
hLvPQkccefggfghrmhunff,gLLPQcdcfeffhsrlqgj,Face: 10
hLALPkcbbegfgghhroixcj,gLLPQcdcfeffhsrlqgj,Face: 9
hLALPkbccegfggeikbdivj,gLLPQcdcfeffhsrlqgj,Face: 8
hLLAAkbddeffggpsfpeoxk,gLLPQcdcfeffhsrlqgj,Face: 7
hLALPkbccegfggeikbhiro,gLLPQcdcfeffhsrlqgj,Face: 6
hLLAAkcedeefggiavhtehw,gLLPQcdcfeffhsrlqgj,Face: 4
hLLAAkbcedefggabmfugqj,gLLPQcdcfeffhsrlqgj,Face: 3
hLLAAkccedefggdwavdnxn,gLLPQcdcfeffhsrlqgj,Face: 2
hLLAAkccedefggdwxkdjhw,gLLPQcdcfeffhsrlqgj,Face: 1
hLLAAkbcdeefggpjgplwqj,gLLPQcdcfeffhoruqgj,Face: 12
hLLAAkbddeefggxrrxqbhr,gLLPQcdcfeffhoruqgj,Face: 11
hLvPQkccegffgghrmamvjo,gLLPQcdcfeffhoruqgj,Face: 10
hLLMAkbddeffggmvoxarew,gLLPQcdcfeffhoruqgj,Face: 9
hLLMMkcddeffggdgntxkxr,gLLPQcdcfeffhoruqgj,Face: 8
hLALPkbccefggglugjheon,gLLPQcdcfeffhoruqgj,Face: 7
hLALPkbccegfggdmgoiuwv,gLLPQcdcfeffhoruqgj,Face: 6
hLLAAkbcedefggabtfqsqs,gLLPQcdcfeffhoruqgj,Face: 4
hLLAAkccedefggdwakujhw,gLLPQcdcfeffhoruqgj,Face: 3
hLLAAkccedefggdwxvdkxn,gLLPQcdcfeffhoruqgj,Face: 2
hLLMAkbceeefggagtexqhw,gLLPQcdcfeffhoruqgj,Face: 1
hLALPkbcbefggghxwndanf,gLALQbcbfeffhxwxbhq,Face: 12
hLALPkbcbffggghxwuttar,gLALQbcbfeffhxwxbhq,Face: 11
hLALAkbcceffgghhnnixkj,gLALQbcbfeffhxwxbhq,Face: 8
hLAwMkbccdfggglugegxhq,gLALQbcbfeffhxwxbhq,Face: 7
hLLAAkbedefeggxariluxn,gLALQbcbfeffhxwxbhq,Face: 3
hLAMzkbccdefggmejmaxhw,gLALQbcbfeffhxwxbhq,Face: 2
hLLMAkbddeffggmkfxarew,gLLAQbcdeeffmvfxucj,Face: 12
hLLMMkccdfefggdfvqlkxr,gLLAQbcdeeffmvfxucj,Face: 11
hLLMAkbddeffggmvoxarew,gLLAQbcdeeffmvfxucj,Face: 10
hLvAQkaefefgggjhqbfwjw,gLLAQbcdeeffmvfxucj,Face: 9
hLvPQkafeegfggjqxjsfsj,gLLAQbcdeeffmvfxucj,Face: 8
hLLMMkccdfefgghgvlifms,gLLAQbcdeeffmvfxucj,Face: 7
hLLLQkbdfgefgglvtltrfj,gLLAQbcdeeffmvfxucj,Face: 5
hLLAPkbdedfgggtvagfgrs,gLLAQbcdeeffmvfxucj,Face: 4
hLLAAkccedefggdgandkxk,gLLAQbcdeeffmvfxucj,Face: 3
hLLLQkcefdfgggaihkqvwk,gLLAQbcdeeffmvfxucj,Face: 2
hLLLQkaeefgfggnaxgosrn,gLLAQbcdeeffmvfxucj,Face: 1
hLALPkbccegfggeikbdivj,gLALQbccefffmejvldq,Face: 12
hLALPkbccefggglugjheon,gLALQbccefffmejvldq,Face: 11
hLALPkbccegfggdmgoiuwv,gLALQbccefffmejvldq,Face: 10
hLALPkbccegfggeikbhiro,gLALQbccefffmejvldq,Face: 9
hLAwMkbccdfggglugegxhq,gLALQbccefffmejvldq,Face: 8
hLLLQkcdffgggfdviplgfw,gLALQbccefffmejvldq,Face: 7
hLLLQkcdffgggfdviplgvn,gLALQbccefffmejvldq,Face: 6
hLALAkbcceffggmlbsaqor,gLALQbccefffmejvldq,Face: 5
hLALPkbccffgggmejalumr,gLALQbccefffmejvldq,Face: 4
hLALAkbcceffggmlbstqon,gLALQbccefffmejvldq,Face: 3
hLAvQkbccegfggmejbllgb,gLALQbccefffmejvldq,Face: 2
hLAwMkbccdfgggapkmrdxm,gLALQbccefffmejvldq,Face: 1
gLLAQbcdeeffmvfxucj,hLLMAkbddeffggmkfxarew,Edge: 11
gLALQbccefffmejvldq,hLALPkbccegfggeikbdivj,Edge: 10
gLALQbccefffmejvldq,hLALPkbccegfggeikbhiro,Edge: 10
gLLAQbcdeeffmvfxucj,hLLMAkbddeffggmvoxarew,Edge: 11
gLALQbccefffmejvldq,hLALPkbccefggglugjheon,Edge: 10
gLALQbccefffmejvldq,hLALPkbccegfggdmgoiuwv,Edge: 10
gLALQbccefffmejvldq,hLAwMkbccdfggglugegxhq,Edge: 11
