target,source,label
gLLPQcdcfeffqsnlqgj,fLAMcbccdeemejlxj,Face: 10
gLLPQcdcfeffqonuqgj,fLAMcbccdeemejlxj,Face: 9
gLALQbcbfeffhhjhvxq,fLAMcbccdeemejlxj,Face: 6
gLLAQbcdeeffmvfxukr,fLAMcbccdeemejlxj,Face: 5
gLALQbccefffmejvdlt,fLAMcbccdeemejlxj,Face: 3
hLLAAkccdeefgghkvaqchj,gLLPQcdcfeffqsnlqgj,Face: 12
hLLMAkbddeffggmkfxarpj,gLLPQcdcfeffqsnlqgj,Face: 11
hLvPQkccefggfgqnmhunff,gLLPQcdcfeffqsnlqgj,Face: 10
hLALPkcbbegfgghqnoixcj,gLLPQcdcfeffqsnlqgj,Face: 9
hLAvQkbccegfggtugcaprv,gLLPQcdcfeffqsnlqgj,Face: 8
hLLAAkbddeffggpsfpeohs,gLLPQcdcfeffqsnlqgj,Face: 7
hLLAAkcedeefggiavhtexj,gLLPQcdcfeffqsnlqgj,Face: 4
hLLAAkbcedefggabmfughn,gLLPQcdcfeffqsnlqgj,Face: 3
hLLAAkccedefggdwavdnhs,gLLPQcdcfeffqsnlqgj,Face: 2
hLLAAkccedefggdwxkdjxj,gLLPQcdcfeffqsnlqgj,Face: 1
hLLAAkbcdeefggpjgplwhn,gLLPQcdcfeffqonuqgj,Face: 12
hLLAAkbddeefggxrrxqbqn,gLLPQcdcfeffqonuqgj,Face: 11
hLvPQkccegffgghnaddcvg,gLLPQcdcfeffqonuqgj,Face: 10
hLLMAkbddeffggmvoxarpj,gLLPQcdcfeffqonuqgj,Face: 9
hLLMMkcddeffggdgntxkan,gLLPQcdcfeffqonuqgj,Face: 8
hLALPkbccefgggdigkhdsv,gLLPQcdcfeffqonuqgj,Face: 7
hLLAAkbcedefggabtfqsxr,gLLPQcdcfeffqonuqgj,Face: 4
hLLAAkccedefggdwakujxj,gLLPQcdcfeffqonuqgj,Face: 3
hLLAAkccedefggdwxvdkhs,gLLPQcdcfeffqonuqgj,Face: 2
hLLMAkbceeefggagtexqxj,gLLPQcdcfeffqonuqgj,Face: 1
hLALPkbcbefgggxxjndanf,gLALQbcbfeffhhjhvxq,Face: 12
hLALPkbcbffgggxxjuttar,gLALQbcbfeffhhjhvxq,Face: 11
hLALAkbcceffgghhnnixnk,gLALQbcbfeffhhjhvxq,Face: 8
hLAwMkbccdfgggdigdgqhx,gLALQbcbfeffhhjhvxq,Face: 7
hLLAAkbedefeggxariluhj,gLALQbcbfeffhhjhvxq,Face: 3
hLAMzkbccdefggmejmaxxj,gLALQbcbfeffhhjhvxq,Face: 2
hLLMAkbddeffggmkfxarpj,gLLAQbcdeeffmvfxukr,Face: 12
hLLMMkccdfefggdfvqlkan,gLLAQbcdeeffmvfxukr,Face: 11
hLLMAkbddeffggmvoxarpj,gLLAQbcdeeffmvfxukr,Face: 10
hLvAQkaefgefggnhqobfjw,gLLAQbcdeeffmvfxukr,Face: 9
hLvAQkadfeggfgnaqbwbww,gLLAQbcdeeffmvfxukr,Face: 8
hLLMMkccdfefgghgvlifur,gLLAQbcdeeffmvfxukr,Face: 7
hLLAPkbdedgfgglvaggfsk,gLLAQbcdeeffmvfxukr,Face: 5
hLLLQkbdgfegfgtvpltsfc,gLLAQbcdeeffmvfxukr,Face: 4
hLLAAkccedefggdgandkqw,gLLAQbcdeeffmvfxukr,Face: 3
hLLAPkaedegfggnaaqdwuh,gLLAQbcdeeffmvfxukr,Face: 2
hLLLQkbdffefggpcalqgrr,gLLAQbcdeeffmvfxukr,Face: 1
hLAvQkbccegfggtugcaprv,gLALQbccefffmejvdlt,Face: 12
hLALPkbccefgggdigkhdsv,gLALQbccefffmejvdlt,Face: 11
hLALPkbccefgggdigkhdsv,gLALQbccefffmejvdlt,Face: 10
hLAvQkbccegfggtugcaprv,gLALQbccefffmejvdlt,Face: 9
hLAwMkbccdfgggdigdgqhx,gLALQbccefffmejvdlt,Face: 8
hLLLQkcdffgfggdviplkfw,gLALQbccefffmejvdlt,Face: 7
hLAvQkbccfgfggmejxlplv,gLALQbccefffmejvdlt,Face: 5
hLALAkbccfefggmejajlsw,gLALQbccefffmejvdlt,Face: 4
hLAwMkbccdfgggaasxrdxm,gLALQbccefffmejvdlt,Face: 1
gLLAQbcdeeffmvfxukr,hLLMAkbddeffggmkfxarpj,Edge: 11
gLALQbccefffmejvdlt,hLAvQkbccegfggtugcaprv,Edge: 10
gLLAQbcdeeffmvfxukr,hLLMAkbddeffggmvoxarpj,Edge: 11
gLALQbccefffmejvdlt,hLALPkbccefgggdigkhdsv,Edge: 10
gLALQbccefffmejvdlt,hLAwMkbccdfgggdigdgqhx,Edge: 11
