target,source,label
gLLMQbcdefffdfbdugs,fLLQcacdeeejkamkf,Face: 9
gLLMQbcdefffdfbeuoc,fLLQcacdeeejkamkf,Face: 8
gLLAQcedeeffiivpxtj,fLLQcacdeeejkamkf,Face: 7
gLLQPccddeffdwbkehw,fLLQcacdeeejkamkf,Face: 6
gLLAQbcedeffhgmfubk,fLLQcacdeeejkamkf,Face: 5
gLvQQaefdeffjequsfc,fLLQcacdeeejkamkf,Face: 4
gLLAQbcedeffhnqkhns,fLLQcacdeeejkamkf,Face: 3
gLLAQbddeeffmkcdtvn,fLLQcacdeeejkamkf,Face: 2
gLLAQbddeeffmvndtvn,fLLQcacdeeejkamkf,Face: 1
fLLQcbcdeeehgrxtx,gLLMQbcdefffdfbdugs,Edge: 8
hLLAPkbcdefgggmgohskgf,gLLMQbcdefffdfbdugs,Face: 12
hLvAQkbefegfggmxlhambr,gLLMQbcdefffdfbdugs,Face: 11
hLLAPkceddgfgghavgwcgn,gLLMQbcdefffdfbdugs,Face: 10
hLLAMkbdedfgggdwmslull,gLLMQbcdefffdfbdugs,Face: 9
hLLAPkbddegfggmkfpsbfv,gLLMQbcdefffdfbdugs,Face: 8
hLLAPkbddegfggmvopsbfv,gLLMQbcdefffdfbdugs,Face: 7
hLLLQkcefefgggauquhasn,gLLMQbcdefffdfbdugs,Face: 6
hvLPQkcdefgfggvbfdueuf,gLLMQbcdefffdfbdugs,Face: 5
hLLAPkccdegfggawvhgvnr,gLLMQbcdefffdfbdugs,Face: 4
hLLLQkbddfgfggajfpkgrk,gLLMQbcdefffdfbdugs,Face: 3
hLLAAkbcedffggpgafanij,gLLMQbcdefffdfbdugs,Face: 2
hLLAPkbddefgggxvrxrcrs,gLLMQbcdefffdfbdugs,Face: 1
fLLQcbcdeeehnrdmt,gLLMQbcdefffdfbeuoc,Edge: 8
hLvAQkbefegfggmxlhamfn,gLLMQbcdefffdfbeuoc,Face: 12
hLLLQkbcfegfggebuaukbs,gLLMQbcdefffdfbeuoc,Face: 11
hLLAMkbdedfgggdwtslmqq,gLLMQbcdefffdfbeuoc,Face: 10
hLLAPkceddgfgghavnsgbc,gLLMQbcdefffdfbeuoc,Face: 9
hLLLQkbdfegfggmveuevrf,gLLMQbcdefffdfbeuoc,Face: 8
hLLLQkbdfgefggmkeiuvrf,gLLMQbcdefffdfbeuoc,Face: 7
hLLLQkceffegggalhatekk,gLLMQbcdefffdfbeuoc,Face: 6
hvLAQkdcfeggfgovlgladn,gLLMQbcdefffdfbeuoc,Face: 5
hLLLQkbddffgggajfpoonk,gLLMQbcdefffdfbeuoc,Face: 4
hLLAPkccdegfggawvhsvkf,gLLMQbcdefffdfbeuoc,Face: 3
hLLAAkbcedffggmrdfavtn,gLLMQbcdefffdfbeuoc,Face: 2
hLLAPkbddefgggxvrxrjvj,gLLMQbcdefffdfbeuoc,Face: 1
hLLAPkbcdefgggmgohskgf,gLLAQcedeeffiivpxtj,Face: 11
hLLLQkbcfgfgfgdfpaxnjj,gLLAQcedeeffiivpxtj,Face: 10
hLLAMkbdeeffggmvehankr,gLLAQcedeeffiivpxtj,Face: 9
hLLAMkbdeeffggmvueanbk,gLLAQcedeeffiivpxtj,Face: 8
hLvAQkadefggfgnaecvjbo,gLLAQcedeeffiivpxtj,Face: 7
hLLAPkaedefgggjdquread,gLLAQcedeeffiivpxtj,Face: 6
hLLLQkcdffegfgdrtatrfk,gLLAQcedeeffiivpxtj,Face: 5
hLLAPkaedefgggjdaurpqm,gLLAQcedeeffiivpxtj,Face: 4
hLLLQkbedegggfaefxessn,gLLAQcedeeffiivpxtj,Face: 3
hLLAPkceddffggdavgkogw,gLLAQcedeeffiivpxtj,Face: 2
hLLLQkcbgefgfganlmmfsv,gLLAQcedeeffiivpxtj,Face: 1
fLAMcbccdeemejdqj,gLLQPccddeffdwbkehw,Edge: 9
hLALPkbccefgggtpkkuhvj,gLLQPccddeffdwbkehw,Face: 11
hLALPkbccefgggtpkkupro,gLLQPccddeffdwbkehw,Face: 10
hLLAAkccedefggdwavdkqs,gLLQPccddeffdwbkehw,Face: 9
hLLAAkccedefggdwxkdfqj,gLLQPccddeffdwbkehw,Face: 8
hLLAAkbcedefggabmfuwxk,gLLQPccddeffdwbkehw,Face: 7
hLLAAkccdeefgghkvaqvqs,gLLQPccddeffdwbkehw,Face: 6
hLLAAkcedeefggiavhtiqj,gLLQPccddeffdwbkehw,Face: 5
hLvPQkccgeffggqjadmvfo,gLLQPccddeffdwbkehw,Face: 4
hLLLQkbdefffggmvdaasvk,gLLQPccddeffdwbkehw,Face: 3
hLLMMkcddeffggagnmpjan,gLLQPccddeffdwbkehw,Face: 2
hLALPkbcbegfgghawohins,gLLQPccddeffdwbkehw,Face: 1
fLLQcbcdeeehgrxtx,gLLAQbcedeffhgmfubk,Edge: 10
hLLAPkceddgfgghavgwcgn,gLLAQbcedeffhgmfubk,Face: 11
hLLAPkceddgfgghavgwcgn,gLLAQbcedeffhgmfubk,Face: 10
hLLAMkbeedffggxalkafkr,gLLAQbcedeffhgmfubk,Face: 9
hLvAQkadfefgggnatcjjjj,gLLAQbcedeffhgmfubk,Face: 8
hLLAAkbcdeefgghgrxxwak,gLLAQbcedeffhgmfubk,Face: 7
hLLAAkbdedffggevtfanen,gLLAQbcedeffhgmfubk,Face: 6
hLLAAkbcedffggpgafanij,gLLAQbcedeffhgmfubk,Face: 5
hLLAAkbcedffggpgafanij,gLLAQbcedeffhgmfubk,Face: 1
hLLLQkbcfegfggebuaukbs,gLvQQaefdeffjequsfc,Face: 11
hLLLQkbcfegfggebuaukbs,gLvQQaefdeffjequsfc,Face: 10
hLLLQkacfeggfgnrkcrjco,gLvQQaefdeffjequsfc,Face: 9
hLLAMkcedeffggiavhafkr,gLvQQaefdeffjequsfc,Face: 8
hLvAQkadfefgggnatcjjjj,gLvQQaefdeffjequsfc,Face: 7
hLLLQkcbegfgfganedersv,gLvQQaefdeffjequsfc,Face: 6
hLvAQkadfgegfgjaqrrgwg,gLvQQaefdeffjequsfc,Face: 4
hLvAQkadfefgggnatcjjjj,gLvQQaefdeffjequsfc,Face: 2
fLLQcbcdeeehnrdmt,gLLAQbcedeffhnqkhns,Edge: 10
hLLAPkcdedgfgghsafwcfn,gLLAQbcedeffhnqkhns,Face: 11
hLLAPkceddgfgghavnsgbc,gLLAQbcedeffhnqkhns,Face: 10
hLvAQkadefggfgnaecvjbo,gLLAQbcedeffhnqkhns,Face: 9
hLLAMkbeedffgghhekawkr,gLLAQbcedeffhnqkhns,Face: 8
hLLAAkbcdeefggxsrttfak,gLLAQbcedeffhnqkhns,Face: 7
