target,source,label
gLLAQbdedffferdrxsb,fLLQcacdeeejkexjn,Face: 9
gLLMQbcdefffdfbhisk,fLLQcacdeeejkexjn,Face: 8
gLLAQccdeeffqvvuqcn,fLLQcacdeeejkexjn,Face: 7
gLLQPcdcdefflgrfmqj,fLLQcacdeeejkexjn,Face: 6
gLLAQccdeeffufveuks,fLLQcacdeeejkexjn,Face: 5
gLLAQbcedefftsxfasj,fLLQcacdeeejkexjn,Face: 4
gLLAQadedfffjxihgjv,fLLQcacdeeejkexjn,Face: 3
gLLAQacedeffjktlrqj,fLLQcacdeeejkexjn,Face: 2
gLLAQccedeffqfmfqsn,fLLQcacdeeejkexjn,Face: 1
hLLMMkbceefgggdfapdvgr,gLLAQbdedffferdrxsb,Face: 12
hLvAQkbefegfggedeuuiwk,gLLAQbdedffferdrxsb,Face: 11
hLLAPkcddefgggugvlnvnr,gLLAQbdedffferdrxsb,Face: 10
hLLAMkbdedfgggdwasltel,gLLAQbdedffferdrxsb,Face: 9
hLLAAkbdedffggtvaghfdk,gLLAQbdedffferdrxsb,Face: 8
hLLAPkcddefggglcvurcvs,gLLAQbdedffferdrxsb,Face: 7
hLLLQkcdfeggfgukqqujfv,gLLAQbdedffferdrxsb,Face: 6
hvLAQkcdfgefggbraqbxuw,gLLAQbdedffferdrxsb,Face: 5
hLLAPkccdegfggawvhcosr,gLLAQbdedffferdrxsb,Face: 4
hLLLQkbddfggfgajfpsrks,gLLAQbdedffferdrxsb,Face: 3
hLLAAkbcedffgglkarajmj,gLLAQbdedffferdrxsb,Face: 2
hLLAPkbddefgggxvrxfbrk,gLLAQbdedffferdrxsb,Face: 1
hLvAQkbefegfggedeuiisr,gLLMQbcdefffdfbhisk,Face: 12
hLLMMkbceefgggdfapavsr,gLLMQbcdefffdfbhisk,Face: 11
hLLAMkbdedfgggdwaslmih,gLLMQbcdefffdfbhisk,Face: 10
hLLLQkbddfgfggdwfacson,gLLMQbcdefffdfbhisk,Face: 9
hLLAMkbdedffggtvxgafqr,gLLMQbcdefffdfbhisk,Face: 8
hLLAPkbcdefgggdfbmbbcv,gLLMQbcdefffdfbhisk,Face: 7
hLLLQkceffegggluqaqasn,gLLMQbcdefffdfbhisk,Face: 6
hvLAQkcdfgefggbraubxmn,gLLMQbcdefffdfbhisk,Face: 5
hLLLQkbddfggfgajfpjkkr,gLLMQbcdefffdfbhisk,Face: 4
hLLAPkccdegfggawvhcrjn,gLLMQbcdefffdfbhisk,Face: 3
hLLAAkbcdeffggtskuawmj,gLLMQbcdefffdfbhisk,Face: 2
hLLAPkbddefgggxvrxnbsn,gLLMQbcdefffdfbhisk,Face: 1
hLLMMkbceefgggdfapdvgr,gLLAQccdeeffqvvuqcn,Face: 11
hLLAPkbddegfgghcfucrkw,gLLAQccdeeffqvvuqcn,Face: 10
hLLAMkbeedffgghdpkabnj,gLLAQccdeeffqvvuqcn,Face: 9
hLLMAkbddeefggxjrqqwqw,gLLAQccdeeffqvvuqcn,Face: 8
hLvAQkadfeggfgnmqkjjbc,gLLAQccdeeffqvvuqcn,Face: 7
hLLAAkcddeffggtrvatrhr,gLLAQccdeeffqvvuqcn,Face: 6
hLLLQkacgefgfgnkcbcjvg,gLLAQccdeeffqvvuqcn,Face: 5
hLLAPkacdefgggnkdxalkb,gLLAQccdeeffqvvuqcn,Face: 4
hLLLQkbedeffggaxfuxnsw,gLLAQccdeeffqvvuqcn,Face: 3
hLLPPkcdefefggaoeddkwn,gLLAQccdeeffqvvuqcn,Face: 2
hLLAAkccdeffggpkviajdw,gLLAQccdeeffqvvuqcn,Face: 1
fLLQccecddehhrwjr,gLLQPcdcdefflgrfmqj,Edge: 8
hLALPkbccefgggtpkkqlgn,gLLQPcdcdefflgrfmqj,Face: 11
hLALPkbccefgggtpkktlvo,gLLQPcdcdefflgrfmqj,Face: 10
hLLAAkcedcffgghavrhrdw,gLLQPcdcdefflgrfmqj,Face: 9
hLLAAkbddeefggxvrxlrqj,gLLQPcdcdefflgrfmqj,Face: 8
hLLAAkccdeefggakveivqs,gLLQPcdcdefflgrfmqj,Face: 7
hLvPQkccgeffgghraxxbfk,gLLQPcdcdefflgrfmqj,Face: 6
hLLAAkbcdeefggpfreeohw,gLLQPcdcdefflgrfmqj,Face: 5
hLLAAkccdeefggawvhqvxk,gLLQPcdcdefflgrfmqj,Face: 4
hLLLQkbdegggfftvummvfj,gLLQPcdcdefflgrfmqj,Face: 3
hLLMMkcddeffggasbmqjqw,gLLQPcdcdefflgrfmqj,Face: 2
hLALPkbcbegfgghawodxwn,gLLQPcdcdefflgrfmqj,Face: 1
hLLAPkcddefgggugvlnvnr,gLLAQccdeeffufveuks,Face: 11
hLLAPkcddefgggugvlnvnr,gLLAQccdeeffufveuks,Face: 10
