id,oriented,tetrahedra
fLLQcacdeeejkmxsn,1,5
gLLMQbcdefffdfbheob,-1,6
gLLMQbcdefffdfbhasv,0,6
gLLAQbcedeffhnqkhvn,-1,6
gLLQPccddeffdwbkexn,-1,6
gLvQQaefdfefjiqlcrb,-1,6
gLLAQbcedeffhgmfugj,1,6
gLLAQadedfffjeuisjn,1,6
gLLAQbddeeffmkcdtnj,1,6
gLLAQbddeeffmvndtnj,1,6
hLLMMkbceefgggdfaphvfs,-1,7
hLvAQkbefegfggmxlhmmgn,-1,7
hLLLQkbcfgegfgdfpddgng,-1,7
hLLAMkbdedfgggdwaslpiq,-1,7
hLLAPkbdedfgggtvagfgbj,-1,7
hLLLQkcdefgfggpohupngk,-1,7
hLLAPkbdedgfggtvxgwfbj,-1,7
hvLAQkcdfeggfggnmbeaur,-1,7
hLLAPkccdegfggawvhcgkb,-1,7
hLLLQkbddfggfgajfpgnkg,-1,7
hLLAAkbcdeffggpnfpawek,-1,7
hLLAPkbddefgggxvrxcbgj,-1,7
hLvAQkbefegfggmxlhpmob,-1,7
hLLMMkbceefgggdfapavgb,0,7
hLLAMkbdedfgggdwaslduh,-1,7
hLLLQkbdgeffgglvpthfcb,0,7
hLLLQkbdfeggfgmvipmswo,0,7
hLvMQkbefefgggladtdxos,-1,7
hLLLQkbdfgefgglvtmtwfj,0,7
hvLAQkcdegfgfgojoxhahf,-1,7
hLLLQkbddfggfgajfpskko,0,7
hLLAPkccdegfggawvhcssn,-1,7
hLLAAkbcdeffggmkfxarir,-1,7
hLLAPkbddefgggxvrxjbsk,-1,7
hLLMMkbceefgggdfapanso,-1,7
hLLAMkbeedffgghhekawnj,-1,7
hLLAAkbcdeefggxsrttfqw,-1,7
hLvAQkaefgefggnuqfcbjw,-1,7
hLLLQkbdeegggfevlldbsj,-1,7
hLLAAkbddeffggevnmablk,-1,7
hLLLQkacefggfgnkwrvjrf,-1,7
hLLLQkbedeffggaxfmxgsw,-1,7
hLLPPkcdfefgfgakpmmbkn,-1,7
hLLAAkbcedffggmrdfaviw,-1,7
fLAMcbccdeemejdhr,1,5
hLALPkbccefgggtpkkplbj,-1,7
hLALPkbccefgggtpkkhlon,-1,7
hLLAAkccedefggdwavdkxk,-1,7
hLvPQkccgeffgghradmvfo,-1,7
hLLAAkcedeefggiavhtihr,-1,7
hLLAAkccedefggdwxkdfhr,-1,7
hLLAAkccdeefgghkvaqvxk,-1,7
hLLAAkbcedefggabmfuwqs,-1,7
hLLLQkbdefffggmvdaasns,-1,7
hLLMMkcddeffggagnmpjqw,-1,7
hLALPkbcbegfgghawoixcj,-1,7
hLLAMkcedeffggiavhafnj,-1,7
hLvAQkadffegggntqncjjw,-1,7
hLLLQkacfgegfgnvgwfjvb,-1,7
hLvPQkafeegfggjqxsjsoj,-1,7
hLLLQkaedfggfgjalnjkob,-1,7
hLLAAkbcdeefgghgrxxwqw,-1,7
hLLAMkbeedffggxalkafnj,-1,7
hLLAAkbcedffggpgafanpr,-1,7
hLLAAkbdedffggevtfanpw,1,7
hLLAMkcdeefgggirepljvw,1,7
hLLAMkbdeeffggmvehannj,1,7
hLLAMkbdeeffggmvueangs,1,7
hLLLQkadegfgfgjeqgswog,-1,7
hLLMMkcbefegggdntdxvor,1,7
hLLMMkcbeefgggdntqmvor,1,7
hLLLQkbedeggfgaefxeswj,-1,7
hLLAPkceddffggdavgkowk,-1,7
hLLLQkaedfggfgjaerrkvo,-1,7
hLvPQkafeefgggnqxkckcc,-1,7
hLLLQkaeefgfggnaxoowrn,-1,7
hLLLQkcefdfgggaihkqrkk,-1,7
hLvAQkaefefgggjuqbfwnw,1,7
hLLMMkccdfefggabvlifms,-1,7
hLLLQkbdefffggmkdqasns,1,7
hLLMMkbcefefggagtdxkww,-1,7
hLvPQkafeefgggnqxkvkcv,1,7
hLLMAkbcdfefggmrwxpciw,-1,7
hLvAQkbeffgefgmexahxsj,1,7
hLvAQkaefgfeggjuqgfrnw,-1,7
hLLMAkccdfefggabvdqctn,-1,7
hLLMMkbceeffggagtppcrr,-1,7
hLLLQkbdefffggmkdqqjns,-1,7
hLLLQkbdefffggmvdqajns,1,7
gLALQbccefffmlbslqt,-1,6
gLALQbcbfeffhxwqbhx,1,6
gLLPQcdcfeffhkrdqkf,1,6
hLLPMkcdeffgggdvaipfgg,-1,7
hLAwMkbccdfggghhnqwilh,-1,7
hLALPkbccefggglugwqebj,-1,7
hLLPMkcdeffgggdvaipvgn,-1,7
hLALPkbccegfggdmgbeuok,-1,7
hLAwMkbccdfgggapkmrdal,-1,7
hLALPkbccffgggmlbaxhar,-1,7
hLALAkbcceffggmejvtdcj,-1,7
hLALAkbcceffggmejvadck,-1,7
hLAvQkbccegfggmejnddgb,-1,7
hLALAkbccfefggxxgpgxbn,-1,7
hLALPkbcbegfggxhnsatnf,0,7
hLALPkbcbfgfgghxwdlpav,0,7
hLAMzkbccdefggmejmaqhr,-1,7
hLLAAkbedefeggxarimuxk,-1,7
hLLAAkbddeffggpcnploxk,1,7
hLLAAkbcdeefggpjgplgqs,1,7
hLLAAkbddeefggxrrxqghw,0,7
hLvPQkccegffgghrmhmvfo,-1,7
hLLAAkccedefggdwakufhr,-1,7
hLLAAkbcedefggabtfqjqj,-1,7
hLLAAkccedefggdwxvdnxk,1,7
hLLMAkbceeefggagtexxhr,-1,7
