target,source,label
gvLQQcdeffefbrcqlbd,fLLQcbcdeeetsrede,Face: 10
gLLPQccdefffqffetwn,fLLQcbcdeeetsrede,Face: 9
gLLMQbcdefffdfbturs,fLLQcbcdeeetsrede,Face: 8
gLLAQbddeeffdwnhtgj,fLLQcbcdeeetsrede,Face: 7
gLLAQbcedffftsxferb,fLLQcbcdeeetsrede,Face: 4
gLLAQbcedefftsxfaok,fLLQcbcdeeetsrede,Face: 2
gLLPQccdfefflnkqqof,fLLQcbcdeeetsrede,Face: 1
fLLQcbcedeetsawqh,gvLQQcdeffefbrcqlbd,Edge: 9
hvLAQkcdfgefggwnlpbupb,gvLQQcdeffefbrcqlbd,Face: 12
hvLAQkcdfgefggorutbxpv,gvLQQcdeffefbrcqlbd,Face: 11
hLvAQkcdefggfgpvuuhbkn,gvLQQcdeffefbrcqlbd,Face: 10
hLLzQkcdegffgglfapdovo,gvLQQcdeffefbrcqlbd,Face: 9
hLLLQkcdefegggqwixasbb,gvLQQcdeffefbrcqlbd,Face: 8
hLvAQkcdefggfgarelxwrw,gvLQQcdeffefbrcqlbd,Face: 7
hvLPQkcedfgfggjkceltlr,gvLQQcdeffefbrcqlbd,Face: 6
hLLLQkcdffegggafhaxjkk,gvLQQcdeffefbrcqlbd,Face: 5
hLLzQkcdegffggugiimvss,gvLQQcdeffefbrcqlbd,Face: 4
hLLLQkcdeefgggtspulboo,gvLQQcdeffefbrcqlbd,Face: 3
hLLLQkcdfefgggachqujkk,gvLQQcdeffefbrcqlbd,Face: 2
hLLzQkcdegffggawuiukos,gvLQQcdeffefbrcqlbd,Face: 1
fLLQcbcdeeetsclla,gLLPQccdefffqffetwn,Edge: 11
hLLAPkbdedfgggendosrrr,gLLPQccdefffqffetwn,Face: 12
hLLAPkbddefgggxvjxrvsv,gLLPQccdefffqffetwn,Face: 11
hLLLQkccfgefggqfaalrsn,gLLPQccdefffqffetwn,Face: 8
hLLPAkccdfefggqffaanhw,gLLPQccdefffqffetwn,Face: 7
hLLAPkccedgfggqfhfwwof,gLLPQccdefffqffetwn,Face: 6
hLLLQkbdefegggdwuqdvss,gLLPQccdefffqffetwn,Face: 4
hLLAPkccedgfggtnansfns,gLLPQccdefffqffetwn,Face: 3
hLLAPkccedgfgglnaccnsr,gLLPQccdefffqffetwn,Face: 2
fLLQcacdeeejkaisr,gLLMQbcdefffdfbturs,Edge: 9
hLLAPkbcdefgggdfbuvvvc,gLLMQbcdefffdfbturs,Face: 12
hLLAAkbdedffggtvagxrqj,gLLMQbcdefffdfbturs,Face: 11
hvLAQkcdfgefggorutbxpv,gLLMQbcdefffdfbturs,Face: 10
hLLAPkbcedfgggtsafgcgn,gLLMQbcdefffdfbturs,Face: 9
hLvAQkbefegfggedeuaisv,gLLMQbcdefffdfbturs,Face: 8
hLLLQkbddfggfgajfpkwsk,gLLMQbcdefffdfbturs,Face: 7
hLLAAkbcedffggtsafanij,gLLMQbcdefffdfbturs,Face: 6
hLLAPkbddefgggxvrxrsws,gLLMQbcdefffdfbturs,Face: 5
hLLAPkccdegfggawvhfvnw,gLLMQbcdefffdfbturs,Face: 4
hLLAMkbdedfgggdweslluu,gLLMQbcdefffdfbturs,Face: 3
hLLAPkceddgfggtavnsbng,gLLMQbcdefffdfbturs,Face: 2
hLLLQkcefefgggalhetekk,gLLMQbcdefffdfbturs,Face: 1
hLLAAkbdedffggtkawxraj,gLLAQbddeeffdwnhtgj,Face: 12
hLLMAkccdfefgglnviqnik,gLLAQbddeeffdwnhtgj,Face: 11
hLvAQkadefggfgnadsvjsf,gLLAQbddeeffdwnhtgj,Face: 8
hLwMMkacefefggjgqkwgqw,gLLAQbddeeffdwnhtgj,Face: 7
hLLPAkccdeffggqffmunhw,gLLAQbddeeffdwnhtgj,Face: 6
hLLAAkbcedefggtsajlsaj,gLLAQbddeeffdwnhtgj,Face: 4
hLLAPkcdedgfggtrannrkj,gLLAQbddeeffdwnhtgj,Face: 3
fLLQcbcedeetsawqh,gLLAQbcedffftsxferb,Edge: 11
hLLLQkcdefegggqwixasbb,gLLAQbcedffftsxferb,Face: 12
hLLAPkbddefgggxvjxrvsv,gLLAQbcedffftsxferb,Face: 11
hLLLQkbedegfggaifmiwvn,gLLAQbcedffftsxferb,Face: 10
hLLMAkccdfefgglnviqnik,gLLAQbcedffftsxferb,Face: 9
hLLLQkbddfggfgevwhgkno,gLLAQbcedffftsxferb,Face: 8
hLLMPkbddefgggevkxrvgk,gLLAQbcedffftsxferb,Face: 7
hLLAMkbeedffggeqdkajcw,gLLAQbcedffftsxferb,Face: 6
hLLAMkbcedfgggtsafaxlq,gLLAQbcedffftsxferb,Face: 5
hLLPMkccdfegggqffaaeud,gLLAQbcedffftsxferb,Face: 4
hLLLQkcdeefgggtspulboo,gLLAQbcedffftsxferb,Face: 3
hLLAMkbcedfgggtsafamul,gLLAQbcedffftsxferb,Face: 2
hLLLQkbedegfggaifmmwkw,gLLAQbcedffftsxferb,Face: 1
fLLQcacdeeejkaisr,gLLAQbcedefftsxfaok,Edge: 11
fLLQcacdeeejkaisr,gLLAQbcedefftsxfaok,Edge: 9
hLvAQkadfefgggnalcnjjn,gLLAQbcedefftsxfaok,Face: 12
hLLPAkccdfefggqffaanhw,gLLAQbcedefftsxfaok,Face: 11
hLLAAkbcedffggtsafanij,gLLAQbcedefftsxfaok,Face: 10
hLwMMkacefefggjgqkwgqw,gLLAQbcedefftsxfaok,Face: 9
hLLAAkbcedffggtsafanij,gLLAQbcedefftsxfaok,Face: 8
hLLAMkbeedffggeadkaskr,gLLAQbcedefftsxfaok,Face: 6
hLLAPkceddgfggtavnsbng,gLLAQbcedefftsxfaok,Face: 4
hLLAPkceddgfggtavnsbng,gLLAQbcedefftsxfaok,Face: 3
hLLAAkbcdeefggtsreejak,gLLAQbcedefftsxfaok,Face: 1
fLLQcbcdeeeljkllt,gLLPQccdfefflnkqqof,Edge: 8
hLLAPkbddefgggxvrxrkvs,gLLPQccdfefflnkqqof,Face: 12
hLLAPkccedgfggqfhfwwof,gLLPQccdfefflnkqqof,Face: 11
hLLAPkbddefgggxvrxrsws,gLLPQccdfefflnkqqof,Face: 10
hLLPAkccdeffggqffmunhw,gLLPQccdfefflnkqqof,Face: 9
hLLAPkbddefgggxvrxrsws,gLLPQccdfefflnkqqof,Face: 8
hLLAPkbdedfgggekdksjjj,gLLPQccdfefflnkqqof,Face: 6
hLLAPkccedfgggtnannnns,gLLPQccdfefflnkqqof,Face: 4
hLLAPkbddefgggdwrpofss,gLLPQccdfefflnkqqof,Face: 3
hLLAPkccedfgggtnannnsk,gLLPQccdfefflnkqqof,Face: 2
gLLPQcdefeffucuuqqf,fLLQcbcedeetsawqh,Face: 10
gLLAQbdeefffdwqipus,fLLQcbcedeetsawqh,Face: 9
gLLPQccdeffflbnedwn,fLLQcbcedeetsawqh,Face: 8
gLLPQcdeffefukuqihk,fLLQcbcedeetsawqh,Face: 7
gLLAQbcedffftsxferb,fLLQcbcedeetsawqh,Face: 6
gLLAQccdeeffqvvuqks,fLLQcbcedeetsawqh,Face: 5
gLLPQccdefffhkoiiof,fLLQcbcedeetsawqh,Face: 4
gLLMQbcdefffdfblugv,fLLQcbcedeetsawqh,Face: 3
gLLAQbcedffftsdfhck,fLLQcbcedeetsawqh,Face: 2
gLLPQcdefeffucuuqqf,hvLAQkcdfgefggwnlpbupb,Edge: 12
gLLMQbcdefffdfbturs,hvLAQkcdfgefggorutbxpv,Edge: 10
gLLPQcdeffefukuqihk,hLLzQkcdegffgglfapdovo,Edge: 12
gLLAQbcedffftsxferb,hLLLQkcdefegggqwixasbb,Edge: 11
gLLAQbcedffftsxferb,hLLLQkcdeefgggtspulboo,Edge: 11
gvLQQcdfeeffwolfceq,fLLQcbcdeeetsclla,Face: 10
gLLPQcdfeefftklpqtk,fLLQcbcdeeetsclla,Face: 9
gLLPQbdedeffdwdflrk,fLLQcbcdeeetsclla,Face: 8
gLLAQcddefffhrjqxfo,fLLQcbcdeeetsclla,Face: 7
gLLMQbcefefftsxmmeo,fLLQcbcdeeetsclla,Face: 4
gLLAQcdceeffporidfs,fLLQcbcdeeetsclla,Face: 1
gLLAQbcedffftsxferb,hLLAPkbddefgggxvjxrvsv,Edge: 10
gLLPQcdfeefftklpqtk,hLLLQkccfgefggqfaalrsn,Edge: 13
gLLPQbdedeffdwdflrk,hLLPAkccdfefggqffaanhw,Edge: 13
gLLAQbcedefftsxfaok,hLLPAkccdfefggqffaanhw,Edge: 9
