id,oriented,tetrahedra
fLLQcbcedeetoaoet,1,5
gvLQQcdeffefbncqubd,0,6
gLLPQccdfeffhwghqrw,-1,6
gLLPQcdefeffqkuqetk,-1,6
gLLMQbdedeffxkeftnk,1,6
gLLMQccdfefflbvehgv,-1,6
gLLPQccdeffftnketwf,1,6
gLLMQbdeefffdrdeipr,1,6
fvPQcceddeekcnvvc,1,5
fLLQcbcedeednasmd,0,5
hLLLQkcdegffggacxhqvcc,-1,7
hLvAQkcdefggfgavpexbrj,-1,7
hLvMQkbfdgegfgadfitvfo,0,7
hLLLQkcdffegggafhamskk,-1,7
hLLLQkcdeefgggqkiitsbb,-1,7
hvLAQkcedgfgfgfjfthaho,-1,7
hvLPQkcdefggfgkckdhaxf,-1,7
hvLAQkcdfgefggwnlebuar,0,7
hLvMQkbfdeggfgaefmmbfj,-1,7
hLLLQkcdeefgggagxqmccs,-1,7
hLvAQkcdefggfgavetxwgw,0,7
hLLLQkcdfefgggqgumujjv,-1,7
fLLQcbcedeetjqjet,1,5
hLLLQkbdeegfggxvimqrbj,-1,7
hLLLQkccefgfggqfphirww,-1,7
hLLAPkccedfgggtnaknkrw,-1,7
hLLAPkbddefgggxnrxrgoo,-1,7
hLLAPkccedgfggtnxnnkgb,-1,7
hLLAPkbddefgggxkbxrbss,-1,7
hLLAPkccedgfggqfasbrnb,-1,7
hLLAPkccedfggghwxgfons,-1,7
hLvMQkbefgefgghaaaxxww,-1,7
hLLLQkccegfgfghweutwfv,-1,7
hLLAPkcdeegfgghsmaxocc,-1,7
hLLLQkbcegfgfglsdatoow,-1,7
hvLAQkcedgffggfvfuimif,-1,7
hLLLQkbcefggfglsdexosw,-1,7
hLLzQkcdegfgfghsallonw,-1,7
hLLzQkcdfgefggarhmpcrk,-1,7
hLLLQkcdffgggfqguamjjf,-1,7
hLLAMkcedefgggtavxacwr,-1,7
fLLQcaddeeejuapxn,1,5
hLLAMkbcedffggtbafanik,-1,7
hLLAMkaddefgggjuapvqxx,-1,7
hLLPAkccdfefggtnkaanhj,1,7
