target,source,label
gLLQPcdcdeffhssnphr,fLLQcbecdeehhwsmu,Face: 10
gLLMQbcefdfflsahwos,fLLQcbecdeehhwsmu,Face: 9
gLLAQbcdefffdfbihbg,fLLQcbecdeehhwsmu,Face: 8
gLLAQbdeefefevtixek,fLLQcbecdeehhwsmu,Face: 7
gLLMQacdefffjkxwgkg,fLLQcbecdeehhwsmu,Face: 6
gLLAQbcedefflsajlor,fLLQcbecdeehhwsmu,Face: 5
hLLPAkbdedefggeveblnhw,gLLQPcdcdeffhssnphr,Face: 12
hLLAAkbcedefggmsxfmjxk,gLLQPcdcdeffhssnphr,Face: 11
hLLAAkbddeefggevnmhkxk,gLLQPcdcdeffhssnphr,Face: 10
hLvPQkccgfefgghralqksv,gLLQPcdcdeffhssnphr,Face: 9
hLALPkbccefgggdmggqegr,gLLQPcdcdeffhssnphr,Face: 8
hLALMkbcbefggghawohhwr,gLLQPcdcdeffhssnphr,Face: 3
hLLAAkcddeffggarbxqclk,gLLQPcdcdeffhssnphr,Face: 2
hLLMPkbceefggglsautkrk,gLLMQbcefdfflsahwos,Face: 12
hLLAPkbdedgfgglvarjkjs,gLLMQbcefdfflsahwos,Face: 10
hLLAPkbdcegfggevwufggk,gLLMQbcefdfflsahwos,Face: 9
hLLAMkcdceffggiokmpoxn,gLLMQbcefdfflsahwos,Face: 8
hLLLQkbdfggefgevdpdsro,gLLMQbcefdfflsahwos,Face: 7
hLLLQkadfeggfgjmmwswvo,gLLMQbcefdfflsahwos,Face: 6
hLvPQkafeefgggjqpwcwff,gLLMQbcefdfflsahwos,Face: 5
hLLAPkceddgggfahvkfswj,gLLMQbcefdfflsahwos,Face: 4
hLLAPkcddeffggacvxgwwk,gLLMQbcefdfflsahwos,Face: 3
hLLLQkbddffeggxrfxskor,gLLMQbcefdfflsahwos,Face: 2
hLLAAkbcedffggasxfhgpk,gLLMQbcefdfflsahwos,Face: 1
hLLLQkbdfgegfgevepebcf,gLLAQbcdefffdfbihbg,Face: 12
hLLPPkcdeffggghsdmlskv,gLLAQbcdefffdfbihbg,Face: 11
hLLLQkbdegefggevipegog,gLLAQbcdefffdfbihbg,Face: 10
hLLLQkcdegfgfghshmlgrs,gLLAQbcdefffdfbihbg,Face: 9
hLLLQkbdfeggfgtvdmmbco,gLLAQbcdefffdfbihbg,Face: 8
hLLLQkcdegfgfghsillbnr,gLLAQbcdefffdfbihbg,Face: 7
hLLLQkbdfgefggdwhhdgjw,gLLAQbcdefffdfbihbg,Face: 6
hLLMPkbceefggglsautkrk,gLLAQbcdefffdfbihbg,Face: 5
hLLLQkbeefefggxxmxpxok,gLLAQbcdefffdfbihbg,Face: 4
hLLAMkccdefgggawvhqhei,gLLAQbcdefffdfbihbg,Face: 3
hLLAMkbddefgggxvrxxqpe,gLLAQbcdefffdfbihbg,Face: 2
hLLLQkbefegfggxxauqxvk,gLLAQbcdefffdfbihbg,Face: 1
hLLLQkbdfeggfgtvdmmbco,gLLAQbdeefefevtixek,Face: 12
hLLLQkbcffgfggebpexksb,gLLAQbdeefefevtixek,Face: 10
hLLAPkbdeeffggevuquwsn,gLLAQbdeefefevtixek,Face: 9
hLLLQkacfeggfgjkonkjbv,gLLAQbdeefefevtixek,Face: 8
hLLAPkbdcegfggevwufggk,gLLAQbdeefefevtixek,Face: 7
hLvAQkaefegfggjhqwkbjw,gLLAQbdeefefevtixek,Face: 6
hLLMAkbcdeffggebbpukxn,gLLAQbdeefefevtixek,Face: 5
hLLAAkbcedffggajhfxvmw,gLLAQbdeefefevtixek,Face: 4
hLLAPkceddffggahvkfsrs,gLLAQbdeefefevtixek,Face: 3
hLLAPkbdeeggfghgmuabkj,gLLAQbdeefefevtixek,Face: 2
hLLAAkadedffggnxihgjej,gLLAQbdeefefevtixek,Face: 1
hLLPAkbdedefggeveblnhw,gLLMQacdefffjkxwgkg,Face: 12
hLLLQkbdffefggtvmxtgjk,gLLMQacdefffjkxwgkg,Face: 11
hLLLQkbdfgegfgevepebcf,gLLMQacdefffjkxwgkg,Face: 10
hLvPQkafeefgggjqpwcwff,gLLMQacdefffjkxwgkg,Face: 9
hLLLQkbdfgegfgevepebcf,gLLMQacdefffjkxwgkg,Face: 8
hLvPQkafeefgggjqpwcwff,gLLMQacdefffjkxwgkg,Face: 6
hLLAAkbcedffggasxfhgpk,gLLMQacdefffjkxwgkg,Face: 4
hLLAAkcddeffggacvxxfhk,gLLMQacdefffjkxwgkg,Face: 3
hLLMMkacdfefggjkxcckqw,gLLMQacdefffjkxwgkg,Face: 2
hLLAAkbcedffggasxfhgpk,gLLMQacdefffjkxwgkg,Face: 1
hLLAAkbddeefggevnmhkxk,gLLAQbcedefflsajlor,Face: 12
hLvAQkaefegfggjhqwkbjw,gLLAQbcedefflsajlor,Face: 11
hLLLQkbdegefggevipegog,gLLAQbcedefflsajlor,Face: 10
hLLMAkbcdeffggebbhuwij,gLLAQbcedefflsajlor,Face: 9
hLLLQkbdegefggevipegog,gLLAQbcedefflsajlor,Face: 8
hLvAQkaefegfggjhqwkbjw,gLLAQbcedefflsajlor,Face: 5
hLLAAkbcedffggajhfxvmw,gLLAQbcedefflsajlor,Face: 4
hLLAAkbcedffggajhfxvmw,gLLAQbcedefflsajlor,Face: 3
hLLAMkcddeffggacvxxfhn,gLLAQbcedefflsajlor,Face: 2
hLLPMkacefefggjkxkccqw,gLLAQbcedefflsajlor,Face: 1
gLLMQacdefffjkxwgkg,hLLPAkbdedefggeveblnhw,Edge: 11
gLLAQbcedefflsajlor,hLLAAkbddeefggevnmhkxk,Edge: 11
gLLAQbcdefffdfbihbg,hLLMPkbceefggglsautkrk,Edge: 10
gLLAQbdeefefevtixek,hLLAPkbdcegfggevwufggk,Edge: 11
gLLAQadedeffjmllwok,hLLLQkadfeggfgjmmwswvo,Edge: 9
gLLMQacdefffjkxwgkg,hLvPQkafeefgggjqpwcwff,Edge: 9
gLLAQadedeffjmllwok,hLLLQkbddffeggxrfxskor,Edge: 10
gLLMQacdefffjkxwgkg,hLLAAkbcedffggasxfhgpk,Edge: 10
gLLMQacdefffjkxwgkg,hLLLQkbdfgegfgevepebcf,Edge: 10
gLLAQbcedefflsajlor,hLLLQkbdegefggevipegog,Edge: 10
gLLAQbdeefefevtixek,hLLLQkbdfeggfgtvdmmbco,Edge: 10
gLLAQbcedefflsajlor,hLvAQkaefegfggjhqwkbjw,Edge: 9
gLLAQacdeeffnkairhr,hLLMAkbcdeffggebbpukxn,Edge: 9
gLLAQbcedefflsajlor,hLLAAkbcedffggajhfxvmw,Edge: 10
gLLAQacdeeffnkairhr,hLLAAkadedffggnxihgjej,Edge: 10
gLLAQadedeffjmllwok,hLLLQkbdffefggtvmxtgjk,Edge: 9
gLLAQadedeffjmllwok,hLLMMkacdfefggjkxcckqw,Edge: 12
gLLAQadedeffjmllwok,hLLMMkacdfefggjkxcckqw,Edge: 10
gLLAQacdeeffnkairhr,hLLMAkbcdeffggebbhuwij,Edge: 9
gLLAQacdeeffnkairhr,hLLPMkacefefggjkxkccqw,Edge: 12
gLLAQacdeeffnkairhr,hLLPMkacefefggjkxkccqw,Edge: 10
hLLMMkbddeffggtvklmjlr,gLLAQadedeffjmllwok,Face: 12
hLLLQkadefegggjmxgcwjv,gLLAQadedeffjmllwok,Face: 10
hLLAPkccdegffgifveccrk,gLLAQadedeffjmllwok,Face: 9
hLLLQkaceeffggjkvcfnkk,gLLAQadedeffjmllwok,Face: 8
