id,oriented,tetrahedra
fLLQcbeddeehhgkeu,1,5
gLLMQbcdefffhokltgo,-1,6
gLLMQbcefefflsamleo,0,6
gLLPQcdefeffhspxalv,1,6
gLLMQbcdefffdowtucs,0,6
gLLAQbecdfffhhnfxoj,1,6
gLLMQbedefffxxgqtiw,1,6
hLLMPkbcdegfgglsgaosgf,-1,7
hLLMPkbcdfggfgmbbabkvc,-1,7
hLLLQkbdfeggfgevthqokc,-1,7
hLvAQkbeffgeggmueaamff,-1,7
hLLMMkbceefggghohaaogj,-1,7
hvLAQkdedfgfggsvsiaxms,-1,7
hLLLQkbdfgefggmkhuavjo,-1,7
hLLLQkbdfegfggmvhadvjo,-1,7
hLLLQkbcegfgfgmbtaxfjk,-1,7
hLLMMkbedfegggmajxenvc,-1,7
hLLAPkcddefgggarbxcffr,-1,7
hLLLQkcdffgggfqolidkkf,-1,7
hLLAMkbcedffgglsajhvpj,0,7
hvLPQkcdefgfggkwfmutuc,0,7
hLLLQkbddfggfgxvblbobr,0,7
hLLLQkbcfgefgglsmhlgnb,0,7
hLLLQkcefefgggldtqtlgj,-1,7
hLLLQkbddfggfgenbubfbb,0,7
hLvAQkbfefegggdidatarr,-1,7
hLLAPkceddgfggahvkfgkf,-1,7
hLLAPkcddegfggacvxswsc,-1,7
hLLMMkbdedffgglnavpwxj,-1,7
hLLAPkbcedgfggajhfgvrv,0,7
hvLAQkcdfeggfggnabxadf,1,7
hLLLQkbcefgfgglsmixgbr,0,7
hvLAQkcdfeggfgffajdplv,1,7
hLvMQkbfdeggfghtftuvcg,1,7
hLLLQkcdefgfgghsdalgsb,1,7
hLLzQkcdegefggqoatqfns,1,7
hLLLQkcdfgfggfhsaqqkjf,-1,7
hvLAQkcdefgfggggkttpak,1,7
hLLLQkceffeggghaeahegf,-1,7
hLLAPkcedegfggpavtqcrb,-1,7
hLLPPkcdeffggghspimggg,-1,7
hLLAAkbcedffgglsajhvpj,0,7
hLvAQkbefefgggdadqmxvw,0,7
hLLAPkbdedfgggevusbsfs,0,7
hvLAQkcdegfgfgbjkapdpb,-1,7
hLvMQkbfegefggdieltpgc,-1,7
hLLLQkbdfgegfgtvimtksk,0,7
hLLAPkbcedgfggajhfcbrc,0,7
hLLAPkceddgfggahvkwsko,-1,7
hLLAPkcddegfggacvxgfvs,-1,7
hLLAAkbdedffggtkawxrqk,-1,7
hLLAAkbedeffggxxrmdamr,-1,7
hLLLQkcdgffegghshalnww,-1,7
hLLAMkbeddfggghhgkthii,-1,7
hLLAAkbedefeggxxrpduas,-1,7
hLLLQkcdeegfgghsdplggb,1,7
hLLLQkcdfefggghslpurff,1,7
hLLLQkcedffggguhflljos,-1,7
hLLLQkbedegfggxxvupcss,-1,7
hLLLQkbeeefgggxxqxlmkw,-1,7
gLLAQcdceeffporidon,1,6
gLLAQbddeeffdwnhtww,1,6
hLLMMkacdeffggnkankgan,1,7
hLLLQkacfegfggnkgbknnf,1,7
hLLLQkcdffggegdvlalgjw,1,7
hLLLQkcdefgggfqrlaenvw,1,7
hLLPAkbddeefggenoaevhn,1,7
hLLMAkacdeffggnkankgan,1,7
hLvAQkaefegfggneqswfog,-1,7
hLLMAkccdfefgglnviqnpr,-1,7
hLLAPkacdegfggnkaqddgb,1,7
hLLAAkbcedefggtsajlsqn,1,7
gLLPQacefeffnkqgbkw,1,6
hLLPMkcdefffggdvulakvw,1,7
hLLLQkbdefegggtvmltkkw,0,7
hLLPAkbddeefggdwsedwqn,1,7
hLLPAkcdfeefggpoddixej,-1,7
hLLMMkbceeffggtsxaawnk,-1,7
hLLzQkacefefggnkqjvkxr,1,7
