target,source,label
gLLPQcdcfeffhsndqvf,fLLQccceddehwhwjs,Face: 10
gLLAQccedfeftnhkhwj,fLLQccceddehwhwjs,Face: 9
gLALQbcbeeffxhjrvqn,fLLQccceddehwhwjs,Face: 8
gLLAQcbdeefftnbmtbn,fLLQccceddehwhwjs,Face: 7
gLALQbcceefftugncpj,fLLQccceddehwhwjs,Face: 5
hLLMAkbddeffggtvkumvqk,gLLPQcdcfeffhsndqvf,Face: 12
hLALPkcbcefgggudbsqibo,gLLPQcdcfeffhsndqvf,Face: 11
hLLMAkbdedffgglnarxolw,gLLPQcdcfeffhsndqvf,Face: 9
hLALPkcbbegfgghhkodxwn,gLLPQcdcfeffhsndqvf,Face: 8
hLvPQkccefggfghnxhxbcs,gLLPQcdcfeffhsndqvf,Face: 7
hLLAAkbcdeefggpfreeshn,gLLPQcdcfeffhsndqvf,Face: 6
hLLAAkccdeefggakveikqn,gLLPQcdcfeffhsndqvf,Face: 4
hLLAAkccdeefggawvhqcxj,gLLPQcdcfeffhsndqvf,Face: 3
hLLAAkcdecffgghsanhrtr,gLLPQcdcfeffhsndqvf,Face: 2
hLLAAkbddeefggxvrxlbqn,gLLPQcdcfeffhsndqvf,Face: 1
hLLMAkccdefeggtjvmdjqj,gLLAQccedfeftnhkhwj,Face: 12
hLALAkbcceefggtugsrthw,gLLAQccedfeftnhkhwj,Face: 11
hLALAkbcceefggluggsths,gLLAQccedfeftnhkhwj,Face: 7
hLLMAkccdefegganvmdnqn,gLLAQccedfeftnhkhwj,Face: 4
hLALAkbcbeefggxanofhqn,gLLAQccedfeftnhkhwj,Face: 3
hLLPAkcdcfeegghcnhasxn,gLLAQccedfeftnhkhwj,Face: 2
hLLAPkaceegggfnktxlakn,gLALQbcbeeffxhjrvqn,Face: 12
hLAwAkbccdffggtugegnqw,gLALQbcbeeffxhjrvqn,Face: 11
hLALPkbcbefggghxjndabv,gLALQbcbeeffxhjrvqn,Face: 7
hLLAAkcbdeefggannmdvhn,gLALQbcbeeffxhjrvqn,Face: 4
hLAwAkbcbdffgghxjagbqj,gLALQbcbeeffxhjrvqn,Face: 2
hLALPkbcbefgfghxjsaxjr,gLALQbcbeeffxhjrvqn,Face: 1
hLLMAkbddeffggtvkumvqk,gLLAQcbdeefftnbmtbn,Face: 12
hLLLQkacedgfggjkkngkcv,gLLAQcbdeefftnbmtbn,Face: 11
hLvPQkaefegffgjhhjsfcn,gLLAQcbdeefftnbmtbn,Face: 10
hLLPMkacefdfggnkxgjkmn,gLLAQcbdeefftnbmtbn,Face: 9
hLLLQkbceggfgftbxatgwn,gLLAQcbdeefftnbmtbn,Face: 7
hLLAPkbdedffgglvagfnrs,gLLAQcbdeefftnbmtbn,Face: 5
hLLLQkcddfegggtgfawjov,gLLAQcbdeefftnbmtbn,Face: 4
hLLAAkbedcefgglanjdkxr,gLLAQcbdeefftnbmtbn,Face: 3
hLLLQkaeefdgggjaxgnrkn,gLLAQcbdeefftnbmtbn,Face: 2
hLLMPkacdffgfgjkxcnqnj,gLLAQcbdeefftnbmtbn,Face: 1
hLALPkcbcefgggudbsqibo,gLALQbcceefftugncpj,Face: 12
hLALAkbcceefggtugsrthw,gLALQbcceefftugncpj,Face: 11
hLAwAkbccdffggtugegnqw,gLALQbcceefftugncpj,Face: 10
hLLPPkcdefefgglwaplskr,gLALQbcceefftugncpj,Face: 9
hLALPkcbcefgggudbsqibo,gLALQbcceefftugncpj,Face: 8
hLAwAkbccdffggaajhrwhj,gLALQbcceefftugncpj,Face: 5
hLLAAkbdddffgghgkkkvin,gLALQbcceefftugncpj,Face: 4
hLLLQkbdedffggxnirkkor,gLALQbcceefftugncpj,Face: 3
gLLAQcbdeefftnbmtbn,hLLMAkbddeffggtvkumvqk,Edge: 11
gLALQbcceefftugncpj,hLALPkcbcefgggudbsqibo,Edge: 10
gLALQbcceefftugncpj,hLALAkbcceefggtugsrthw,Edge: 11
gLALQbcceefftugncpj,hLAwAkbccdffggtugegnqw,Edge: 11
